Codice;Priorità;Titolo;Num_Domande;Domande;Categoria
Mp.com.3.r1;MEDIUM;¿Se protegen las comunicaciones mediante redes privadas virtuales (VPN)?;0;;ANEXO II-MEDIDAS DE PROTECCIÓN
Mp.com.3.r2;MEDIUM;;2;¿Se emplean redes privadas virtuales cuando la comunicación discurra por redes fuera del propio dominio de seguridad, por lo que deba cifrarse? | ¿Se emplean algoritmos y parámetros autorizados por el CCN para cifrar las comunicaciones que discurran fuera del dominio de seguridad?;ANEXO II-MEDIDAS DE PROTECCIÓN
Mp.com.3.r3;MEDIUM;¿Se emplean dispositivos con garantías adicionales respecto a las VPN?;0;;ANEXO II-MEDIDAS DE PROTECCIÓN
Mp.com.3.r4;MEDIUM;;2;¿Se emplean dispositivos hardware en el establecimiento y utilización de la red privada virtual? | Para el establecimiento y utilización de la red privada virtual ¿se usan productos o servicios que cumplan lo establecido en la medida [op.pl.5] sobre componentes certificados?;ANEXO II-MEDIDAS DE PROTECCIÓN
Mp.com.3.r5.1;MEDIUM;¿Se emplean cifradores que cumplan con los requisitos establecidos en la guía CCN-STIC que sea de aplicación?;0;;ANEXO II-MEDIDAS DE PROTECCIÓN
Mp.com.4;MEDIUM;¿Se ha segmentado la red, segregando el tráfico?;2;¿Se han separado en segmentos los flujos de información, segregando el tráfico por la red, de modo que cada equipo únicamente tenga acceso a la información que necesita? | Si se emplean comunicaciones inalámbricas, ¿se concentran éstas mediante un segmento separado?;ANEXO II-MEDIDAS DE PROTECCIÓN
Mp.com.4;MEDIUM;Separación de flujos de información en la red;0;;ANEXO II-MEDIDAS DE PROTECCIÓN
Mp.com.4.r1;MEDIUM;¿Se han segregado al menos 3 segmentos de red mediante VLAN?;2;¿Los segmentos de red se han implementado por medio de redes de área local virtuales (Virtual Local Area Network - VLAN)? | ¿Se ha segregado en distintas subredes la red que conforma el sistema, contemplando como mínimo la red de usuarios, la de servicios y la de administración?;ANEXO II-MEDIDAS DE PROTECCIÓN
Mp.com.4.r2;MEDIUM;¿Se han implementado los segmentos de red por medio de redes privadas virtuales (Virtual Private Network - VPN)?;0;;ANEXO II-MEDIDAS DE PROTECCIÓN
Mp.com.4.r3;MEDIUM;¿Se han implementado los segmentos de red con medios físicos separados?;0;;ANEXO II-MEDIDAS DE PROTECCIÓN
Mp.com.4.r4;MEDIUM;¿Se dispone de controles de entrada a los segmentos, así como monitorización?;2;¿Se dispone de control de entrada de los usuarios que llegan a cada segmento y control de entrada y salida de la información disponible en cada segmento? | ¿El punto de interconexión entre subredes está particularmente asegurado, mantenido y monitorizado?;ANEXO II-MEDIDAS DE PROTECCIÓN
Mp.eq.3;MEDIUM;Protección de dispositivos portátiles;0;;ANEXO II-MEDIDAS DE PROTECCIÓN
Mp.eq.3;MEDIUM;¿Se adopta un conjunto de medidas que permita mantener la protección de los equipos portátiles, especialmente los que abandonan el perímetro físico de la organización, a niveles acordes con los requerimientos de seguridad?;7;Como concreción de la medida [op.ext.1] sobre inventario de activos, ¿se lleva un inventario de los equipos portátiles junto con una identificación de la persona responsable del mismo? | ¿Puede evidenciarse una verificación regular de que los equipos portátiles estén positivamente bajo el control de a quién se les ha asignado? | ¿Se ha establecido normativa de uso de los equipos portátiles, así como de acceso remoto mediante los mismos? | ¿Se ha establecido un procedimiento operativo de seguridad para informar al servicio de gestión de incidentes de pérdidas o sustracciones de equipos portátiles? | En caso de robo, siempre que la organización evalúe dicha funcionalidad conveniente en función del riesgo ¿se puede borrar de forma remota el dispositivo? | Cuando un equipo portátil se conecta remotamente a través de redes que no están bajo el estricto control de la organización, ¿el ámbito de operación del sistema limita la información y los servicios accesibles a los mínimos imprescindibles, requiriendo autorización previa de los responsables de la información y los servicios afectados? | ¿Se evita, en la medida de lo posible, que los equipos portátiles contengan claves de acceso remoto a la organización, que no sean imprescindibles?;ANEXO II-MEDIDAS DE PROTECCIÓN
Mp.eq.3.r1;MEDIUM;¿Se protege el portátil mediante cifrado del disco duro cuando el nivel de confidencialidad de la información almacenada en el mismo sea de nivel MEDIO?;0;;ANEXO II-MEDIDAS DE PROTECCIÓN
Mp.eq.3.r2;MEDIUM;El uso de equipos portátiles fuera de las instalaciones de la organización, ¿se restringe a entornos protegidos, donde el acceso sea controlado, a salvo de hurtos y miradas indiscretas?;0;;ANEXO II-MEDIDAS DE PROTECCIÓN
Mp.eq.4;MEDIUM;Otros equipos conectados a la red;0;;ANEXO II-MEDIDAS DE PROTECCIÓN
Mp.eq.4;MEDIUM;¿Se controlan los dispositivos presentes en el sistema, especialmente en lo que se refiere al flujo de información y su almacenamiento?;2;¿Cuentan los dispositivos presentes en el sistema con una configuración de seguridad adecuada, de manera que se garantice el control del flujo definido de entrada y salida de la información? | ¿Proporcionan los dispositivos presentes en la red, que dispongan de algún tipo de almacenamiento temporal o permanente de información, la funcionalidad necesaria para eliminar dicha información almacenada, de ser necesario?;ANEXO II-MEDIDAS DE PROTECCIÓN
Mp.eq.4.r1;MEDIUM;¿Se emplean, cuando sea posible, productos o servicios que cumplan lo establecido en la medida [op.pl.5] sobre componentes certificados?;0;;ANEXO II-MEDIDAS DE PROTECCIÓN
Mp.eq.4.r2;MEDIUM;¿Se dispone de soluciones que permitan visualizar los dispositivos presentes en la red, controlar su conexión/desconexión a la misma y verificar su configuración de seguridad?;0;;ANEXO II-MEDIDAS DE PROTECCIÓN
Mp.if.1;HIGH;Áreas separadas y con control de acceso;0;;ANEXO II-MEDIDAS DE PROTECCIÓN
Mp.if.1;HIGH;¿Se instala el equipamiento del sistema de información en áreas dotadas de adecuadas medidas de seguridad?;5;¿Se instala el equipamiento del sistema de información, en la medida de lo posible, en áreas separadas específicas para su función dotadas con medidas de seguridad, como puede ser un CPD o una sala técnica? | ¿Se controlan los accesos a CPD y salas técnicas de forma que sólo se pueda acceder por las entradas previstas? | ¿Se dispone de mecanismos de seguridad para restringir el acceso únicamente al personal autorizado? | Si el CPD es compartido por varias organizaciones, ¿se dispone de mecanismos de cierre en los armarios donde se ubique el equipamiento propio, o en las jaulas que albergan un conjunto de armarios, de forma que ningún tercero no autorizado pueda tener acceso? | ¿Se dispone de cámaras de videovigilancia (CCTV) y/o detectores de intrusión para proteger las instalaciones, especialmente fuera del horario laboral?;ANEXO II-MEDIDAS DE PROTECCIÓN
Mp.if.2;HIGH;Identificación de las personas;0;;ANEXO II-MEDIDAS DE PROTECCIÓN
Mp.if.2.1;HIGH;¿Se dispone de una sistemática de control de acceso a los CPD?;5;¿Se dispone de procedimientos de solicitud de acceso a CPD y salas técnicas, gestionando la concesión de autorizaciones temporales y permanentes? | ¿Se dispone de un sistema de control de acceso que identifique a las personas que accedan a los CPD donde hay equipamiento esencial para el sistema de información, registrando las correspondientes entradas y salidas? | ¿Se les comunica a las visitas externas junto a la autorización de acceso (por ejemplo, por correo electrónico), un ejemplar de las normas de uso del CPD? | ¿Dichas normas de uso determinan que las visitas externas estén siempre acompañadas? | ¿Se dispone de mecanismos ágiles para poder determinar quién estaba presente en el CPD, o sala técnica, en el momento de producirse un incidente de seguridad?;ANEXO II-MEDIDAS DE PROTECCIÓN
Mp.if.3;HIGH;Acondicionamiento de los locales;0;;ANEXO II-MEDIDAS DE PROTECCIÓN
Mp.if.3.1;HIGH;¿Se acondicionan y controlan ambientalmente los locales donde se ubica el equipamiento y componentes esenciales de los sistemas de información, así como se dispone en ellos de un trazado organizado e identificado de los cables de señal y de alimentación?;5;¿Se controlan las condiciones de temperatura y humedad en los locales donde se ubica el equipamiento, de modo que se asegure su eficaz funcionamiento de acuerdo a las especificaciones del fabricante? | ¿Los equipos de climatización, están amparados por el correspondiente contrato de mantenimiento con revisiones periódicas? | ¿Se ha implementado en los locales donde se ubica el equipamiento y componentes esenciales de los sistemas de información, la protección frente a las amenazas identificadas en el análisis de riesgos? | ¿Está protegido eficazmente el cableado en los locales donde se ubica el equipamiento y componentes esenciales de los sistemas de información, de modo que se asegure su función frente a incidentes fortuitos o deliberados? | ¿Están organizados y peinados el cableado y las fibras ópticas en los armarios rack, mediante sistemas pasacables? ¿están etiquetados los extremos de cables y fibras? ¿las canalizaciones de cables entre racks están protegidas, organizadas y con la separación adecuada entre alimentación y datos?;ANEXO II-MEDIDAS DE PROTECCIÓN
Mp.if.4;HIGH;Energía eléctrica;0;;ANEXO II-MEDIDAS DE PROTECCIÓN
Mp.if.4.1;HIGH;Los locales donde se ubican los sistemas de información y sus componentes esenciales (CPD, sala técnica), ¿disponen de tomas de energía eléctrica adecuadas, de modo que se garantice tanto el suministro como el correcto funcionamiento de las luces de emergencia?;0;;ANEXO II-MEDIDAS DE PROTECCIÓN
Mp.if.4.r1.1;HIGH;En caso de fallo del suministro principal, ¿se garantiza el abastecimiento eléctrico durante el tiempo requerido, de forma armonizada con el BIA?;3;En caso de no disponerse de generador eléctrico de gasóleo (grupo electrógeno), ¿la duración de las baterías del SAI permite soportar cortes de suministro lo suficientemente amplios para cubrir los requisitos del BIA o, al menos, para permitir una parada ordenada de los equipos? | ¿En caso de disponerse de generador eléctrico, ¿la capacidad del depósito de gasóleo o suministro de GAS es suficiente para mantener la alimentación eléctrica del equipamiento el tiempo requerido? ¿la duración de las baterías del SAI es suficiente para la puesta en marcha del generador? | ¿Los SAI (incluyendo las baterías internas o, en su caso, las bancadas externas) y los generadores eléctricos, en el caso de disponerse de éstos últimos, están amparados por un contrato de mantenimiento, con revisiones periódicas? ¿se dispone de partes de mantenimiento acordes a la legislación vigente y a las instrucciones de los fabricantes?;ANEXO II-MEDIDAS DE PROTECCIÓN
Mp.if.5;HIGH;Protección frente a incendios;0;;ANEXO II-MEDIDAS DE PROTECCIÓN
Mp.if.5.1;HIGH;Los locales donde se ubican los sistemas de información y sus componentes esenciales (CPD y salas técnicas) ¿están protegidos frente a los incendios atendiendo, al menos, a la normativa industrial de aplicación?;4;¿Se dispone de sistemas de detección de incendios? | Si se activa un sensor (o en ocasiones dos de ellos para obviar falsos positivos), ¿la centralita de alarmas envía mensajes por los cauces previstos al personal de seguridad o de mantenimiento, a un centro externo coordinador de avisos de alarma, dispara una sirena, etc.? | ¿Se dispone de sistemas, manuales o automáticos, de extinción de incendios? | ¿Los sistemas de detección y extinción están amparados por un contrato de mantenimiento, con revisiones periódicas?;ANEXO II-MEDIDAS DE PROTECCIÓN
Mp.if.6;HIGH;Protección frente a inundaciones;3;¿Se dispone de sistemas de detección de humedad y de líquidos, habitualmente bajo el suelo técnico de CPD y salas técnicas, con atención a las pérdidas de los equipos de refrigeración ubicados en la sala, especialmente si funcionan con agua? | ¿Se dispone bombas de achique automático en pozuelas de recogida de aguas o, en su defecto, de la preinstalación para ubicar una bomba portátil? | ¿Los sistemas de detección de líquidos y de achique están amparados por un contrato de mantenimiento, con revisiones periódicas? ¿se realizan pruebas de arranque de las bombas de achique?;ANEXO II-MEDIDAS DE PROTECCIÓN
Mp.if.7;HIGH;Registro de entrada y salida de equipamiento;0;;ANEXO II-MEDIDAS DE PROTECCIÓN
Mp.if.7.1;HIGH;¿Se lleva un registro pormenorizado de cualquier entrada y salida de equipamiento esencial, incluyendo la identificación de la persona que autoriza el movimiento?;2;¿Se mantiene un registro de todo hardware y equipamiento esencial que entra y sale del CPD y salas técnicas, incluyendo la identificación de la persona que autoriza el movimiento y cualquier otra información que la Organización estime conveniente? | En caso de no ser el comportamiento habitual en la organización, ¿Se registra la entrada y salida de equipamiento portátil, por ejemplo, equipos personales y otros medios?;ANEXO II-MEDIDAS DE PROTECCIÓN
Mp.per.1;HIGH;Caracterización del puesto de trabajo;0;;ANEXO II-MEDIDAS DE PROTECCIÓN
Mp.per.1;HIGH;Para cada puesto de trabajo, relacionado directamente con el manejo de información o servicios en el ámbito del ENS, ¿se definen las responsabilidades en materia de seguridad?;3;El análisis de riesgos realizado para dar cumplimiento a las disposiciones del ENS ¿tiene en cuenta las personas y sus responsabilidades respecto a la seguridad del sistema de información? | Para cada puesto de trabajo, relacionado directamente con el manejo de información o servicios, ¿se han definido las responsabilidades en materia de seguridad? | ¿Se definen los requisitos que deben satisfacer las personas que vayan a ocupar el puesto de trabajo, en particular en términos de confidencialidad, ya sea personal propio o contratado como prestación de servicios?;ANEXO II-MEDIDAS DE PROTECCIÓN
Mp.per.1.r1;HIGH;¿Disponen los administradores de seguridad/sistema una Habilitación Personal de Seguridad (HPS) otorgada por la autoridad competente, como consecuencia de los resultados del análisis de riesgos previo, o como requisito de seguridad, de un sistema específico?;0;;ANEXO II-MEDIDAS DE PROTECCIÓN
Mp.per.2;HIGH;Deberes y obligaciones;0;;ANEXO II-MEDIDAS DE PROTECCIÓN
Mp.per.2;HIGH;¿Se han definido, y se informa, a cada persona que trabaja en el sistema, de los deberes y responsabilidades de su puesto de trabajo en materia de seguridad?;6;¿Se informa al personal propio, que trabaja en el sistema, de los deberes y responsabilidades en materia de seguridad incluyen tanto el periodo durante el cual se desempeña el puesto, como posteriormente a su terminación? | ¿Se informa al personal propio, que trabaja en el sistema, de las medidas disciplinarias a que haya lugar en caso de incumplimiento de los deberes y responsabilidades en materia de seguridad? | ¿Se suscriben cláusulas de confidencialidad con los empleados? ¿si se trata de una organización del sector privado, que presta servicios, dichas cláusulas incluyen la confidencialidad de la información de los clientes que puedan llegar a conocer? | ¿Se suscriben acuerdos de confidencialidad con las organizaciones que le prestan servicios, que incluyan a todo el personal que éstas asignen al contrato? | ¿Se establece en relación al personal contratado, que trabaja a través de un tercero en el sistema, de los deberes y obligaciones de cada parte y de dicho personal externo? | ¿Se establece en relación al personal contratado, que trabaja a través de un tercero en el sistema, el procedimiento de resolución de incidentes relacionados con el incumplimiento de las obligaciones?;ANEXO II-MEDIDAS DE PROTECCIÓN
Mp.per.2.r1;HIGH;¿Se obtiene la confirmación expresa por parte de los usuarios de conocer las instrucciones de seguridad necesarias y obligatorias, así como los procedimientos necesarios para llevarlas a cabo de manera adecuada?;0;;ANEXO II-MEDIDAS DE PROTECCIÓN
Mp.per.3;HIGH;¿Se realizan las acciones necesarias para concienciar regularmente al personal acerca de su papel y responsabilidad para que la seguridad del sistema alcance los niveles exigidos?;4;¿Existe un mínimo de planificación anual, que podrá ajustarse en función de las circunstancias, respecto a las acciones y campañas de concienciación? | ¿Se recuerda periódicamente en las acciones de concienciación la normativa de seguridad relativa al buen uso de los equipos o sistemas y las técnicas de ingeniería social más habituales? | ¿Se recuerda periódicamente en las acciones de concienciación la identificación de incidentes, actividades o comportamientos sospechosos, que deban ser reportados para permitir su tratamiento por personal especializado, así como la necesidad de notificarlos sin dilación por los canales establecidos? | ¿Se recuerda periódicamente en las acciones de concienciación el procedimiento para informar sobre incidentes de seguridad, sean estos reales o falsas alarmas?;ANEXO II-MEDIDAS DE PROTECCIÓN
Mp.per.3;HIGH;Concienciación;0;;ANEXO II-MEDIDAS DE PROTECCIÓN
Mp.per.4;HIGH;Formación;0;;ANEXO II-MEDIDAS DE PROTECCIÓN
Mp.per.4;HIGH;¿Se forma regularmente al personal de la organización en aquellas materias relativas a seguridad de la información que requiera el desempeño de sus funciones?;6;¿Se dispone de un Plan de Formación general, orientado a las necesidades del personal, que incluya acciones formativas respecto a la seguridad de la información, donde conste la formación concreta realizada por el personal de la organización y la planificada para ser llevada a cabo? | ¿La formación incluye, al menos, lo relativo a configuración de sistemas, detección y reacción ante incidentes y gestión de la información en cualquier soporte en el que se encuentre? | ¿Se diferencia la formación impartida al personal general, de la específica para directivos, para técnicos y especialmente para personas con responsabilidades de seguridad? | ¿Se evalúa la eficacia de las acciones formativas llevadas a cabo? | ¿Existe control de los asistentes a cada una de las acciones formativas, ya sean esta impartidas presencialmente, en remoto directo mediante plataformas de videoconferencia on-line, o en remoto diferido desde plataformas con acceso a cursos ‘enlatados’ accesibles al ritmo de quién los cursa? | ¿Se solicitan formaciones específicas, o certificaciones concretas de seguridad, al personal externo contratado en modalidad de prestación de servicios, en función del desempeño?;ANEXO II-MEDIDAS DE PROTECCIÓN
Mp.si.1;MEDIUM;Marcado de soportes;0;;ANEXO II-MEDIDAS DE PROTECCIÓN
Mp.si.1;MEDIUM;¿Se identifican los soportes que contienen información sensible con el nivel de seguridad de mayor calificación de la información contenida?;3;¿Los soportes de información que contienen información que, según su nivel de seguridad, o su calificación, debe protegerse con medidas de seguridad específicas, llevan las marcas, o metadatos correspondientes, que indican el mayor nivel de seguridad de la información contenida? | ¿Se indica en los documentos y registros del sistema de gestión de la seguridad de la información, aplicado sobre el sistema de información, su nivel de calificación? | ¿Se dispone de una norma, o de instrucciones precisas, sobre cómo valorar y calificar la información, de modo que concuerde con el marcado de los soportes?;ANEXO II-MEDIDAS DE PROTECCIÓN
Mp.si.1.r1;MEDIUM;¿La organización determina el empleo de marcas de agua para garantizar un uso adecuado de la información digital, llevándolo a la práctica?;3;¿La política de seguridad de la organización define marcas de agua para asegurar el uso adecuado de la información que se maneja? | La información digital (documentos electrónicos, material multimedia…) ¿incluyen una marca de agua según la política de seguridad? | Los equipos o dispositivos a través de los que se accede a aplicaciones, escritorios remotos o virtuales, datos…, ¿presentan una marca de agua en pantalla según la política de seguridad?;ANEXO II-MEDIDAS DE PROTECCIÓN
Mp.si.2;MEDIUM;Criptografía;0;;ANEXO II-MEDIDAS DE PROTECCIÓN
Mp.si.2.1;MEDIUM;¿Se emplean mecanismos criptográficos para proteger los dispositivos removibles cuando es necesario?;2;¿Se usan mecanismos criptográficos que garanticen la confidencialidad y la integridad de la información contenida en los dispositivos removibles cuando salen del área controlada? | ¿Se emplean algoritmos y parámetros autorizados por el CCN cuando los dispositivos removibles salen del área controlada?;ANEXO II-MEDIDAS DE PROTECCIÓN
Mp.si.2.r1;MEDIUM;¿Se emplean productos certificados conforme a lo establecido en [op.pl.5] sobre componentes certificados?;0;;ANEXO II-MEDIDAS DE PROTECCIÓN
Mp.si.2.r2;MEDIUM;¿Las copias se seguridad se cifran utilizando algoritmos y parámetros autorizados por el CCN?;0;;ANEXO II-MEDIDAS DE PROTECCIÓN
Mp.si.3;MEDIUM;¿Se garantiza la seguridad en la custodia de los soportes de información?;3;¿Se aplica la debida diligencia y control a los soportes de información, ya sean fijos o extraíbles, que permanecen bajo la responsabilidad de la organización, garantizando el control de acceso mediante medidas físicas o lógicas, según corresponda? | ¿Se respetan las exigencias de mantenimiento del fabricante, en especial, en lo referente a temperatura, humedad y otros agentes medioambientales? | Si se externaliza la custodia de soportes en una tercera entidad ¿se ha suscrito un contrato o acuerdo del servicio donde consten las medidas de seguridad aplicadas?;ANEXO II-MEDIDAS DE PROTECCIÓN
Mp.si.3;MEDIUM;Custodia;0;;ANEXO II-MEDIDAS DE PROTECCIÓN
Mp.si.4;MEDIUM;Transporte;0;;ANEXO II-MEDIDAS DE PROTECCIÓN
Mp.si.4;MEDIUM;¿Se garantiza la seguridad en el transporte de los soportes de información?;6;¿Se dispone de un registro de entrada / salida que identifique al transportista que entrega/recibe el soporte? | Si se designan responsables de la organización autorizados para el transporte de determinados soportes, ¿disponen o queda reflejada la correspondiente autorización acorde con los medios transportados? | ¿Se dispone de un procedimiento rutinario que coteje las salidas con las llegadas y levante las alarmas pertinentes cuando se detecte algún incidente? | ¿Se utilizan los medios de protección criptográfica correspondientes al mayor nivel de seguridad de la información contenida? | Si se externaliza el transporte de soportes en una tercera entidad ¿se ha suscrito un contrato o acuerdo del servicio donde consten las medidas de seguridad aplicadas? | ¿Se transportan los soportes dentro de un maletín de seguridad, por ejemplo, cerrado mediante candados de apertura por llave, del que el transportista no dispone de la misma?;ANEXO II-MEDIDAS DE PROTECCIÓN
Mp.si.5;MEDIUM;¿Se garantiza el borrado seguro o la destrucción de los soportes tras su utilización?;5;Los soportes que vayan a ser reutilizados para otra información, o liberados a otra organización, ¿son objeto de un borrado seguro de su contenido que no permita su recuperación? | ¿Cuándo la naturaleza del soporte no permita un borrado seguro antes de destinarlo a otro fin, ¿es éste destruido de forma que no pueda ser reutilizado para otro sistema? | ¿Se dispone de un registro con identificación de los soportes borrados o destruidos, la herramienta y método empleado, quién lo realizó, etc.? | Si se externaliza el borrado seguro y/o la destrucción de soportes en una tercera entidad, ¿se ha suscrito un contrato o acuerdo del servicio donde consten las medidas de seguridad aplicadas? | Si se externaliza el borrado seguro y/o la destrucción de soportes en una tercera entidad, ¿suministra ésta un certificado de borrado o destrucción segura donde consten las referencias y números de serie de los soportes tratados?;ANEXO II-MEDIDAS DE PROTECCIÓN
Mp.si.5;MEDIUM;Borrado y destrucción;0;;ANEXO II-MEDIDAS DE PROTECCIÓN
Mp.si.5.r1;MEDIUM;¿Se emplean productos o servicios que cumplen lo establecido en [op.pl.5] sobre componentes certificados?;0;;ANEXO II-MEDIDAS DE PROTECCIÓN
Mp.si.5.r2;MEDIUM;Una vez finalizado el ciclo de vida del soporte de información ¿Es destruido éste de forma segura conforme a los criterios establecidos por el CCN?;0;;ANEXO II-MEDIDAS DE PROTECCIÓN
Mp.sw.1;MEDIUM;Desarrollo de aplicaciones;0;;ANEXO II-MEDIDAS DE PROTECCIÓN
Mp.sw.1;MEDIUM;¿Está separado a todos los efectos el entorno de desarrollo del de producción?;3;¿Se han separado ambos entornos, realizándose el desarrollo sobre sistemas diferenciados de los productivos? | ¿Existen herramientas de desarrollo o datos de prueba en el entorno de producción, o elementos productivos o datos reales en el entorno de desarrollo? | ¿Se han aplicado medidas de seguridad sobre los repositorios de código fuente?;ANEXO II-MEDIDAS DE PROTECCIÓN
Mp.sw.1.r1;MEDIUM;¿Las aplicaciones se desarrollarán respetando el principio de mínimo privilegio (con los privilegios que sean indispensables), accediendo únicamente a los recursos imprescindibles para su función?;0;;ANEXO II-MEDIDAS DE PROTECCIÓN
Mp.sw.1.r2;MEDIUM;¿Se aplica una metodología de desarrollo seguro reconocida?;4;¿La metodología aplicada tiene en consideración los aspectos de seguridad a lo largo de todo el ciclo de vida? | ¿La metodología aplicada incluye normas de programación segura, como son el control de asignación y liberación de memoria, desbordamiento de memoria (overflow), etc.? | ¿La metodología aplicada tiene en cuenta los datos empleados en las pruebas? | ¿La metodología aplicada permite la inspección del código fuente?;ANEXO II-MEDIDAS DE PROTECCIÓN
Mp.sw.1.r3;MEDIUM;¿Se tienen en cuenta aspectos de seguridad como parte integral del diseño del sistema?;3;¿Forman parte integral del diseño del sistema los mecanismos de identificación y autenticación? | ¿Forman parte integral del diseño del sistema los mecanismos de protección de la información tratada? | ¿Forman parte integral del diseño del sistema los mecanismos de generación y tratamiento de pistas de auditoría?;ANEXO II-MEDIDAS DE PROTECCIÓN
Mp.sw.1.r4;MEDIUM;¿Se aseguran los datos reales empleados para las pruebas previas, evitando su uso en la medida de lo posible?;2;¿Se evita realizar con datos reales las pruebas previas a la implementación o modificación de los sistemas de información? | En caso de que fuese necesario recurrir a datos reales para las pruebas previas,  ¿se garantiza el nivel de seguridad correspondiente?;ANEXO II-MEDIDAS DE PROTECCIÓN
Mp.sw.1.r5;MEDIUM;¿El desarrollador elabora y mantiene actualizada una relación formal de los componentes software de terceros empleados en la aplicación o producto?;0;;ANEXO II-MEDIDAS DE PROTECCIÓN
Mp.sw.2;MEDIUM;Aceptación y puesta en servicio;0;;ANEXO II-MEDIDAS DE PROTECCIÓN
Mp.sw.2;MEDIUM;Antes de su paso a producción, ¿se comprueba el correcto funcionamiento de la aplicación y de sus aspectos de seguridad?;2;Antes del paso a producción de las aplicaciones, ¿se comprueban los criterios de aceptación en materia de seguridad? | Antes del paso a producción de las aplicaciones, ¿se comprueba que no se deteriora la seguridad de otros componentes del servicio?;ANEXO II-MEDIDAS DE PROTECCIÓN
Mp.sw.2;MEDIUM;¿Caso de aplicaciones desarrolladas externamente implementadas en modo local (on-premise), el proveedor aporta suficientes evidencias de la seguridad de la aplicación?;3;¿Aporta el proveedor que implementa la solución un ejemplar particularizado para el cliente que contrata del manual ‘Guía de instalación y configuración segura del sistema’ dirigida a los administradores? | ¿Aporta el proveedor que implementa la solución un ejemplar particularizado para el cliente que contrata del manual ‘Guía de uso seguro del sistema’ dirigida a los usuarios? | ¿Aporta el proveedor que implementa la solución un ejemplar particularizado para el cliente que contrata del manual ‘Guía de la relación entre cliente y proveedor’ dirigida a los administradores?;ANEXO II-MEDIDAS DE PROTECCIÓN
Mp.sw.2.r1;MEDIUM;¿Se realizan las pruebas en un entorno aislado de preproducción?;0;;ANEXO II-MEDIDAS DE PROTECCIÓN
