Codice;Priorità;Titolo_ES;Titolo_EN;Num_Domande;Domande_ES;Domande_EN;Categoria
Mp.per.1;HIGH;Para cada puesto de trabajo, relacionado directamente con el manejo de información o servicios en el ámbito del ENS, ¿se definen las responsabilidades en materia de seguridad?;For each job position, directly related to the management of information or services in the scope of the ENS, are security responsibilities defined?;3;El análisis de riesgos realizado para dar cumplimiento a las disposiciones del ENS ¿tiene en cuenta las personas y sus responsabilidades respecto a la seguridad del sistema de información? | Para cada puesto de trabajo, relacionado directamente con el manejo de información o servicios, ¿se han definido las responsabilidades en materia de seguridad? | ¿Se definen los requisitos que deben satisfacer las personas que vayan a ocupar el puesto de trabajo, en particular en términos de confidencialidad, ya sea personal propio o contratado como prestación de servicios?;Does the risk analysis carried out to comply with the provisions of the ENS take into account people and their responsibilities regarding the security of the information system? | For each job position, directly related to the management of information or services, have security responsibilities been defined? | Are the requirements that must be met by the people who are going to occupy the job defined, particularly in terms of confidentiality, whether they are own personnel or hired to provide services?;ANEXO II-MEDIDAS DE PROTECCIÓN
Mp.per.1.r1;HIGH;¿Disponen los administradores de seguridad/sistema una Habilitación Personal de Seguridad (HPS) otorgada por la autoridad competente, como consecuencia de los resultados del análisis de riesgos previo, o como requisito de seguridad, de un sistema específico?;Do security/system administrators have a Personal Security Clearance (HPS) granted by the competent authority, as a consequence of the results of the previous risk analysis, or as a security requirement, for a specific system?;0;;;ANEXO II-MEDIDAS DE PROTECCIÓN
Mp.per.2;HIGH;Deberes y obligaciones;Duties and obligations;0;;;ANEXO II-MEDIDAS DE PROTECCIÓN
Mp.per.2;HIGH;¿Se han definido, y se informa, a cada persona que trabaja en el sistema, de los deberes y responsabilidades de su puesto de trabajo en materia de seguridad?;Have each person working in the system been defined, and are they informed, of the duties and responsibilities of their job in terms of security?;6;¿Se informa al personal propio, que trabaja en el sistema, de los deberes y responsabilidades en materia de seguridad incluyen tanto el periodo durante el cual se desempeña el puesto, como posteriormente a su terminación? | ¿Se informa al personal propio, que trabaja en el sistema, de las medidas disciplinarias a que haya lugar en caso de incumplimiento de los deberes y responsabilidades en materia de seguridad? | ¿Se suscriben cláusulas de confidencialidad con los empleados? ¿si se trata de una organización del sector privado, que presta servicios, dichas cláusulas incluyen la confidencialidad de la información de los clientes que puedan llegar a conocer? | ¿Se suscriben acuerdos de confidencialidad con las organizaciones que le prestan servicios, que incluyan a todo el personal que éstas asignen al contrato? | ¿Se establece en relación al personal contratado, que trabaja a través de un tercero en el sistema, de los deberes y obligaciones de cada parte y de dicho personal externo? | ¿Se establece en relación al personal contratado, que trabaja a través de un tercero en el sistema, el procedimiento de resolución de incidentes relacionados con el incumplimiento de las obligaciones?;Are your own personnel, who work in the system, informed of the duties and responsibilities regarding security, including both the period during which the position is held and after its termination? | Are your own personnel, who work in the system, informed of the disciplinary measures that may be taken in the event of non-compliance with security duties and responsibilities? | Are confidentiality clauses signed with employees? If it is a private sector organization that provides services, do these clauses include the confidentiality of client information that they may come to know? | Are confidentiality agreements signed with the organizations that provide services, which include all the personnel they assign to the contract? | Is the duties and obligations of each party and of said external personnel established in relation to contracted personnel, who work through a third party in the system? | Is the procedure for resolving incidents related to non-compliance with obligations established in relation to contracted personnel, who work through a third party in the system?;ANEXO II-MEDIDAS DE PROTECCIÓN
Mp.per.2.r1;HIGH;¿Se obtiene la confirmación expresa por parte de los usuarios de conocer las instrucciones de seguridad necesarias y obligatorias, así como los procedimientos necesarios para llevarlas a cabo de manera adecuada?;Is express confirmation obtained from users that they know the necessary and mandatory safety instructions, as well as the procedures necessary to carry them out appropriately?;0;;;ANEXO II-MEDIDAS DE PROTECCIÓN
Mp.per.3;HIGH;Concienciación;Awareness;0;;;ANEXO II-MEDIDAS DE PROTECCIÓN
Mp.per.3;HIGH;¿Se realizan las acciones necesarias para concienciar regularmente al personal acerca de su papel y responsabilidad para que la seguridad del sistema alcance los niveles exigidos?;Are the necessary actions taken to regularly raise staff awareness about their role and responsibility so that the security of the system reaches the required levels?;4;¿Existe un mínimo de planificación anual, que podrá ajustarse en función de las circunstancias, respecto a las acciones y campañas de concienciación? | ¿Se recuerda periódicamente en las acciones de concienciación la normativa de seguridad relativa al buen uso de los equipos o sistemas y las técnicas de ingeniería social más habituales? | ¿Se recuerda periódicamente en las acciones de concienciación la identificación de incidentes, actividades o comportamientos sospechosos, que deban ser reportados para permitir su tratamiento por personal especializado, así como la necesidad de notificarlos sin dilación por los canales establecidos? | ¿Se recuerda periódicamente en las acciones de concienciación el procedimiento para informar sobre incidentes de seguridad, sean estos reales o falsas alarmas?;Is there a minimum annual planning, which can be adjusted depending on the circumstances, regarding awareness actions and campaigns? | Are security regulations regarding the proper use of equipment or systems and the most common social engineering techniques regularly recalled in awareness-raising actions? | Are awareness-raising actions periodically reminded of the identification of suspicious incidents, activities or behaviors that must be reported to allow their treatment by specialized personnel, as well as the need to notify them without delay through established channels? | Is the procedure for reporting security incidents, whether real or false alarms, periodically recalled in awareness-raising actions?;ANEXO II-MEDIDAS DE PROTECCIÓN
Mp.per.4;HIGH;Formación;Training;0;;;ANEXO II-MEDIDAS DE PROTECCIÓN
Mp.per.4;HIGH;¿Se forma regularmente al personal de la organización en aquellas materias relativas a seguridad de la información que requiera el desempeño de sus funciones?;Are the organization's personnel regularly trained in those matters related to information security that are required to perform their functions?;6;¿Se dispone de un Plan de Formación general, orientado a las necesidades del personal, que incluya acciones formativas respecto a la seguridad de la información, donde conste la formación concreta realizada por el personal de la organización y la planificada para ser llevada a cabo? | ¿La formación incluye, al menos, lo relativo a configuración de sistemas, detección y reacción ante incidentes y gestión de la información en cualquier soporte en el que se encuentre? | ¿Se diferencia la formación impartida al personal general, de la específica para directivos, para técnicos y especialmente para personas con responsabilidades de seguridad? | ¿Se evalúa la eficacia de las acciones formativas llevadas a cabo? | ¿Existe control de los asistentes a cada una de las acciones formativas, ya sean esta impartidas presencialmente, en remoto directo mediante plataformas de videoconferencia on-line, o en remoto diferido desde plataformas con acceso a cursos ‘enlatados’ accesibles al ritmo de quién los cursa? | ¿Se solicitan formaciones específicas, o certificaciones concretas de seguridad, al personal externo contratado en modalidad de prestación de servicios, en función del desempeño?;Is there a general Training Plan, oriented to the needs of the staff, that includes training actions regarding information security, which includes the specific training carried out by the organization's staff and the training planned to be carried out? | Does the training include, at least, what is related to system configuration, detection and reaction to incidents and information management in any medium in which it is found? | Is the training given to general staff different from that specific to managers, technicians and especially people with security responsibilities? | Is the effectiveness of the training actions carried out evaluated? | Is there control of the attendees of each of the training actions, whether they are taught in person, directly remotely through online videoconferencing platforms, or deferred remotely from platforms with access to 'canned' courses accessible at the pace of the person taking them? | Are specific training or specific security certifications requested from external personnel hired in a service provision modality, based on performance?;ANEXO II-MEDIDAS DE PROTECCIÓN
Op.acc.1;HIGH;Identificación;ID;0;;;ANEXO II -MARCO OPERACIONAL
Op.acc.1;HIGH;¿Se dispone de un control de acceso comprendiendo un conjunto de actividades preparatorias y ejecutivas tendentes a permitir o denegar a una entidad, usuario o proceso, el acceso a un recurso del sistema para la realización de cualquier acción?;Is there access control comprising a set of preparatory and executive activities aimed at allowing or denying an entity, user or process access to a system resource to carry out any action?;6;Si se utiliza un identificador único, ¿se emplean métodos de identificación previstos en la normativa de aplicación, entre ellos, sistemas de clave concertada y cualquier otro que las administraciones consideren válido? | Cada entidad (entidad, usuario o proceso) que accede al sistema, ¿cuenta con un identificador singular que permita conocer el destinatario y asignarle los derechos de acceso que le correspondan? | Cuando el usuario tiene diferentes roles frente al sistema (como ciudadano o usuario final, como trabajador del organismo o como administrador de los sistemas, por ejemplo), ¿se le asignan identificadores singulares para cada perfil, de forma que se recaben los correspondientes registros de actividad en base a los privilegios correspondientes a cada perfil para poder conocer las acciones realizadas? | Cuando el usuario deja la organización, cuando el usuario cesa en la función para la cual se requería la cuenta de usuario o, cuando la persona que la autorizó da orden en sentido contrario ¿Son deshabilitadas/bloqueadas inmediatamente las cuentas de usuario? | Una vez deja de ser necesaria una cuenta, ¿Se retiene deshabilitada durante un período finito y determinado para atender a las necesidades de trazabilidad de los registros asociados a la misma, antes de su eliminación? | En las comunicaciones electrónicas, ¿las partes intervinientes se identifican con los mecanismos previstos alineados con el Reglamento (UE) 910/2014 del Parlamento Europeo y del Consejo (Reglamento eIDAS) y con la Ley 6/2020, de 11 de noviembre, reguladora de determinados aspectos de los servicios electrónicos de confianza?;If a unique identifier is used, are identification methods provided for in the applicable regulations used, including agreed key systems and any other that the administrations consider valid? | Does each entity (entity, user or process) that accesses the system have a unique identifier that allows knowing the recipient and assigning the corresponding access rights? | When the user has different roles in the system (as a citizen or end user, as an agency worker or as a systems administrator, for example), are they assigned unique identifiers for each profile, so that the corresponding activity records are collected based on the privileges corresponding to each profile in order to know the actions carried out? | When the user leaves the organization, when the user ceases to perform the function for which the user account was required, or when the person who authorized it gives an order to the contrary, are user accounts immediately disabled/locked? | Once an account is no longer necessary, is it retained disabled for a finite and determined period to meet the traceability needs of the records associated with it, before its deletion? | In electronic communications, do the intervening parties identify with the planned mechanisms aligned with Regulation (EU) 910/2014 of the European Parliament and of the Council (eIDAS Regulation) and with Law 6/2020, of November 11, regulating certain aspects of electronic trust services?;ANEXO II -MARCO OPERACIONAL
Op.acc.1.r1;HIGH;¿La identificación del usuario permite al Responsable del sistema y/o al Responsable de la seguridad del sistema singularizar a la persona asociada al mismo, así como sus responsabilidades en el sistema?;Does the user identification allow the System Manager and/or the System Security Manager to identify the person associated with it, as well as their responsibilities in the system?;2;¿Los datos de identificación son utilizados por el sistema para determinar los privilegios del usuario conforme a los requisitos de control de acceso establecidos en la documentación de seguridad? | ¿Se dispone de una lista actualizada de usuarios autorizados para acceder a los diferentes recursos, mantenida por el personal de administración (Responsable/Administrador del Sistema y/o Responsable/Administrador de la Seguridad del sistema)?;Is the identification data used by the system to determine the user's privileges in accordance with the access control requirements established in the security documentation? | Is there an updated list of authorized users to access the different resources, maintained by the administration staff (System Manager/Administrator and/or System Security Manager/Administrator)?;ANEXO II -MARCO OPERACIONAL
Op.acc.2;HIGH;Requisitos de acceso;Access requirements;0;;;ANEXO II -MARCO OPERACIONAL
Op.acc.2;HIGH;¿Los recursos del sistema están protegidos con algún mecanismo que impida su utilización, salvo por las entidades que disfruten de derechos de acceso suficientes?;Are system resources protected by some mechanism that prevents their use, except by entities that have sufficient access rights?;3;¿Se han determinado y se conocen las personas responsables de los diferentes recursos del sistema de información? | ¿Los derechos de acceso de cada recurso, se establecen según las decisiones de la persona responsable del recurso, ateniéndose a la política y/o normativa de seguridad del sistema? | ¿Se controla el acceso a los componentes del sistema operativo, y a sus ficheros o registros de configuración?;Have the people responsible for the different resources of the information system been determined and known? | Are the access rights of each resource established according to the decisions of the person responsible for the resource, in accordance with the system's security policy and/or regulations? | Is access to operating system components and their configuration files or registers controlled?;ANEXO II -MARCO OPERACIONAL
Op.acc.2.r1;HIGH;¿Se gestionan los privilegios de los usuarios de forma armonizada con los recursos del sistema a los que tengan, o no, necesidad de acceder?;Are user privileges managed in a harmonized manner with the system resources to which they do, or do not, need to access?;2;¿Disponen todos los usuarios autorizados de un conjunto de atributos de seguridad (privilegios) que puedan ser mantenidos individualmente? | ¿Se han implementado los privilegios de acceso de modo que restrinjan con la suficiente granularidad el tipo de acceso que un usuario pueda tener (lectura, escritura, modificación, borrado, etc.)?;Do all authorized users have a set of security attributes (privileges) that can be maintained individually? | Have access privileges been implemented to restrict with sufficient granularity the type of access a user can have (read, write, modify, delete, etc.)?;ANEXO II -MARCO OPERACIONAL
Op.acc.2.r2;HIGH;¿Se dispone de soluciones que permiten establecer controles de acceso a los dispositivos en función de la política de seguridad de la organización?;Are there solutions available that allow you to establish access controls to devices based on the organization's security policy?;0;;;ANEXO II -MARCO OPERACIONAL
Op.acc.3;HIGH;Segregación de funciones y tareas;Segregation of duties and tasks;0;;;ANEXO II -MARCO OPERACIONAL
Op.acc.3;HIGH;¿Se segregan aquellas funciones que, ante determinadas circunstancias, podrían culminar en conflicto de interés como, por ejemplo, desarrollo y operación?;Are those functions segregated that, under certain circumstances, could lead to a conflict of interest, such as, for example, development and operation?;2;¿Se evita, siempre que sea posible, que las capacidades de desarrollo y operación recaigan en la misma persona o en el mismo equipo? | ¿Se evita, siempre que sea posible, ¿que las personas que autorizan sean las mismas que controlan el uso?;Is it avoided, whenever possible, that development and operation capabilities fall to the same person or the same team? | Is it avoided, whenever possible, that the people who authorize are the same people who control the use?;ANEXO II -MARCO OPERACIONAL
Op.acc.3.r1;HIGH;;;2;¿Se evita, siempre que sea posible, que una misma persona aúne funciones de configuración y de mantenimiento del sistema? | ¿Quienes realizan funciones de auditoría o supervisión, no realizan ninguna otra función relacionada con lo auditado o supervisado?;Is it avoided, whenever possible, that the same person combine configuration and maintenance functions of the system? | Do those who perform audit or supervision functions perform any other function related to what is audited or supervised?;ANEXO II -MARCO OPERACIONAL
Op.acc.3.r2;HIGH;;;1;¿Se dispone de cuentas con privilegios de auditoría, estrictamente controladas y personalizadas?;Are there accounts with audit privileges, strictly controlled and personalized?;ANEXO II -MARCO OPERACIONAL
Op.acc.4;HIGH;Proceso de gestión de derechos de acceso;Access rights management process;0;;;ANEXO II -MARCO OPERACIONAL
Op.acc.4;HIGH;¿Se gestionan los derechos de acceso, en base al principio de mínimo privilegio?;Are access rights managed, based on the principle of least privilege?;6;¿Está cualquier acceso prohibido, salvo que se disponga de autorización expresa? | ¿Se aplica una política de mínimo privilegio que reduce al mínimo imprescindible para cumplir con sus obligaciones los privilegios de cada entidad, usuario o proceso? | ¿Se asignan los privilegios de forma que las entidades, usuarios o procesos únicamente acceden al conocimiento de aquella información requerida para cumplir sus obligaciones o funciones? | ¿Únicamente el personal con competencia para ello, puede conceder, alterar o anular la autorización de acceso a los recursos, conforme a los criterios establecidos por el responsable de los mismos? | ¿Se revisan los permisos de acceso de forma periódica? | ¿Se ha establecido una política específica de acceso remoto, que señale la obligación de requerirse autorización expresa?;Is any access prohibited, unless express authorization is available? | Is a policy of least privilege applied that reduces the privileges of each entity, user or process to the minimum necessary to comply with their obligations? | Are privileges assigned so that entities, users or processes only have access to the information required to fulfill their obligations or functions? | Can only personnel competent to do so grant, alter or cancel the authorization of access to resources, in accordance with the criteria established by the person responsible for them? | Are access permissions reviewed periodically? | Has a specific remote access policy been established, which indicates the obligation to require express authorization?;ANEXO II -MARCO OPERACIONAL
Op.acc.5;HIGH;Mecanismos de autenticación (usuarios externos);Authentication mechanisms (external users);0;;;ANEXO II -MARCO OPERACIONAL
Op.acc.5;HIGH;¿Se mantiene la seguridad de las cuentas y las credenciales de los usuarios externos, mediante mecanismos de control de acceso?;Is the security of external user accounts and credentials maintained through access control mechanisms?;0;;;ANEXO II -MARCO OPERACIONAL
Op.acc.5.r1;HIGH;¿Se emplea una contraseña como mecanismo de autenticación, con garantías razonables?;Is a password used as an authentication mechanism, with reasonable guarantees?;0;;;ANEXO II -MARCO OPERACIONAL
Op.acc.5.r2;HIGH;¿Se requiere una contraseña de un solo uso (OTP) como complemento a la contraseña de usuario?;Is a one-time password (OTP) required in addition to the user password?;0;;;ANEXO II -MARCO OPERACIONAL
Op.acc.5.r3;HIGH;¿Se emplean certificados cualificados como mecanismo de autenticación?;Are qualified certificates used as an authentication mechanism?;0;;;ANEXO II -MARCO OPERACIONAL
Op.acc.5.r4;HIGH;¿Se emplean certificados en soporte físico (tarjeta o similar) como mecanismo de autenticación?;Are certificates on physical support (card or similar) used as an authentication mechanism?;0;;;ANEXO II -MARCO OPERACIONAL
Op.acc.5.r5;HIGH;¿Se registran los accesos, o su intento, y se informa al usuario?;Are accesses, or their attempts, recorded and is the user informed?;2;¿El sistema registra los accesos con éxito y los fallidos? | ¿Se le informa al usuario del último acceso efectuado con su identidad?;Does the system record successful and failed accesses? | Is the user informed of the last access made with their identity?;ANEXO II -MARCO OPERACIONAL
Op.acc.5.r6;HIGH;¿Se definen puntos en los que el sistema requiere una renovación de la autenticación del usuario?;Are points defined at which the system requires a renewal of user authentication?;0;;;ANEXO II -MARCO OPERACIONAL
Op.acc.5.r7;HIGH;¿Se suspenden las credenciales tras un período definido de no utilización?;Are credentials suspended after a defined period of non-use?;0;;;ANEXO II -MARCO OPERACIONAL
Op.acc.6;HIGH;Mecanismos de autenticación (usuarios de la organización);Authentication mechanisms (organization users);0;;;ANEXO II -MARCO OPERACIONAL
