Domain Title,Control Title,Control Reference,Control Wording,Control Type,SOC  TSC Common Criteria,SOC  TSC Availability,SOC  TSC  Confidentiality,SOC TSC Privacy,ISO 27001 ISMS ,ISO 27002: 2013 Annex A,Cloud Service Customers ISO 27017,Cloud Service Providers ISO 27017,ISO 27018,PII Controller ISO 27701,PII Processor ISO 27701,ISO 22301,BSI C5,FedRAMP Tailored Control,Spanish ENS BASIC Control,Spanish ENS Medium Control,Spanish ENS High Control,ISMAP Control,PCI Control,Saudi CCC Control,EU Code of Conduct Control,NIST SP 800-171 Control,EUCS Basic Control,EUCS Substantial Control,EUCS High Control,SecNumCloud Control,IRAP Control
Business Continuity & Resilience,Legal & Regulatory Requirements for Continuity,CCF 11,"[The Organization] maintains and documents a process to identify, have access to, and assess applicable legal and regulatory requirements relating to the continuity of its products and services, activities and resources. Such legal and regulatory requirements are reviewed at least annually to ensure the continuity of its products and services, activities and resources. Revision histories and review periods are defined within the documents themselves and Systems Policy Governance Policy. ",Process,,,,,,,,,,,,"4.2.2, 4.3.1, 6.1.1","BCM-01, BCM-02, BCM-03, BCM-04, COM-01","CP-1, CP-2, CP-3 ",,,,"13.2.4,  18.1.1, 18.1.1.5.P, 4.4.3.1, 5.1.2.2",,"1-3-P-1-1, 2-6-P-1-2, 1-7-1, 1-3-3, 1-3-4, 2-9-2, 3-1-1, 3-1-2, 3-1-4",,"3.6.1 Establish an operational incident-handling capability for organizational systems that includes preparation, detection, analysis, containment, recovery, and user response activities.                ","ISP-02.6,  RM-02.1b,  BC-01.1,  BC-03.1","BC-04.2, BC-04.3",,19.6.e,
Business Continuity & Resilience,Business Impact Assessment,CCF 12,"Business impact assessment (BIA) or continuity specific risk assessment are performed at least annually and when significant changes within [The Organization] occur. Results of the assessments are used to establish the scope of the continuity plan, determine business continuity priorities, and the recovery strategies. ",Process,,,,,,,,,,,,"6.1.1, 6.1.2, 8.2.1, 8.2.2, 8.2.3, 8.3.1, 8.3.2, 8.3.3, 8.3.4, 10.2","SP-01, PS-01, OPS-08, BCM-01, BCM-02, BCM-03, BCM-04","CA-2, CA-2 (1), CM-4, CP-1, CP-2, CP-9, RA-1, RA-3",,,,"14.1.1.3, 14.2.2.3, 14.2.3.3",,"1-5-3-2, 2-9-3-1, 3-1-3-1, 3-1-3-2, 3-1-3-3, 2-9-4, 3-1-1, 3-1-2",,"3.6.1 Establish an operational incident-handling capability for organizational systems that includes preparation, detection, analysis, containment, recovery, and user response activities.                ","RM-01.1,  RM-02.1b,  PM-05.1,  BC-02.1,  BC-03.1","OIS-04.2, PS-05.6, OPS-06.2, OPS-08.2, OPS-08.3, CS-03.4, PM-05.2, BC-02.2,  BC-02.3",OPS-16.2,"5.3.a, 5.3.c, 17.1.b",
Business Continuity & Resilience,Business Contingency Roles & Responsibilities,CCF 13,Business contingency roles and responsibilities are assigned to individuals and their contact information is communicated to authorized personnel.,People,,,,,,,,,,,,,,"CP-3, PS-2",,,"op.cont.2, mp.per.9","12.5.1.10, 12.6.1.3, 14.1.1.3, 16.1.4.1, 16.1.5.1",,"2-9-1, 2-9-2, 3-1-2",,,"ISP-02.1,  PS-02.5,  BC-01.1","ISP-02.2, BC-01.2,  BC-01.3",ISP-02.5,"11.2.1.c, 11.2.2.c",
Business Continuity & Resilience,Service Storage and Processing,CCF 14,"[The Organization] used for service, storage, processing, monitoring of customer data, support, and disaster recovery centers  reside in KSA (Kingdom of Saudi Arabia). All information stored cannot be stored outside of the KSA. ",Technology,,,,,,,,,,,,,,,,,,,,"2-3-P-1-10, 2-3-P-1-11",,,,,,,
Business Continuity & Resilience,Service Storage and Processing,CCF 15,"[The Organization] that store and process Spanish Customer Data must reside within the EU. [The Organization] used for electronic identification and signature must also be located within the EU. Identification and electronic signature [The Organization] that deal with specific categories of data (such as biometrics), must reside within the Spanish Territory.",Technology,,,,,,,,,,,,,,,mp.s.2,,,,,,,,,,,,
Business Continuity & Resilience,Service Storage and Processing,CCF 16,"[The Organization] evaluates the data localization laws and requests from EU. If requested, Systems [The Organization] that store and process EU Data reside within the EU.",Technology,,,,,,,,,,,,,"OIS-07, OPS-11",,,,,,,,,,,"PSS-05.1, PSS-05.2",,"12.13.a, 19.2.b",
Business Continuity & Resilience,Service Storage and Processing,CCF 17,"[The Organization] evaluates the data localization laws and requests from Japan. If requested, [The Organization] that store and process Japan Data  reside within Japan.",Technology,,,,,,,,,,,,,,,,,,8.2.3.5,,,,,,,,,
Business Continuity & Resilience,Backup Policy,CCF 18,Management maintains a backup policy or standard that is reviewed on a periodic basis. ,Process,,,,,,,,,,,,,,,,,,12.3.1.1,,,,,,,,,
Business Continuity & Resilience,Multi-Location Strategy,CCF 19,A multi-location or region strategy for production environments is employed to permit the resumption of operations at other [The Organization] facilities in the event of the loss of a facility.,Technology,,,,,,,"A.17.1.2, A.17.2.1","A.17.1.2, A.17.2.1",,6.9.3.1,6.9.3.1,8.3.5,"PS-02, OPS-06, OPS-07, OPS-09",,,mp.eq.9,"op.ext.9, op.cont.2, mp.if.9, mp.eq.9","17.1.2, 17.2.1",,"2-9-3-1, 2-15-3-2",,,,"PS-05.5, PS-05.6",,"12.5.d, 17.4.a",1580    
Business Continuity & Resilience,Audit Record Capacity,CCF 20,[The Organization] allocates audit record storage capacity in accordance with logging storage and retention requirements; Audit logs are retained for at least one year with one year of data immediately available for analysis.,Technology,,,,,,,,,,,,,,"AU-4, AU-11, AU-12",,,op.exp.10,"8.3.3.5, 12.4.1, 16.1.7","10.7.a, 10.7.b, 10.7.c","2-13-3-3, 2-12-3-5",,"3.3.1 Create and retain system audit logs and records to the extent needed to enable the monitoring, analysis, investigation, and reporting of unlawful or unauthorized system activity.                 ","OPS-13.1,  OPS-13.2","OPS-13.5, CS-01.3, PSS-01.2","OPS-11.4,  CCM-06.3","12.6.a, 12.6.c, 12.6.e, 12.7.a, 12.7.b, 12.7.c, 12.9.a, 16.4.b","0120, 0138, 1651, 1652, 1661, 1663, 1678, 1684, 1714, 1715        "
Business Continuity & Resilience,Audit Logging Alert,CCF 21,An alert is sent to relevant staff when the audit logging process failed.  Failures are addressed to resume system logging.,Technology,,,,,,,,,,,,,,,,,,,,,,3.3.4 Alert in the event of an audit logging process failure.                 ,OPS-16.1,,,"12.6.a, 12.6.b, 12.9.c","1651, 1652, 1661, 1663, 1678, 1684, 1714, 1715"
Business Continuity & Resilience,Customer Data Backup,CCF 22,"At least annually, full backups are configured for data stores housing sensitive customer data and personal information. Repeated Failed backups are investigated and resolved. Backups are periodically restored to validate the integrity of the backup. Details of the restoration test are logged and included over who performed the test, a description, and restored backup, as well as an integrity check of the restored backup.",Technology,"CC7.4, CC7.5, CC9.1","A1.2, A1.3",,,,"A.12.2.1, A.12.3.1, A.17.2.1",,,,,,,"OPS-06, OPS-07, OPS-08, PI-02","CP-9, CP-10",mp.info.9,mp.eq.9,"op.exp.10, op.ext.9, mp.eq.9","12.3.1, 17.2.1","12.10.1.a, 12.10.1.b","2-9-3-1, 2-15-3-2, 2-9-1, 2-9-2",6.2.K,,"OPS-07.1,  OPS-08.1,  OPS-09.1","OPS-06.2, DEV-03.5","OPS-07.3,  OPS-08.5,  OPS-09.5","12.4.a, 12.5.a, 12.5.c, 12.6.a, 12.6.b, 17.4.a, 17.5.a","1574, 1511   "
Business Continuity & Resilience,Customer Data Replication,CCF 23,Databases are replicated to a secondary data base or data center. Alerts are configured to notify administrators if replication fails.,Technology,"CC7.4, CC7.5, CC9.1","A1.2, A1.3",,,,"A.12.2.1, A.12.3.1, A.17.1.2, A.17.1.3, A.17.2.1",,,,,,,"PS-02, OPS-06, OPS-07, OPS-09","CP-9, CP-10",mp.info.9,"mp.eq.9, mp.info.9","op.ext.9, mp.eq.9, mp.info.9","12.3.1, 17.1.2, 17.1.3, 17.2.1",,"2-8-P-1-1, 2-8-P-1-2, 2-9-3-1, 2-9-1, 2-9-2",,,"OPS-07.1,  OPS-09.1","PS-05.5, OPS-06.2, OPS-09.3, DEV-03.5","OPS-07.3,  OPS-09.5","12.5.d, 17.4.a, 17.5.a","1547, 1511     "
Business Continuity & Resilience,Customer Data Backup,CCF 24,"[The Organization] provides the specifications of its backup capabilities to its cloud service customers or upon request. Where applicable, the specifications include scope and schedule of backups, backup methods and data formats, encryption of backup data, retention periods for backup data, integrity verification of backup data, procedures and timescale of data restore, and location of backup data. ",Process,,,,,,,,12.3.1,"12.3.1, A.11.3",,,,PSS-01,SI-12,mp.info.9,,,"6.3.1.1.PB, 12.1.5.1.PB, 12.3.1.16.P, 12.3.1.17.P, 12.3.1.18.P, 12.3.1.19.P, 12.3.1.20.P, 12.3.1.21.P, 12.3.1.22.P, 12.3.1.23.P, 12.3.1.24.P",,,"5.2.G, 6.2.K",,"OPS-03.1,  DOC-01.1,  DOC-03.1","OPS-06.2, DOC-01.2,  PSS-05.1","OPS-07.2,  OPS-08.4",17.6.a,"1574, 1511   "
Business Continuity & Resilience,Backup Location,CCF 25,Systems backups are securely stored in an alternate location from source data.,Technology,,,,,,,,,,,,,,,,,,,9.5.1,,,,OPS-09.1,OPS-09.3,,12.5.d,
Business Continuity & Resilience,Email Backup,CCF 26,[The Organization] periodically backs up emails. Repeated failed backups are investigated and reviewed.,Technology,,,,,,,,,,,,,,,,,,,,"2-4-1, 2-4-2, 2-4-3-3",,,,,,,
Business Continuity & Resilience,Backup Storage,CCF 27,Backups are stored offline or in a non-writable manner and are stored at a multiple geographically-dispersed locations.,Technology,,,,,,,,,,,,,,,,,,,,,,,,PS-05.5,,,1512 1513
Change & Configuration Management,SDLC Methodology,CCF 28,"A formal [The Organization] development life cycle (SDLC) methodology is in place that governs the development, acquisition, implementation, changes (including emergency changes), and maintenance of information [The Organization] and related technology requirements.",Process,"CC2.1, CC6.8, CC7.1, CC8.1",,,,,"A.12.1.1, A.14.1.1, A.14.2.1, A.14.2.2, A.14.2.3, A.14.2.4, A.14.2.5, A.14.2.6, A.14.2.8, A.14.2.9 ",,,,,,,"DEV-01, DEV-03, DEV-05, DEV-08, DEV-09, DEV-10","MA-2, SA-1, SA-3, SA-4, SI-2","op.pl.3, op.exp.2, op.exp.4, mp.sw.2","op.exp.5, op.ext.2, mp.sw.1","op.exp.5, op.ext.2, mp.sw.1","12.1.5.P, 14.2.1, 14.2.1.13.PB, 14.2.2, 14.2.3, 14.2.4, 14.2.5, 14.2.6, 14.2.8, 14.2.9, 4.5.4.4","6.3.a, 6.3.b, 6.3.c, 6.3.d, 6.4.5.a, 6.4.5.b, 6.4.5.1, 6.7","1-5-P-4, 2-16-P-1, 2-16-P-2, 1-5-3-4, 1-6-1, 1-6-3-1, 1-6-3-2, 1-6-4","6.2.K, 6.2.M","3.4.3 Track, review, approve, or disapprove, and log changes to organizational systems.   3.4.4 Analyze the security impact of changes prior to implementation.   3.7.1 Perform maintenance on organizational systems.  3.7.2 Provide controls on the tools, techniques, mechanisms, and personnel used to conduct system maintenance.  3.13.2 Employ architectural designs, software development techniques, and systems engineering principles that promote effective information security within organizational systems.   3.14.1 Identify, report, and correct information and information system flaws in a timely manner.      ","OIS-04.1,  AM-02.1,  OPS-02.1,  CCM-03.1,  DEV-01.1,  DEV-01.2,  DEV-03.1,  DEV-05.1","AM-01.4, AM-02.2, CCM-01.2, CCM-03.2, DEV-01.3, DEV-01.4, DEV-03.3","PS-04.6,  OPS-02.3,  CCM-03.7,  CCM-05.3,  DEV-02.4","5.1.a, 6.5.a, 14.1.a",1211 1419 0402 1239     
Change & Configuration Management,Cloud Provider Change Monitoring,CCF 29,Cloud Service Customers review and monitor changes made by the cloud service provider for appropriateness and any potential impact to the customer's instance.,Process,,,,,,,A.12.1.2,,,,,,"OPS-16, DEV-03, DEV-05, PSS-09",,,op.exp.5,op.exp.5,"9.4.4, 12.1.2, 12.5.1.17, 12.5.1.18, 14.2.4, 15.2.2, 13.1.1, 4.5.4.4, 4.5.4.5","6.3.a, 6.3.b, 6.3.c, 6.3.d","2-2-P-1-6, 4-2-1, 4-2-2",,,"RM-02.3,  CCM-01.1,  CCM-02.1,  CCM-04.1","CCM-01.2, PSS-01.2",PM-04.7,"6.5.b, 12.2.b, 12.2.c, 12.2.d",1211        
Change & Configuration Management,Change Approval and Testing Documentation,CCF 30,"Changes to service and supporting infrastructure components of the service are authorized, formally documented, tested, reviewed, and approved prior to being implemented in the production environment.",Process,"CC2.1, CC6.8, CC7.1, CC8.1",,,,Clause 8.1,"A.6.1.2, A.9.4.4, A.9.4.5, A.12.1.2, A.12.4.3, A.12.5.1, A.12.6.2, A.14.1.1, A.14.2.1, A.14.2.2, A.14.2.3, A.14.2.4, A.14.2.5, A.14.2.6, A.14.2.7, A.14.2.8, A.14.2.9",,,,,,,"OIS-04, OPS-16, DEV-01, DEV-02, DEV-03, DEV-06, DEV-07, DEV-08, PSS-02","CM-1, CM-4, CM-6, SI-2","org.4, op.pl.3, mp.sw.2","op.acc.3, op.exp.5, mp.sw.1","op.acc.3, op.exp.5, mp.sw.1","6.1.2, 9.4.4, 9.4.5, 12.1.2, 12.1.4.5, 12.1.5.P, 12.4.3, 12.5.1, 12.5.1.2, 12.6.2, 14.2.1, 14.2.2, 14.2.3, 14.2.4, 14.2.5, 14.2.6, 14.2.7, 14.2.8, 14.2.9, 4.5.4.1, 4.5.4.2, 4.5.4.3, 4.5.4.4, 4.5.4.5","1.1.1.a, 1.1.1.b, 1.1.1.c, 6.3.a, 6.3.b, 6.3.c, 6.3.d, 6.3.2.a, 6.3.2.b, 6.4, 6.4.5.1, 6.4.5.2, 6.4.5.3.a, 6.4.5.3.b, 6.4.6, 10.4.2.a, 10.4.2.b","1-5-P-1, 1-5-P-2, 1-5-P-3-1, 1-5-P-3-2, 2-3-P-1-5, 2-16-P-2, 1-5-3-2, 1-6-1, 1-6-2-1, 1-6-2-2, 1-6-3-1, 1-6-3-2, 1-6-3-3, 1-6-3-4, 1-6-3-5","6.2.B, 6.2.F, 6.2.K, 6.2.M","3.4.3 Track, review, approve, or disapprove, and log changes to organizational systems.   3.4.4 Analyze the security impact of changes prior to implementation.   3.13.2 Employ architectural designs, software development techniques, and systems engineering principles that promote effective information security within organizational systems.            ","OIS-02.2,  RM-02.3,  OPS-02.1,  OPS-15.2,  CCM-01.1,  CCM-02.1,  CCM-03.1,  CCM-05.1,  DEV-04.1,  DEV-05.1,  PSS-03.2","AM-03.3, CCM-01.2, CCM-02.2, CCM-03.2, CCM-03.3, CCM-03.6, DEV-03.3, DEV-06.3, DEV-06.5","OPS-02.3,  CCM-02.3,  CCM-03.7,  CCM-03.8,  CCM-03.10,  CCM-04.3,  CCM-05.3,  CCM-06.3,  DEV-02.4,  DEV-06.4","6.5.a, 6.5.b, 9.1.b, 12.2.a, 12.3.a, 14.1.a, 14.2.a, 14.2.b, 14.3.a, 14.6.a, 18.2.3.a",1211 1239 1419      
Change & Configuration Management,System Change Communication,CCF 31,System changes are communicated to authorized internal users via a ticketing system or any other documented process.,Process,"CC2.2, CC2.3",,,,,"A.12.1.2, A.14.2.2",,CLD.12.1.5,,,,,DEV-07,,,op.exp.5,op.exp.5,"12.1.2, 12.1.2.6, 14.2.2",,,"6.2.K, 6.2.M",,"CCM-05.1,  CCM-05.2,  CCM-06.1",,"CCM-04.3,  CCM-06.2",12.2.a,
Change & Configuration Management,Processing Change Notification,CCF 32,Customers are notified of critical changes that may affect their processing.,Process,"CC2.2, CC2.3",A1.1,,,Clause 7.4,"A.12.1.2, A.12.2.1, A.13.2.1, A.14.1.2, A.14.1.3, A.14.2.2, A.15.1.1, A.16.1.7",,,,,,,"OPS-21, DEV-05, DEV-09",,,"op.exp.5, op.exp.7, op.exp.9","op.exp.5, op.exp.7, op.exp.9","12.1.2.6, 12.1.2.11.PB, 13.2.1, 14.2.2, 16.1.7, 4.5.3.1, 4.9.1.1, 4.9.2.1, 4.9.2.2, 5.1.1.27.P",,,"6.2.G, 6.2.K, 6.2.L, 6.2.M, 6.2.N, 6.2.O, 6.2.Q, 6.3.A",,"CCM-01.1,  CCM-04.1,  PM-04.5","CCM-01.2, CCM-03.4, CCM-04.2","OPS-02.2,  CCM-02.4,  CCM-02.5","11.7.a, 12.2.b, 12.2.c, 12.2.d, 18.2.3.a",1578    
Change & Configuration Management,System Configuration Management,CCF 33,A configuration management system is in place to ensure that system configurations are deployed consistently throughout the production environment.,Technology,"CC3.4, CC7.2",,,,,"A.12.5.1, A.12.6.2",,,,,,,,"CM-1, CM-2, CM-6, CM-7",,op.exp.3,op.exp.3,"12.5.1, 12.5.1.7, 12.6.2, 13.1.4.P","1.2.2.a, 1.2.2.b, 10.4.2.a, 10.4.2.b, 11.4.a, 11.4.b, 11.4.c, 11.5.a, 11.5.b, 11.5.1","2-1-P-1-1, 2-3-P-1-1, 2-3-P-1-3, 2-3-P-1-4, 2-3-P-1-5, 1-6-2-2",6.2.K,"3.4.1 Establish and maintain baseline configurations and inventories of organizational systems (including hardware, software, firmware, and documentation) throughout the respective system development life cycles.  3.4.6 Employ the principle of least functionality by configuring organizational systems to provide only essential capabilities.   3.4.2 Establish and enforce security configuration settings for information technology products employed in organizational systems.  3.4.5 Define, document, approve, and enforce physical and logical access restrictions associated with changes to organizational systems.          ",OPS-21.1,PSS-03.3,OPS-21.3,"12.4.a, 12.10.b",0303 1499 1497 1500    
Change & Configuration Management,Environment Identification,CCF 34,"Infrastructure components clearly display the environment that is being accessed (i.e. dev, test, prod).",Technology,,,,,,,,,,,,,,,,,,12.1.4.8,,,,,,,,,
