description,controlId
"Exceptions to the policies and instructions for information security as well as respective controls go through the OIS-06 risk management process, including approval of these exceptions and acceptance of the associated risks by the risk owners. The approvals of exceptions are documented, limited in time and are reviewed for appropriateness at least annually by the risk owners.",ISP-03
"The competency and integrity of all internal and external employees of the Cloud Service Provider with access to cloud customer data or system components under the Cloud Service Provider's responsibility who are responsible to provide the cloud service in the production environment shall be verified prior to commencement of employment in accordance with local legislation and regulation by the Cloud Service Provider.

To the extent permitted by law, the review will cover the following areas:

• Verification of the person through identity card;

• Verification of the CV;

• Verification of academic titles and degrees;

• Request of a police clearance certificate for applicants;

• Certificate of good conduct or national equivalent; and

• Evaluation of the risk to be blackmailed.",HR-01
"The competency and integrity of all internal and external employees of the Cloud Service Provider with access to cloud customer data or system components under the Cloud Service Provider's responsibility who are responsible to provide the cloud service in the production environment shall be verified prior to commencement of employment in accordance with local legislation and regulation by the Cloud Service Provider.

To the extent permitted by law, the review will cover the following areas:

• Verification of the person through identity card;

• Verification of the CV;

• Verification of academic titles and degrees;

• Request of a police clearance certificate for applicants;

• Certificate of good conduct or national equivalent; and

• Evaluation of the risk to be blackmailed.",HR-02
"The Cloud Service Provider's internal and external employees are required by the employment terms and conditions to comply with applicable policies and instructions relating to information security.

The information security policy, and the policies and instructions based on it, are to be acknowledged by the internal and external personnel in a documented form before access is granted to any cloud customer data or system components under the responsibility of the Cloud Service Provider used to provide the cloud service in the production environment.",HR-03
"The Cloud Service Provider operates a target group-oriented security awareness and training program, which is completed by all internal and external employees of the Cloud Service Provider on a regular basis. The program is regularly updated based on changes to policies and instructions and the current threat situation and includes the following aspects:

• Handling system components used to provide the cloud service in the production environment in accordance with applicable policies and procedures;

• Handling cloud customer data in accordance with applicable policies and instructions and applicable legal and regulatory requirements;

• Information about the current threat situation; and

• Correct behaviour in the event of security incidents.",HR-04
"Internal and external employees have been informed about which responsibilities, arising from employment terms and conditions relating to information security, will remain in place when their employment is terminated or changed and for how long.",HR-05
"The non-disclosure or confidentiality agreements to be agreed with internal employees, external service providers and suppliers of the Cloud Service Provider are based on the requirements identified by the Cloud Service Provider for the protection of confidential information and operational details. 

The agreements are to be accepted by external service providers and suppliers when the contract is agreed. The agreements must be accepted by internal employees of the Cloud Service Provider before authorisation to access data of cloud customers is granted.

The requirements must be documented and reviewed at regular intervals (at least annually). If the review shows that the requirements need to be adapted, the non-disclosure or confidentiality agreements are updated.

The Cloud Service Provider must inform the internal employees, external service providers and suppliers and obtain confirmation of the updated confidentiality or non-disclosure agreement.",HR-06
"The Cloud Service Provider has established procedures for inventorying assets.

The inventory is performed automatically and/or by the people or teams responsible for the assets to ensure complete, accurate, valid and consistent inventory throughout the asset lifecycle.

Assets are recorded with the information needed to apply the Risk Management Procedure (Cf. OIS-07), including the measures taken to manage these risks throughout the asset lifecycle. Changes to this information are logged.",AM-01
"Policies and instructions for acceptable use and safe handling of assets are documented, communicated and provided in accordance with SP-01 and address the following aspects of the asset lifecycle as applicable to the asset:

• Approval procedures for acquisition, commissioning, maintenance, decommissioning, and disposal by authorised personnel or system components;

• Inventory;

• Classification and labelling based on the need for protection of the information and measures for the level of protection identified;

• Secure configuration of mechanisms for error handling, logging, encryption, authentication and authorisation;

• Requirements for versions of software and images as well as application of patches;

• Handling of software for which support and security patches are not available anymore;

• Restriction of software installations or use of services;

• Protection against malware;

• Remote deactivation, deletion or blocking;

• Physical delivery and transport;

• dealing with incidents and vulnerabilities; and

• Complete and irrevocable deletion of the data upon decommissioning.",AM-02
"The Cloud Service Provider has an approval process for the use of hardware to be commissioned, which is used to provide the cloud service in the production environment, in which the risks arising from the commissioning are identified, analysed and mitigated. Approval is granted after verification of the secure configuration of the mechanisms for error handling, logging, encryption, authentication and authorisation according to the intended use and based on the applicable policies.",AM-03
"The decommissioning of hardware used to operate system components supporting the cloud service production environment under the responsibility of the Cloud Service Provider requires approval based on the applicable policies.

The decommissioning includes the complete and permanent deletion of the data or proper destruction of the media.",AM-03
"The Cloud Service Provider's internal and external employees are provably committed to the policies and instructions for acceptable use and safe handling of assets before they can be used if the Cloud Service Provider has determined in a risk assessment that loss or unauthorised access could compromise the information security of the Cloud Service.

Any assets handed over are provably returned upon termination of employment.",AM-04
"Assets are classified and, if possible, labelled. Classification and labelling of an asset reflect the protection needs of the information it processes, stores, or transmits.

The need for protection is determined by the individuals or groups responsible for the assets of the Cloud Service Provider according to a uniform schema. The schema provides levels of protection for the confidentiality, integrity, availability, and authenticity protection objectives.",AM-05
"Security requirements for premises and buildings related to the cloud service provided, are based on the security objectives of the information security policy, identified protection requirements for the cloud service and the assessment of risks to physical and environmental security. The security requirements are documented, communicated and provided in a policy or concept according to SP-01.

The security requirements for data centres are based on criteria which comply with established rules of technology. They are suitable for addressing the following risks in accordance with the applicable legal and contractual requirements:

• Faults in planning;

• Unauthorised access;

• Insufficient surveillance;

• Insufficient air-conditioning;

• Fire and smoke; 

• Water;

• Power failure; and

• Air ventilation and filtration.

If the Cloud Service Provider uses premises or buildings operated by third parties to provide the Cloud Service, the document describes which security requirements the Cloud Service Provider places on these third parties. 

The appropriate and effective verification of implementation is carried out in accordance with the criteria for controlling and monitoring subcontractors (cf. SSO-01, SSO-02).",PS-01
"Security requirements for premises and buildings related to the cloud service provided, are based on the security objectives of the information security policy, identified protection requirements for the cloud service and the assessment of risks to physical and environmental security. The security requirements are documented, communicated and provided in a policy or concept according to SP-01.

The security requirements for data centres are based on criteria which comply with established rules of technology. They are suitable for addressing the following risks in accordance with the applicable legal and contractual requirements:

• Faults in planning;

• Unauthorised access;

• Insufficient surveillance;

• Insufficient air-conditioning;

• Fire and smoke; 

• Water;

• Power failure; and

• Air ventilation and filtration.

If the Cloud Service Provider uses premises or buildings operated by third parties to provide the Cloud Service, the document describes which security requirements the Cloud Service Provider places on these third parties. 

The appropriate and effective verification of implementation is carried out in accordance with the criteria for controlling and monitoring subcontractors (cf. SSO-01, SSO-02).",PS-05
"The cloud service is provided from two locations that are redundant to each other. The locations meet the security requirements of the Cloud Service Provider (cf. PS-01 Security Concept) and are located in an adequate distance to each other to achieve operational redundancy. Operational redundancy is designed in a way that ensures that the availability requirements specified in the service level agreement are met. The functionality of the redundancy is checked at least annually by suitable tests and exercises (cf. BCM-04 - Verification, updating and testing of business continuity). ",PS-05
"The structural shell of premises and buildings related to the cloud service provided are physically solid and protected by adequate security measures that meet the security requirements of the Cloud Service Provider (cf. PS-01 Security Concept).

The security measures are designed to detect and prevent unauthorised access so that the information security of the cloud service is not compromised.

The outer doors, windows and other construction elements exhibit an appropriate security level and withstand a burglary attempt for at least 10 minutes. 

The surrounding wall constructions as well as the locking mechanisms meet the associated requirements.",PS-02
"At access points to premises and buildings related to the cloud service provided, physical access controls are set up in accordance with the Cloud Service Provider's security requirements (cf. PS-01 Security Concept) to prevent unauthorised access.

Access controls are supported by an access control system.

The requirements for the access control system are documented, communicated and provided in a policy or concept in accordance with SP-01 and include the following aspects:

• Specified procedure for the granting and revoking of access authorisations (cf. IDM-02) based on the principle of least authorisation (""least-privilege-principle"") and as necessary for the performance of tasks (""need-to-know-principle"");

• Automatic revocation of access authorisations if they have not been used for a period of 2 month;

• Automatic withdrawal of access authorisations if they have not been used for a period of 6 months;

• Two-factor authentication for access to areas hosting system components that process cloud customer information;

• Visitors and external personnel are tracked individually by the access control during their work in the premises and buildings, identified as such (e.g. by visible wearing of a visitor pass) and supervised during their stay; and

• Existence and nature of access logging that enables the Cloud Service Provider, in the sense of an effectiveness audit, to check whether only defined personnel have entered the premises and buildings related to the cloud service provided.",PS-02
"Measures to prevent the failure of the technical supply facilities required for the operation of system components with which information from cloud customers is processed, are documented and set up in accordance with the security requirements of the Cloud Service Provider (cf. PS-01 Security Concept) with respect to the following aspects:

a) Operational redundancy (N+1) in power and cooling supply

b) Use of appropriately sized uninterruptible power supplies (UPS) and emergency power systems (NEA), designed to ensure that all data remains undamaged in the event of a power failure. The functionality of UPS and NEA is checked at least annually by suitable tests and exercises (cf. BCM-04 - Verification, updating and testing of business continuity).

c) Maintenance (servicing, inspection, repair) of the utilities in accordance with the manufacturer's recommendations. 

d) Protection of power supply and telecommunications lines against interruption, interference, damage and eavesdropping. The protection is checked regularly, but at least every two years, as well as in case of suspected manipulation by qualified personnel regarding the following aspects:

• Traces of violent attempts to open closed distributors;

• Up-to-datedness of the documentation in the distribution list;

• Conformity of the actual wiring and patching with the documentation;

• The short-circuits and earthing of unneeded cables are intact; and

• Impermissible installations and modifications.",PS-04
"The planning of capacities and resources (personnel and IT resources) follows an established procedure in order to avoid possible capacity bottlenecks. The procedures include forecasting future capacity requirements in order to identify usage trends and manage system overload. 

Cloud Service Providers take appropriate measures to ensure that they continue to meet the requirements agreed with cloud customers for the provision of the cloud service in the event of capacity bottlenecks or outages regarding personnel and IT resources, in particular those relating to the dedicated use of system components, in accordance with the respective agreements.",OPS-01
"Technical and organisational safeguards for the monitoring and provisioning and de-provisioning of cloud services are defined. Thus, the Cloud Service Provider ensures that resources are provided and/or services are rendered according to the contractual agreements and that compliance with the service level agreements is ensured.",OPS-02
"Depending on the capabilities of the respective service model, the cloud customer can control and monitor the allocation of the system resources assigned to the customer for administration/use in order to avoid overcrowding of resources and to achieve sufficient performance.",OPS-03
"Policies and instructions with specifications for protection against malware are documented, communicated, and provided in accordance with SP-01 with respect to the following aspects:

• Use of system-specific protection mechanisms;

• Operating protection programs on system components under the responsibility of the Cloud Service Provider that are used to provide the cloud service in the production environment; and

• Operation of protection programs for employees' terminal equipment.",OPS-04
"System components under the Cloud Service Provider's responsibility that are used to deploy the cloud service in the production environment are configured with malware protection according to the policies and instructions. If protection programs are set up with signature and behaviour-based malware detection and removal, these protection programs are updated at least daily.",OPS-05
"Policies and instructions for data backup and recovery are documented, communicated and provided in accordance with SP-01 regarding the following aspects.

• The extent and frequency of data backups and the duration of data retention are consistent with the contractual agreements with the cloud customers and the Cloud Service Provider's operational continuity requirements for Recovery Time Objective (RTO) and Recovery Point Objective (RPO);

• Data is backed up in encrypted, state-of-the-art form; 

• Access to the backed-up data and the execution of restores is performed only by authorised persons; and

• Tests of recovery procedures (cf. OPS-08).",OPS-06
The execution of data backups is monitored by technical and organisational measures. Malfunctions are investigated by qualified staff and rectified promptly to ensure compliance with contractual obligations to cloud customers or the Cloud Service Provider's business requirements regarding the scope and frequency of data backup and the duration of storage.,OPS-07
"Restore procedures are tested regularly, at least annually. The tests allow an assessment to be made as to whether the contractual agreements as well as the specifications for the maximum tolerable downtime (Recovery Time Objective, RTO) and the maximum permissible data loss (Recovery Point Objective, RPO) are adhered to (cf. BCM-02).

Deviations from the specifications are reported to the responsible personnel or system components so that these can promptly assess the deviations and initiate the necessary actions.",OPS-08
"The Cloud Service Provider transfers data to be backed up to a remote location or transports these on backup media to a remote location. If the data backup is transmitted to the remote location via a network, the data backup or the transmission of the data takes place in an encrypted form that corresponds to the state-of-the-art. The distance to the main site is chosen after sufficient consideration of the factors recovery times and impact of disasters on both sites. The physical and environmental security measures at the remote site are at the same level as at the main site.",OPS-09
"The Cloud Service Provider has established policies and instructions that govern the logging and monitoring of events on system components within its area of responsibility. These policies and instructions are documented, communicated and provided according to SP-01 with respect to the following aspects:

• Definition of events that could lead to a violation of the protection goals;

• Specifications for activating, stopping and pausing the various logs;

• Information regarding the purpose and retention period of the logs.

• Define roles and responsibilities for setting up and monitoring logging;

• Time synchronisation of system components; and

• Compliance with legal and regulatory frameworks.",OPS-10
"Policies and instructions for the secure handling of metadata (usage data) are documented, communicated and provided according to SP-01 with regard to the following aspects:

• Metadata is collected and used solely for billing, incident management and security incident management purposes;

• Exclusively anonymous metadata to deploy and enhance the cloud service so that no conclusions can be drawn about the cloud customer or user;

• No commercial use; 

• Storage for a fixed period reasonably related to the purposes of the collection;

• Immediate deletion if the purposes of the collection are fulfilled and further storage is no longer necessary.

• Provision to cloud customers according to contractual agreements.",OPS-11
"The requirements for the logging and monitoring of events and for the secure handling of metadata are implemented by technically supported procedures with regard to the following restrictions:

• Access only for authorised users and systems;

• Retention for the specified period; and

• Deletion when further retention is no longer necessary for the purpose of collection.",OPS-13
"The logging data is automatically monitored for events that may violate the protection goals in accordance with the logging and monitoring requirements. This also includes the detection of relationships between events (event correlation). 

Identified events are automatically reported to the appropriate departments for prompt evaluation and action.",OPS-12
"The Cloud Service Provider retains the generated log data and keeps these in an appropriate, unchangeable and aggregated form, regardless of the source of such data, so that a central, authorised evaluation of the data is possible. Log data is deleted if it is no longer required for the purpose for which they were collected. 

Between logging servers and the assets to be logged, authentication takes place to protect the integrity and authenticity of the information transmitted and stored. The transfer takes place using state-of-the-art encryption or a dedicated administration network (out-of-band management).",OPS-13
"The log data generated allows an unambiguous identification of user accesses at tenant level to support (forensic) analysis in the event of a security incident. 

Interfaces are available to conduct forensic analyses and perform backups of infrastructure components and their network communication.",OPS-14
Access to system components for logging and monitoring in the Cloud Service Provider’s area of responsibility is restricted to authorised users. Changes to the configuration are made in accordance with the applicable policies (cf. DEV-03).,OPS-15
The Cloud Service Provider monitors the system components for logging and monitoring in its area of responsibility. Failures are automatically and promptly reported to the Cloud Service Provider’s responsible departments so that these can assess the failures and take required action.,OPS-16
"Guidelines and instructions with technical and organisational measures are documented, communicated and provided in accordance with SP-01 to ensure the timely identification and addressing of vulnerabilities in the system components used to provide the cloud service. These guidelines and instructions contain specifications regarding the following aspects:

• Regular identification of vulnerabilities;

• Assessment of the severity of identified vulnerabilities;

• Prioritisation and implementation of actions to promptly remediate or mitigate identified vulnerabilities based on severity and according to defined timelines; and

• Handling of system components for which no measures are initiated for the timely remediation or mitigation of vulnerabilities.",OPS-17
"The Cloud Service Provider has penetration tests carried out by qualified internal personnel or external service providers at least once a year. The penetration tests are carried out according to a documented test methodology and include the system components relevant to the provision of the cloud service in the area of responsibility of the Cloud Service Provider, which have been identified as such in a risk analysis. 

The Cloud Service Provider assess the severity of the findings made in penetration tests according to defined criteria.

For findings with medium or high criticality regarding the confidentiality, integrity or availability of the cloud service, actions must be taken within defined time windows for prompt remediation or mitigation.",OPS-19
"The Cloud Service Provider regularly measures, analyses and assesses the procedures with which vulnerabilities and incidents are handled to verify their continued suitability, appropriateness and effectiveness.

Results are evaluated at least quarterly by accountable departments at the Cloud Service Provider to initiate continuous improvement actions and to verify their effectiveness.",OPS-20
"The Cloud Service Provider periodically informs the cloud customer on the status of incidents affecting the cloud customer, or, where appropriate and necessary, involve the customer in the resolution, in a manner consistent with the contractual agreements.

As soon as an incident has been resolved from the Cloud Service Provider's perspective, the cloud customer is informed according to the contractual agreements, about the actions taken.",IM-05
"System components in the area of responsibility of the Cloud Service Provider for the provision of the cloud service are automatically checked for known vulnerabilities at least once a month in accordance with the policies for handling vulnerabilities (cf. OPS-18), the severity is assessed in accordance with defined criteria and measures for timely remediation or mitigation are initiated within defined time windows.",OPS-17
"System components in the area of responsibility of the Cloud Service Provider for the provision of the cloud service are automatically checked for known vulnerabilities at least once a month in accordance with the policies for handling vulnerabilities (cf. OPS-18), the severity is assessed in accordance with defined criteria and measures for timely remediation or mitigation are initiated within defined time windows.",OPS-19
"System components in the production environment used to provide the cloud service under the Cloud Service Provider's responsibility are hardened according to generally accepted industry standards. The hardening requirements for each system component are documented.

If non-modifiable (""immutable"") images are used, compliance with the hardening specifications as defined in the hardening requirements is checked upon creation of the images. Configuration and log files regarding the continuous availability of the images are retained.",OPS-21
Cloud customer data stored and processed on shared virtual and physical resources is securely and strictly separated according to a documented approach based on OIS-07 risk analysis to ensure the confidentiality and integrity of this data.,OPS-22
"A role and rights concept based on the business and security requirements of the Cloud Service Provider as well as a policy for managing user accounts and access rights for internal and external employees of the Cloud Service Provider and system components that have a role in automated authorisation processes of the Cloud Service Provider are documented, communicated and made available according to SP-01:

• Assignment of unique usernames; 

• Granting and modifying user accounts and access rights based on the “least-privilege- principle” and the “need-to-know” principle;

• Segregation of duties between operational and monitoring functions (“Segregation of Duties”); 

• Segregation of duties between managing, approving and assigning user accounts and access rights; 

• Approval by authorised individual(s) or system(s) for granting or modifying user accounts and access rights before data of the cloud customer or system components used to provision the cloud service can be accessed; 

• Regular review of assigned user accounts and access rights; 

• Blocking and removing access accounts in the event of inactivity; 

• Time-based or event-driven removal or adjustment of access rights in the event of changes to job responsibility; 

• Two-factor or multi-factor authentication for users with privileged access;

• Requirements for the approval and documentation of the management of user accounts and access rights.",IAM-01
"A role and rights concept based on the business and security requirements of the Cloud Service Provider as well as a policy for managing user accounts and access rights for internal and external employees of the Cloud Service Provider and system components that have a role in automated authorisation processes of the Cloud Service Provider are documented, communicated and made available according to SP-01:

• Assignment of unique usernames; 

• Granting and modifying user accounts and access rights based on the “least-privilege- principle” and the “need-to-know” principle;

• Segregation of duties between operational and monitoring functions (“Segregation of Duties”); 

• Segregation of duties between managing, approving and assigning user accounts and access rights; 

• Approval by authorised individual(s) or system(s) for granting or modifying user accounts and access rights before data of the cloud customer or system components used to provision the cloud service can be accessed; 

• Regular review of assigned user accounts and access rights; 

• Blocking and removing access accounts in the event of inactivity; 

• Time-based or event-driven removal or adjustment of access rights in the event of changes to job responsibility; 

• Two-factor or multi-factor authentication for users with privileged access;

• Requirements for the approval and documentation of the management of user accounts and access rights.",IAM-02
Specified procedures for granting and modifying user accounts and access rights for internal and external employees of the Cloud Service Provider as well as for system components involved in automated authorisation processes of the Cloud Service Provider ensure compliance with the role and rights concept as well as the policy for managing user accounts and access rights.,IAM-04
"User accounts of internal and external employees of the Cloud Service Provider as well as for system components involved in automated authorisation processes of the Cloud Service Provider are automatically locked if they have not been used for a period of two months. Approval from authorised personnel or system components are required to unlock these accounts.

Locked user accounts are automatically revoked after six months. After revocation, the procedure for granting user accounts and access rights (cf. IDM-02) must be repeated.",IAM-03
"Access rights are promptly revoked if the job responsibilities of the Cloud Service Provider's internal or external staff or the tasks of system components involved in the Cloud Service Provider's automated authorisation processes change. Privileged access rights are adjusted or revoked within 48 hours after the change taking effect. All other access rights are adjusted or revoked within 14 days. After revocation, the procedure for granting user accounts and access rights (cf. IDM-02) must be repeated.",IAM-04
"Access rights of internal and external employees of the Cloud Service Provider as well as of system components that play a role in automated authorisation processes of the Cloud Service Provider are reviewed at least once a year to ensure that they still correspond to the actual area of use. The review is carried out by authorised persons from the Cloud Service Provider's organisational units, who can assess the appropriateness of the assigned access rights based on their knowledge of the task areas of the employees or system components. Identified deviations will be dealt with promptly, but no later than 7 days after their detection, by appropriate modification or withdrawal of the access rights.",IAM-05
"Privileged access rights for internal and external employees as well as technical users of the Cloud Service Provider are assigned and changed in accordance to the policy for managing user accounts and access rights (cf. IDM-01) or a separate specific policy.

Privileged access rights are personalised, limited in time according to a risk assessment and assigned as necessary for the execution of tasks (""need-to-know principle""). Technical users are assigned to internal or external employees of the Cloud Service Provider.

Activities of users with privileged access rights are logged in order to detect any misuse of privileged access in suspicious cases. The logged information is automatically monitored for defined events that may indicate misuse. When such an event is identified, the responsible personnel are automatically informed so that they can promptly assess whether misuse has occurred and take corresponding action. In the event of proven misuse of privileged access rights, disciplinary measures are taken in accordance with HR-04.",IAM-06
"The cloud customer is informed by the Cloud Service Provider whenever internal or external employees of the Cloud Service Provider read or write to the cloud customer's data processed, stored or transmitted in the cloud service or have accessed it without the prior consent of the cloud customer. The Information is provided whenever data of the cloud customer is/was not encrypted, the encryption is/was disabled for access or the contractual agreements do not explicitly exclude such information. The information contains the cause, time, duration, type and scope of the access. The information is sufficiently detailed to enable subject matter experts of the cloud customer to assess the risks of the access. The information is provided in accordance with the contractual agreements, or within 72 hours after the access.",IAM-09
"The allocation of authentication information to access system components used to provide the cloud service to internal and external users of the cloud provider and system components that are involved in automated authorisation processes of the cloud provider is done in an orderly manner that ensures the confidentiality of the information. If passwords are used as authentication information, their confidentiality is ensured by the following procedures, as far as technically possible: 

• Users can initially create the password themselves or must change an initial password when logging on to the system component for the first time. An initial password loses its validity after a maximum of 14 days.

• When creating passwords, compliance with the password specifications (cf. IDM-09) is enforced as far as technically possible.

• The user is informed about changing or resetting the password.

• The server-side storage takes place using cryptographically strong hash functions.

Deviations are evaluated by means of a risk analysis and mitigating measures derived from this are implemented.",IAM-08
"System components in the Cloud Service Provider's area of responsibility that are used to provide the cloud service, authenticate users of the Cloud Service Provider's internal and external employees as well as system components that are involved in the Cloud Service Provider's automated authorisation processes. Access to the production environment requires two-factor or multi-factor authentication. Within the production environment, user authentication takes place through passwords, digitally signed certificates or procedures that achieve at least an equivalent level of security. If digitally signed certificates are used, administration is carried out in accordance with the Guideline for Key Management (cf. CRY-01). The password requirements are derived from a risk assessment and documented, communicated and provided in a password policy according to SP-01. Compliance with the requirements is enforced by the configuration of the system components, as far as technically possible.",IAM-07
"Policies and instructions with technical and organisational safeguards for encryption procedures and key management are documented, communicated and provided according to SP-01, in which the following aspects are described:

• Usage of strong encryption procedures and secure network protocols that correspond to the state-of-the-art;

• Risk-based provisions for the use of encryption which are aligned with the information classification schemes (cf. AM-06) and consider the communication channel, type, strength and quality of the encryption;

• Requirements for the secure generation, storage, archiving, retrieval, distribution, withdrawal and deletion of the keys; and 

• Consideration of relevant legal and regulatory obligations and requirements.",CKM-01
The Cloud Service Provider has established procedures and technical measures for strong encryption and authentication for the transmission of data of cloud customers over public networks.,CKM-02
"The Cloud Service Provider has established procedures and technical safeguards to encrypt cloud customers' data during storage. The private keys used for encryption are known only to the cloud customer in accordance with applicable legal and regulatory obligations and requirements. Exceptions follow a specified procedure. The procedures for the use of private keys, including any exceptions, must be contractually agreed with the cloud customer.",CKM-03
"Procedures and technical safeguards for secure key management in the area of responsibility of the Cloud Service Provider include at least the following aspects: 

• Generation of keys for different cryptographic systems and applications;

• Issuing and obtaining public-key certificates;

• Provisioning and activation of the keys;

• Secure storage of keys (separation of key management system from application and middleware level) including description of how authorised users get access;

• Changing or updating cryptographic keys including policies defining under which conditions and in which manner the changes and/or updates are to be realised;

• Handling of compromised keys; 

• Withdrawal and deletion of keys; and 

• If pre-shared keys are used, the specific provisions relating to the safe use of this procedure are specified separately.",CKM-04
"Based on the results of a risk analysis carried out according to OIS-06, the Cloud Service Provider has implemented technical safeguards which are suitable to promptly detect and respond to network-based attacks on the basis of irregular incoming or outgoing traffic patterns and/or Distributed Denial- of-Service (DDoS) attacks. Data from corresponding technical protection measures implemented is fed into a comprehensive SIEM (Security Information and Event Management) system, so that (counter) measures regarding correlating events can be initiated. The safeguards are documented, communicated and provided in accordance with SP-01.",CS-01
"Specific security requirements are designed, published and provided for establishing connections within the Cloud Service Provider's network. The security requirements define for the Cloud Service Provider's area of responsibility: 

• in which cases the security zones are to be separated and in which cases cloud customers are to be logically or physically segregated;

• which communication relationships and which network and application protocols are permitted in each case;

• how the data traffic for administration and monitoring is segregated from each on network level;

• which internal, cross-location communication is permitted and;

• which cross-network communication is allowed",CS-02
"A distinction is made between trusted and untrusted networks. Based on a risk assessment, these are separated into different security zones for internal and external network areas (and DMZ, if applicable). Physical and virtualised network environments are designed and configured to restrict and monitor the established connection to trusted or untrusted networks according to the defined security requirements.

The entirety of the conception and configuration undertaken to monitor the connections mentioned is assessed in a risk-oriented manner, at least annually, with regard to the resulting security requirements.

Identified vulnerabilities and deviations are subject to risk assessment in accordance with the risk management procedure (cf. OIS-06) and follow-up measures are defined and tracked (cf. OPS-18).

At specified intervals, the business justification for using all services, protocols, and ports is reviewed. The review also includes the justifications for compensatory measures for the use of protocols that are considered insecure.",CS-03
Data traffic of cloud customers in jointly used network environments is segregated on network level according to a documented concept to ensure the confidentiality and integrity of the data transmitted.,CS-04
Data traffic of cloud customers in jointly used network environments is segregated on network level according to a documented concept to ensure the confidentiality and integrity of the data transmitted.,CS-05
