anchor,positive,source_standard,control_id
Policies and documentation are in place to establish a safe and secure work environment. These policies are reviewed at least annually and updated as necessary. Revision histories and review periods are defined within the policies themselves and Systems Policy Governance Policy.,The provider must document and implement work relating to work in private and sensitive areas. He must communicate these procedures to the stakeholders concerned.,SecNumCloud,11.4.b
"Data protection policies are in place to help ensure that confidential, personal and sensitive customer data is properly secured and restricted to authorized personnel. Included are policies of how CUI (Controlled Unclassified Information) data is handled.","When the sponsor entrusts the service provider with data subject to specific legal, regulatory or sectoral constraints, the service provider must identify the specific security needs associated with these constraints.",SecNumCloud,8.3.b
"Data protection policies are in place to help ensure that confidential, personal and sensitive customer data is properly secured and restricted to authorized personnel. Included are policies of how CUI (Controlled Unclassified Information) data is handled.","Within the framework of technical support, if the actions necessary for the diagnosis and the resolution of a problem encountered by a sponsor require access to the data of the sponsor, then the service provider must: - only allow access to the data of the sponsor only after the explicit consent of the sponsor; - Check that the person to whom access must be authorized has satisfied the checks of the requirement 7.1.B; - In the case of an intervention carried out remotely by a localized person outside the European Union, implement a secure gateway (rebound position) by which the person must connect and allow supervision (authorization or prohibition of actions, requests for explanations, etc.) in real time, by a person who has herself satisfied with the checks of the requirement 7.1.b. The secure gateway will have to respond to cloud computer service providers (SecnumCloud) - Date District version Referential Distribution Critory Safety Objectives2 specified in [G_EXT] Adapted to the context of technical support actions; - Consider the actions carried out, once the access is authorized, as actions of administration and journalist as such; - Delete authorization to access the data of the sponsor at the end of these actions. 2 Safety objectives of the secure gateway [G_EXT]: - authenticate the remote machine and the person in charge of the support; - prevent the exploitation of vulnerabilities or stolen doors on the telemas; - Guarantee the confidentiality and integrity of data on the IS; - Ensure a traceability of confidence of the actions carried out by the technician of the support center; -Guarantee the safety of the telemaintin function vis-à-vis the system subject to teleodiagnostics as well as related systems; - Guarantee the absence of a leak of information outside. IT service providers in clouds (SecnumCloud) - Date Date Version References Dispute Criterion Page",SecNumCloud,9.7.d
"Data protection policies are in place to help ensure that confidential, personal and sensitive customer data is properly secured and restricted to authorized personnel. Included are policies of how CUI (Controlled Unclassified Information) data is handled.","The service provider must, according to its role in the processing of personal data (controller, subcontractor or co-responsible) justify and document the choices of technical and organizational measures made in order to meet the protection requirements of personal data of this standard (see part 19.5).",SecNumCloud,18.1.b
"Data protection policies are in place to help ensure that confidential, personal and sensitive customer data is properly secured and restricted to authorized personnel. Included are policies of how CUI (Controlled Unclassified Information) data is handled.","The service provider must document and implement the procedures to comply with the legal, regulatory and contractual requirements in force applicable to the service, as well as specific security needs (see requirement 8.3b)).",SecNumCloud,18.1.c
"A formal inventory of production system assets is maintained, and any discrepancies are tracked and resolved.","must be protected by specific security measures, shall bear the corresponding markings or metadata indicating the level of security of the information contained with the highest rating. Reinforcement R1 -Digital Watermark.",Spanish ENS,mp.info.2
"A formal inventory of production system assets is maintained, and any discrepancies are tracked and resolved.","The service provider must keep up to date the inventory of all the equipment implementing the service. This inventory must specify for each equipment: - equipment identification information (names, IP addresses, Mac addresses, etc.); - the function of the equipment; - the equipment model; - the location of the equipment; - the owner of the equipment; - The need for information security (within the meaning of chapter 8.3).",SecNumCloud,8.1.a
"A formal inventory of production system assets is maintained, and any discrepancies are tracked and resolved.","The provider must keep up to date the inventory of all the software implementing the service. This inventory must identify for each software, its version and the equipment on which the software is installed.",SecNumCloud,8.1.b
"A formal inventory of production system assets is maintained, and any discrepancies are tracked and resolved.","The service provider must establish and keep up to date a cartography of the service information system, in connection with the asset inventory (see chapter 8.1), comprising at least the following elements: - The list of material or virtualized resources; - The names and functions of the applications, supporting the service; - the network architecture scheme at level 3 of the OSI model on which the neuralgic points are identified: - interconnection points, in particular with third and public networks, - networks, subnets, in particular administration networks, - equipment providing security functions (filtering, authentication, encryption, etc.), - servers hosting data or ensuring sensitive functions; - The authorized network flow matrix specifying: - their technical description (services, protocols and ports); - business justification or technical infrastructure; - If necessary, when services, protocols or deemed not safe ports are used, the compensatory measures implemented, in the in -depth defense logic.",SecNumCloud,13.1.a
"A formal inventory of production system assets is maintained, and any discrepancies are tracked and resolved.",The service provider must revise the cartography at least annually.,SecNumCloud,13.1.b
"Systems assets are labelled in accordance with Systems standards, and have designated owners.","The service provider must keep up to date the inventory of all the equipment implementing the service. This inventory must specify for each equipment: - equipment identification information (names, IP addresses, Mac addresses, etc.); - the function of the equipment; - the equipment model; - the location of the equipment; - the owner of the equipment; - The need for information security (within the meaning of chapter 8.3).",SecNumCloud,8.1.a
"Systems assets are labelled in accordance with Systems standards, and have designated owners.","It is recommended that the service provider document and implement a procedure for the marking and handling of all the information participating in the delivery of the service, in accordance with its need for security defined in chapter 8.3.",SecNumCloud,8.4.a
"Systems assets are labelled in accordance with Systems standards, and have designated owners.","The service provider must establish and keep up to date a cartography of the service information system, in connection with the asset inventory (see chapter 8.1), comprising at least the following elements: - The list of material or virtualized resources; - The names and functions of the applications, supporting the service; - the network architecture scheme at level 3 of the OSI model on which the neuralgic points are identified: - interconnection points, in particular with third and public networks, - networks, subnets, in particular administration networks, - equipment providing security functions (filtering, authentication, encryption, etc.), - servers hosting data or ensuring sensitive functions; - The authorized network flow matrix specifying: - their technical description (services, protocols and ports); - business justification or technical infrastructure; - If necessary, when services, protocols or deemed not safe ports are used, the compensatory measures implemented, in the in -depth defense logic.",SecNumCloud,13.1.a
"Systems assets are labelled in accordance with Systems standards, and have designated owners.","The service provider must document and implement, for the service information system, the partitioning measures (logic, physics or by encryption) to separate network flows according to: - the sensitivity of the information transmitted; - the nature of the flows (production, administration, supervision, etc.); - the field of belonging of flows (sponsors - with distinction by sponsor or set of sponsors, service provider, third parties, etc.); - The technical field (treatment, storage, etc.).",SecNumCloud,13.2.a
The inventory of system assets include assets of the cloud service provided by the cloud service provider. Cloud service customer data and data derived from the services are explicitly identified by the cloud service provider.,"The service provider must implement appropriate partitioning measures between the service information system and its other information systems (office automation, management IT, building technical management, physical access control, etc.).",SecNumCloud,9.7.b
The inventory of system assets include assets of the cloud service provided by the cloud service provider. Cloud service customer data and data derived from the services are explicitly identified by the cloud service provider.,"The service provider must design, develop, configure and deploy the service information system by ensuring at least one partitioning between on the one hand the technical infrastructure and on the other hand the equipment necessary for the administration of the services and resources it hosts.",SecNumCloud,9.7.c
The inventory of system assets include assets of the cloud service provided by the cloud service provider. Cloud service customer data and data derived from the services are explicitly identified by the cloud service provider.,"The service provider must establish and keep up to date a cartography of the service information system, in connection with the asset inventory (see chapter 8.1), comprising at least the following elements: - The list of material or virtualized resources; - The names and functions of the applications, supporting the service; - the network architecture scheme at level 3 of the OSI model on which the neuralgic points are identified: - interconnection points, in particular with third and public networks, - networks, subnets, in particular administration networks, - equipment providing security functions (filtering, authentication, encryption, etc.), - servers hosting data or ensuring sensitive functions; - The authorized network flow matrix specifying: - their technical description (services, protocols and ports); - business justification or technical infrastructure; - If necessary, when services, protocols or deemed not safe ports are used, the compensatory measures implemented, in the in -depth defense logic.",SecNumCloud,13.1.a
The inventory of system assets include assets of the cloud service provided by the cloud service provider. Cloud service customer data and data derived from the services are explicitly identified by the cloud service provider.,"The service provider must document and implement, for the service information system, the partitioning measures (logic, physics or by encryption) to separate network flows according to: - the sensitivity of the information transmitted; - the nature of the flows (production, administration, supervision, etc.); - the field of belonging of flows (sponsors - with distinction by sponsor or set of sponsors, service provider, third parties, etc.); - The technical field (treatment, storage, etc.).",SecNumCloud,13.2.a
"Systems data classification criteria are reviewed, approved by management, and communicated to authorized personnel at least annually; the data security management determines the treatment of data according to its designated data classification level. Revision histories and review periods are defined within the documents themselves and the Systems Policy Governance Policy.","must be protected by specific security measures, shall bear the corresponding markings or metadata indicating the level of security of the information contained with the highest rating. Reinforcement R1 -Digital Watermark.",Spanish ENS,mp.info.2
"Systems data classification criteria are reviewed, approved by management, and communicated to authorized personnel at least annually; the data security management determines the treatment of data according to its designated data classification level. Revision histories and review periods are defined within the documents themselves and the Systems Policy Governance Policy.","When the sponsor entrusts the service provider with data subject to specific legal, regulatory or sectoral constraints, the service provider must identify the specific security needs associated with these constraints.",SecNumCloud,8.3.b
"Systems data classification criteria are reviewed, approved by management, and communicated to authorized personnel at least annually; the data security management determines the treatment of data according to its designated data classification level. Revision histories and review periods are defined within the documents themselves and the Systems Policy Governance Policy.","It is recommended that the service provider document and implement a procedure for the marking and handling of all the information participating in the delivery of the service, in accordance with its need for security defined in chapter 8.3.",SecNumCloud,8.4.a
"Systems data classification criteria are reviewed, approved by management, and communicated to authorized personnel at least annually; the data security management determines the treatment of data according to its designated data classification level. Revision histories and review periods are defined within the documents themselves and the Systems Policy Governance Policy.","The service provider must document and implement, for the service information system, the partitioning measures (logic, physics or by encryption) to separate network flows according to: - the sensitivity of the information transmitted; - the nature of the flows (production, administration, supervision, etc.); - the field of belonging of flows (sponsors - with distinction by sponsor or set of sponsors, service provider, third parties, etc.); - The technical field (treatment, storage, etc.).",SecNumCloud,13.2.a
"An [organization] has a support system to manage customer issues including system information on failures, incidents, concerns, and other complaints.","The service provider must, at the request of a sponsor, make him accessible the internal regulations and the ethics charter. information",SecNumCloud,7.2.d
"An [organization] has a support system to manage customer issues including system information on failures, incidents, concerns, and other complaints.","The provider must, at the request of a sponsor, make him accessible the sanctions incurred in the event of an offense to the security policy.",SecNumCloud,7.4.b
"An [organization] has a support system to manage customer issues including system information on failures, incidents, concerns, and other complaints.","The service provider can carry out support operations in the sponsors from a state outside the European Union. He must document the list of operations which can be carried out by the media support from a state outside the European Union, and the mechanisms to ensure access control and supervision from the European Union.",SecNumCloud,19.2.e
"A data flow diagram is documented and maintained for data that processed (analyzed, stored or transmitted, etc.) within the services' applications and infrastructure network and [The Organization]. The data flow diagram is reviewed at least annually or based on defined frequency of organization policies and any changes are updated in the diagram.","The provider must distinguish public areas, private areas and sensitive areas.",SecNumCloud,11.1.b
"A data flow diagram is documented and maintained for data that processed (analyzed, stored or transmitted, etc.) within the services' applications and infrastructure network and [The Organization]. The data flow diagram is reviewed at least annually or based on defined frequency of organization policies and any changes are updated in the diagram.","The service provider must establish and keep up to date a cartography of the service information system, in connection with the asset inventory (see chapter 8.1), comprising at least the following elements: - The list of material or virtualized resources; - The names and functions of the applications, supporting the service; - the network architecture scheme at level 3 of the OSI model on which the neuralgic points are identified: - interconnection points, in particular with third and public networks, - networks, subnets, in particular administration networks, - equipment providing security functions (filtering, authentication, encryption, etc.), - servers hosting data or ensuring sensitive functions; - The authorized network flow matrix specifying: - their technical description (services, protocols and ports); - business justification or technical infrastructure; - If necessary, when services, protocols or deemed not safe ports are used, the compensatory measures implemented, in the in -depth defense logic.",SecNumCloud,13.1.a
"A data flow diagram is documented and maintained for data that processed (analyzed, stored or transmitted, etc.) within the services' applications and infrastructure network and [The Organization]. The data flow diagram is reviewed at least annually or based on defined frequency of organization policies and any changes are updated in the diagram.",The service provider must revise the cartography at least annually.,SecNumCloud,13.1.b
"A data flow diagram is documented and maintained for data that processed (analyzed, stored or transmitted, etc.) within the services' applications and infrastructure network and [The Organization]. The data flow diagram is reviewed at least annually or based on defined frequency of organization policies and any changes are updated in the diagram.","The service provider must document and implement, for the service information system, the partitioning measures (logic, physics or by encryption) to separate network flows according to: - the sensitivity of the information transmitted; - the nature of the flows (production, administration, supervision, etc.); - the field of belonging of flows (sponsors - with distinction by sponsor or set of sponsors, service provider, third parties, etc.); - The technical field (treatment, storage, etc.).",SecNumCloud,13.2.a
"Data classified as Customer Data and any Personal Data attributable to the customer is prohibited from being used or stored in non-production [The Organization] or environments. If Customer Data must be used for staging and research environments, the customer data must be anonymized. If customer data cannot be anonymized, customers shall be notified of such use, and such environments must be protected in accordance with applicable policies and standards for such data.","Within the framework of technical support, if the actions necessary for the diagnosis and the resolution of a problem encountered by a sponsor require access to the data of the sponsor, then the service provider must: - only allow access to the data of the sponsor only after the explicit consent of the sponsor; - Check that the person to whom access must be authorized has satisfied the checks of the requirement 7.1.B; - In the case of an intervention carried out remotely by a localized person outside the European Union, implement a secure gateway (rebound position) by which the person must connect and allow supervision (authorization or prohibition of actions, requests for explanations, etc.) in real time, by a person who has herself satisfied with the checks of the requirement 7.1.b. The secure gateway will have to respond to cloud computer service providers (SecnumCloud) - Date District version Referential Distribution Critory Safety Objectives2 specified in [G_EXT] Adapted to the context of technical support actions; - Consider the actions carried out, once the access is authorized, as actions of administration and journalist as such; - Delete authorization to access the data of the sponsor at the end of these actions. 2 Safety objectives of the secure gateway [G_EXT]: - authenticate the remote machine and the person in charge of the support; - prevent the exploitation of vulnerabilities or stolen doors on the telemas; - Guarantee the confidentiality and integrity of data on the IS; - Ensure a traceability of confidence of the actions carried out by the technician of the support center; -Guarantee the safety of the telemaintin function vis-à-vis the system subject to teleodiagnostics as well as related systems; - Guarantee the absence of a leak of information outside. IT service providers in clouds (SecnumCloud) - Date Date Version References Dispute Criterion Page",SecNumCloud,9.7.d
"Data classified as Customer Data and any Personal Data attributable to the customer is prohibited from being used or stored in non-production [The Organization] or environments. If Customer Data must be used for staging and research environments, the customer data must be anonymized. If customer data cannot be anonymized, customers shall be notified of such use, and such environments must be protected in accordance with applicable policies and standards for such data.","If the service provider wishes to use data from the Commander from the production to carry out tests, the service provider must first obtain the agreement of the sponsor and anonymize them. The service provider must ensure data confidentiality during their anonymization. IT service providers in clouds (SecnumCloud) - Date Date Version References Dispute Criterion Page",SecNumCloud,14.7.b
Formal retention and disposal procedures are in place to guide the secure retention and disposal of [The Organization] data.,The service provider must document and implement a registration and unsubscription procedure for users based on a management and access rights interface. This procedure must indicate which data should be deleted at the start of a user.,SecNumCloud,9.2.a
Formal retention and disposal procedures are in place to guide the secure retention and disposal of [The Organization] data.,"The service provider must implement means to ensure that the unsubscription of a user results in the deletion of all his access to the resources of the service system, as well as the deletion of his data in accordance with the registration and unsubscription procedure (see requirement 9.2 a)).",SecNumCloud,9.2.c
Formal retention and disposal procedures are in place to guide the secure retention and disposal of [The Organization] data.,"The service provider must document and implement means allowing to erase in a secure manner by rewriting random patterns any data medium made available to a cloud computer service providers (SecnumCloud) - Referential for Date Date Date Criterion Clear. If the storage space is encrypted as part of the requirement 10.1.A), the erasure can be carried out by a secure erasure of the encryption key.",SecNumCloud,11.9.a
"Electronic media containing confidential information is purged or destroyed in accordance with best practices, and certificates of destruction are issued for each device destroyed.",The service provider must ensure that the media can only be returned to a third party if the data of the sponsor is stored there in accordance with chapter 10.1 or have been destroyed beforehand using a secure erasure mechanism by rewriting random patterns.,SecNumCloud,11.7.c
"Electronic media containing confidential information is purged or destroyed in accordance with best practices, and certificates of destruction are issued for each device destroyed.","The service provider must document and implement means allowing to erase in a secure manner by rewriting random patterns any data medium made available to a cloud computer service providers (SecnumCloud) - Referential for Date Date Date Criterion Clear. If the storage space is encrypted as part of the requirement 10.1.A), the erasure can be carried out by a secure erasure of the encryption key.",SecNumCloud,11.9.a
"Electronic media containing confidential information is purged or destroyed in accordance with best practices, and certificates of destruction are issued for each device destroyed.","The service provider must provide an inspection and deletion capacity of leaving the technical infrastructure relating to the perimeter of the service (invoicing information, any newspapers necessary for the processing of incidents, etc.): - The outgoing must be able to be expared from the data that can affect the confidentiality of the data of the sponsors; - This capacity for inspection and deletion must generate activity logs and must be able to be the subject of an audit of code; - The outgoing is treated on specific devices made and maintained by the service provider, and hosted in a partitioned area of ​​the rest of the infrastructure (of the demilitarized zone type as defined in [g_int]). Safety 4Objectives of the secure gateway [G_EXT]: - authenticate the remote machine and the person in charge of the support; - prevent the exploitation of vulnerabilities or stolen doors on the telemas; - Guarantee the confidentiality and integrity of data on the IS; - Ensure a traceability of confidence of the actions carried out by the technician of the support center; -Guarantee the safety of the telemaintin function vis-à-vis the system subject to teleodiagnostics as well as related systems; - Guarantee the absence of a leak of information outside. IT service providers in clouds (SecnumCloud) - Date Date Version References Dispute Criterion Page",SecNumCloud,12.14.a
Customer data containing confidential and personal information is purged or removed from the application environment (including backups and data shared with other Offer/Product) upon customer request according to [The Organization] policy and/or contractual obligations.,"The service provider must provide an inspection and deletion capacity of leaving the technical infrastructure relating to the perimeter of the service (invoicing information, any newspapers necessary for the processing of incidents, etc.): - The outgoing must be able to be expared from the data that can affect the confidentiality of the data of the sponsors; - This capacity for inspection and deletion must generate activity logs and must be able to be the subject of an audit of code; - The outgoing is treated on specific devices made and maintained by the service provider, and hosted in a partitioned area of ​​the rest of the infrastructure (of the demilitarized zone type as defined in [g_int]). Safety 4Objectives of the secure gateway [G_EXT]: - authenticate the remote machine and the person in charge of the support; - prevent the exploitation of vulnerabilities or stolen doors on the telemas; - Guarantee the confidentiality and integrity of data on the IS; - Ensure a traceability of confidence of the actions carried out by the technician of the support center; -Guarantee the safety of the telemaintin function vis-à-vis the system subject to teleodiagnostics as well as related systems; - Guarantee the absence of a leak of information outside. IT service providers in clouds (SecnumCloud) - Date Date Version References Dispute Criterion Page",SecNumCloud,12.14.a
Customer data containing confidential and personal information is purged or removed from the application environment (including backups and data shared with other Offer/Product) upon customer request according to [The Organization] policy and/or contractual obligations.,"At the end of the contract binding the service provider and the sponsor, whether the contract has come to an end or for any other cause, the service provider must ensure a secure erasure of all of the data from the sponsor. This erasure must be the subject of formal notice to the sponsor on the part of the service provider with a period of twenty -one calendar days. The erasure can be carried out according to one of the following methods, and this within a period specified in the service agreement: - Erasure by complete rewriting of any medium that hosted this data; - Erasure of the keys used for the encryption of the storage spaces of the sponsor described in chapter 10.1; - secure recycling, under the conditions set out in chapter 11.9.",SecNumCloud,19.4.a
Customer data containing confidential and personal information is purged or removed from the application environment (including backups and data shared with other Offer/Product) upon customer request according to [The Organization] policy and/or contractual obligations.,"At the end of the contract, the service provider must delete the technical data relating to the sponsor (directory, certificates, configuration of access, etc.).",SecNumCloud,19.4.b
Formal retention and disposal procedures are in place to guide the secure retention and disposal of customer and personal data.,"The service provider must take into account in risk assessment: - information management of the sponsor with different security needs; - the risks having impacts on the rights and freedoms of the persons concerned in the event of unauthorized access, unwanted modification and disappearance of personal data; - the risks of failure of the compartmentalization mechanisms of the resources of the technical infrastructure (memory, calculation, storage, network) shared between the sponsors; - the risks linked to the incomplete or unsecured erasure of data stored on memory or storage spaces shared between sponsors, in particular during the reallocations of memory and storage spaces; - the risks linked to the exposure of administration interfaces on a public network; - the risks of infringement of the confidentiality of the data of the sponsors by third parties involved in the provision of the service (suppliers, subcontractors, etc.): - the risks linked to natural and physical claims events; - the risks linked to the separation of tasks (see 6.2.a); - Risks linked to development environments (see 14.4.B). IT service providers in clouds (SecnumCloud) - Date Date Version References Dispute Criterion Page",SecNumCloud,5.3.c
Formal retention and disposal procedures are in place to guide the secure retention and disposal of customer and personal data.,The service provider must ensure that the media can only be returned to a third party if the data of the sponsor is stored there in accordance with chapter 10.1 or have been destroyed beforehand using a secure erasure mechanism by rewriting random patterns.,SecNumCloud,11.7.c
Formal retention and disposal procedures are in place to guide the secure retention and disposal of customer and personal data.,"The service provider must document and implement means allowing to erase in a secure manner by rewriting random patterns any data medium made available to a cloud computer service providers (SecnumCloud) - Referential for Date Date Date Criterion Clear. If the storage space is encrypted as part of the requirement 10.1.A), the erasure can be carried out by a secure erasure of the encryption key.",SecNumCloud,11.9.a
Formal retention and disposal procedures are in place to guide the secure retention and disposal of customer and personal data.,"The service provider must provide an inspection and deletion capacity of leaving the technical infrastructure relating to the perimeter of the service (invoicing information, any newspapers necessary for the processing of incidents, etc.): - The outgoing must be able to be expared from the data that can affect the confidentiality of the data of the sponsors; - This capacity for inspection and deletion must generate activity logs and must be able to be the subject of an audit of code; - The outgoing is treated on specific devices made and maintained by the service provider, and hosted in a partitioned area of ​​the rest of the infrastructure (of the demilitarized zone type as defined in [g_int]). Safety 4Objectives of the secure gateway [G_EXT]: - authenticate the remote machine and the person in charge of the support; - prevent the exploitation of vulnerabilities or stolen doors on the telemas; - Guarantee the confidentiality and integrity of data on the IS; - Ensure a traceability of confidence of the actions carried out by the technician of the support center; -Guarantee the safety of the telemaintin function vis-à-vis the system subject to teleodiagnostics as well as related systems; - Guarantee the absence of a leak of information outside. IT service providers in clouds (SecnumCloud) - Date Date Version References Dispute Criterion Page",SecNumCloud,12.14.a
"Systems must store and process data (including technical data) within the European Union. Furthermore, the administration and supervision of the service must be carried out from the European Union as well.",The service provider must store and process the data of the sponsor within the European Union.,SecNumCloud,19.2.b
"Systems must store and process data (including technical data) within the European Union. Furthermore, the administration and supervision of the service must be carried out from the European Union as well.",The administration and supervision operations of the service must be carried out from the European Union.,SecNumCloud,19.2.c
"Systems must store and process data (including technical data) within the European Union. Furthermore, the administration and supervision of the service must be carried out from the European Union as well.","The service provider must store and process technical data (identities of beneficiaries and administrators of the technical infrastructure, data manipulated by the Software DEFINED NETWORK, Newspapers of the Technical Infrastructure, Directory, Certificates, Configuration of Access, etc.) within the European Union.",SecNumCloud,19.2.d
"Systems must store and process data (including technical data) within the European Union. Furthermore, the administration and supervision of the service must be carried out from the European Union as well.","The statutory headquarters, central administration and main establishment of the service provider must be established within a Member State of the European Union. IT service providers in clouds (SecnumCloud) - Date Date Version References Dispute Criterion Page",SecNumCloud,19.6.a
Cryptographic key owners must formally acknowledge that they understand and accept their key owner responsibilities upon hire and at least an annual basis thereafter.,The provider must implement cryptographic keys respecting the rules of [crypto_b2].,SecNumCloud,10.5.a
Cryptographic key owners must formally acknowledge that they understand and accept their key owner responsibilities upon hire and at least an annual basis thereafter.,It is recommended that the provider implementing cryptographic keys respecting the recommendations of [crypto_b2].,SecNumCloud,10.5.b
"Key management procedures are documented, reviewed at least annually, and define the following processes but not limited to: -Prevent unauthorized substitution of cryptographic keys -Specify how to generate strong keys -Specify how to securely distribute keys -Requirements for cryptographic key changes for keys that have reached the end of their crypto period -Requirements for retirement or replacement (for example, archiving, destruction, and/or revocation) of keys as deemed necessary when the integrity of the key has been weakened -Store secret and private keys used to encrypt/decrypt data -Securely Store cryptographic keys in the fewest possible locations Revision histories and review periods are defined within the documents themselves and [The Organization] Policy Governance Policy.","The service provider must define and implement a encryption mechanism preventing the recovery of the data from the sponsors in the event of the reallocation of a resource or recovery of the physical support. - In the case of an IAAS or CAAS service, this objective may for example be achieved: - by encryption of the disk or file system, when the access protocol in files mode guarantees that only empty blocks can be allocated (for example NAS type storage in which a physical block is actually affected until the time of writing), - by volume encryption in the case of Access in Bloc or Storage local), with at least one key per sponsor; - In the case of a Paa or SaaS service, this objective may be achieved using an application encryption in the perimeter of the service provider, with at least one key per sponsor.",SecNumCloud,10.1.a
"Key management procedures are documented, reviewed at least annually, and define the following processes but not limited to: -Prevent unauthorized substitution of cryptographic keys -Specify how to generate strong keys -Specify how to securely distribute keys -Requirements for cryptographic key changes for keys that have reached the end of their crypto period -Requirements for retirement or replacement (for example, archiving, destruction, and/or revocation) of keys as deemed necessary when the integrity of the key has been weakened -Store secret and private keys used to encrypt/decrypt data -Securely Store cryptographic keys in the fewest possible locations Revision histories and review periods are defined within the documents themselves and [The Organization] Policy Governance Policy.","When the service provider implements an electronic signature mechanism, the latter must respect the rules of [Crypto_B1]",SecNumCloud,10.4.a
"Key management procedures are documented, reviewed at least annually, and define the following processes but not limited to: -Prevent unauthorized substitution of cryptographic keys -Specify how to generate strong keys -Specify how to securely distribute keys -Requirements for cryptographic key changes for keys that have reached the end of their crypto period -Requirements for retirement or replacement (for example, archiving, destruction, and/or revocation) of keys as deemed necessary when the integrity of the key has been weakened -Store secret and private keys used to encrypt/decrypt data -Securely Store cryptographic keys in the fewest possible locations Revision histories and review periods are defined within the documents themselves and [The Organization] Policy Governance Policy.","When the service provider implements an electronic signature mechanism, it is recommended that it respects the recommendations of [crypto_b1].",SecNumCloud,10.4.b
"Key management procedures are documented, reviewed at least annually, and define the following processes but not limited to: -Prevent unauthorized substitution of cryptographic keys -Specify how to generate strong keys -Specify how to securely distribute keys -Requirements for cryptographic key changes for keys that have reached the end of their crypto period -Requirements for retirement or replacement (for example, archiving, destruction, and/or revocation) of keys as deemed necessary when the integrity of the key has been weakened -Store secret and private keys used to encrypt/decrypt data -Securely Store cryptographic keys in the fewest possible locations Revision histories and review periods are defined within the documents themselves and [The Organization] Policy Governance Policy.",The provider must implement cryptographic keys respecting the rules of [crypto_b2].,SecNumCloud,10.5.a
"Key management procedures are documented, reviewed at least annually, and define the following processes but not limited to: -Prevent unauthorized substitution of cryptographic keys -Specify how to generate strong keys -Specify how to securely distribute keys -Requirements for cryptographic key changes for keys that have reached the end of their crypto period -Requirements for retirement or replacement (for example, archiving, destruction, and/or revocation) of keys as deemed necessary when the integrity of the key has been weakened -Store secret and private keys used to encrypt/decrypt data -Securely Store cryptographic keys in the fewest possible locations Revision histories and review periods are defined within the documents themselves and [The Organization] Policy Governance Policy.",It is recommended that the provider implementing cryptographic keys respecting the recommendations of [crypto_b2].,SecNumCloud,10.5.b
"Key management procedures are documented, reviewed at least annually, and define the following processes but not limited to: -Prevent unauthorized substitution of cryptographic keys -Specify how to generate strong keys -Specify how to securely distribute keys -Requirements for cryptographic key changes for keys that have reached the end of their crypto period -Requirements for retirement or replacement (for example, archiving, destruction, and/or revocation) of keys as deemed necessary when the integrity of the key has been weakened -Store secret and private keys used to encrypt/decrypt data -Securely Store cryptographic keys in the fewest possible locations Revision histories and review periods are defined within the documents themselves and [The Organization] Policy Governance Policy.",The provider must protect access to cryptographic keys and other secrets used for data encryption by a suitable means: security container (software or hardware) or disjoint support.,SecNumCloud,10.5.c
"Key management procedures are documented, reviewed at least annually, and define the following processes but not limited to: -Prevent unauthorized substitution of cryptographic keys -Specify how to generate strong keys -Specify how to securely distribute keys -Requirements for cryptographic key changes for keys that have reached the end of their crypto period -Requirements for retirement or replacement (for example, archiving, destruction, and/or revocation) of keys as deemed necessary when the integrity of the key has been weakened -Store secret and private keys used to encrypt/decrypt data -Securely Store cryptographic keys in the fewest possible locations Revision histories and review periods are defined within the documents themselves and [The Organization] Policy Governance Policy.","The service provider must protect access to cryptographic keys and other secrets used for administration tasks by a suitable security container, software or hardware.",SecNumCloud,10.5.d
[The Organization] issues public key certificates under an approved certificate authority or obtains public key certificates from an approved service provider.,"On the technical infrastructure, the service provider must use exclusively public key certificates from a certification authority of a Member State of the European Union (ceremonies of generation of the key keys must take place in a member country of the European Union and in the presence of the service provider). IT service providers in clouds (SecnumCloud) - Date Date Version References Dispute Criterion Page",SecNumCloud,10.6.a
[The Organization] communicates to its cloud service customers when cryptography is used to protect the customer data and provides information and cryptographic technologies to cloud service customers to use.,"The service provider must partition, physically or by encryption, all internal data flows to the service information system vis-à-vis any other information system. When this partitioning is made by encryption, it is carried out in accordance with the requirements of chapter 10.2.",SecNumCloud,13.2.b
[The Organization] communicates to its cloud service customers when cryptography is used to protect the customer data and provides information and cryptographic technologies to cloud service customers to use.,"In the event that the technical infrastructure administration network is not subject to physical partitioning, administration flows must pass through a quantified tunnel, in accordance with the requirements of chapter 10.2.",SecNumCloud,13.2.c
