Ref,Description,Ass. Level
HR-04.10,The CSP shall verify the effectiveness of the security awareness and training program using practical exercises in security awareness training that simulate actual cyber-attacks,Substantial
HR-05.1,The CSP shall communicate to internal and external employees their ongoing responsibilities relating to information security when their employment is terminated or changed.,Basic
HR-05.2,The CSP shall apply a specific procedure to revoke the access rights and process appropriately the accounts and assets of internal and external employees when their employment is terminated or changed,Basic
HR-05.3,The procedure mentioned in HR-05.2 shall define specific roles and responsibilities and include a documented checklist of all required steps,Substantial
HR-05.4,The CSP shall automatically monitor the application of the procedure mentioned in HR-05.2,High
HR-06.1,"The CSP shall ensure that non-disclosure or confidentiality agreements are agreed with internal employees, external service providers and suppliers",Basic
HR-06.2,The non-disclosure or confidentiality agreements shall be based on the requirements identified by the CSP for the protection of confidential information and operational details,Substantial
HR-06.3,The agreements shall be accepted by external service providers and suppliers when the contract is agreed,Substantial
HR-06.4,The agreements shall be accepted by internal employees of the CSP before authorisation to access data of cloud customers is granted,Substantial
HR-06.5,"The requirements on which the agreements are based shall be documented and reviewed at regular intervals, at least annually; if the review shows that the requirements need to be adapted, the non-disclosure or confidentiality agreements shall be updated accordingly.",Substantial
HR-06.6,"The CSP shall inform its internal employees, external service providers and suppliers and obtain confirmation of the updated confidentiality or non-disclosure agreement.",Substantial
HR-06.7,"The CSP shall automatically monitor the confirmation of non-disclosure or confidentiality agreements by internal employees, external service providers and suppliers December 2020",High
AM-01.1,The CSP shall document and implement policies and procedures for maintaining an inventory of assets,Basic
AM-01.2,"The inventory shall be performed automatically and/or by the people or teams responsible for the assets to ensure complete, accurate, valid and consistent inventory throughout the asset life cycle",Substantial
AM-01.3,The CSP shall record for each asset the information needed to apply the risk management procedure defined in RM-01.,Basic
AM-01.4,The information recorded with assets shall include the measures taken to manage the risks associated to the asset through its life cycle,Substantial
AM-01.5,"The information about assets shall be considered by monitoring applications to identify the impact on cloud services and functions in case of events that could lead to a breach of protection objectives, and to support information provided to affected cloud customers in accordance with contractual agreements",High
AM-01.6,The CSP shall automatically monitor the inventory of assets to guarantee it is up-to-date,High
AM-02.1,"The CSP shall document, communicate and implement policies and procedures for acceptable use and safe handling of assets (reference to ISP-01)",Basic
AM-02.2,The policies and procedures for acceptable use and safe handling of assets shall address at least the following aspects of the asset lifecycle as applicable to the asset (reference to ISP- 01) [list in the guidance],Substantial
AM-02.3,"When removable media is used in the technical infrastructure or for IT administration tasks, this media shall be dedicated to a single use",High
AM-03.1,"The CSP shall document, communicate and implement a procedure for the commissioning of hardware that is used to provide the cloud service in the production environment, based on applicable policies and procedures",Basic
AM-03.2,"The procedure mentioned in AM-03.1 shall ensure that the risks arising from the commissioning are identified, analysed and mitigated.",Substantial
AM-03.3,"The procedure mentioned in AM-03.1 shall include verification of the secure configuration of the mechanisms for error handling, logging, encryption, authentication and authorisation according to the intended use and based on the applicable policies, before authorization to commission the asset can be granted.",Substantial
AM-03.4,"The CSP shall document, communicate and implement a procedure for the decommissioning of hardware that is used to provide the cloud service in the production environment, requiring approval based on applicable policies.",Basic
AM-03.5,The procedure mentioned in AM.03-4 shall include the complete and permanent deletion of the data or the proper destruction of the media.,Basic
AM-03.6,The approval of the commissioning and decommissioning of hardware shall be digitally documented and automatically monitored.,High
AM-04.1,The CSP shall ensure and document that all internal and external employees are committed to the policies and procedures for acceptable use and safe handling of assets in the situations described in AM-03,Basic
AM-04.2,The procedure mentioned in HR-06.2 shall include steps to ensure that all assets under custody of an employee are returned upon termination of employment.,Basic
AM-04.3,"The CSP shall centrally manage the assets under the custody of internal and external employees, including at least software, data, and policy distribution, as well as remote deactivation, deletion or locking, as available on the asset.",High
AM-04.4,The verification of the commitment defined in AM-04.1 shall be automatically monitored,High
AM-05.1,"The CSP shall define an asset classification schema that reflects for each asset the protection needs of the information it processes, stores, or transmits",Basic
AM-05.2,"The asset classification schema shall provide levels of protection for the confidentiality, integrity, availability, and authenticity protection objectives",Substantial
AM-05.3,"When applicable, the CSP shall label all assets according to their classification in the asset classification schema",Basic
AM-05.4,The need for protection shall be determined by the individuals or groups responsible for the assets,Substantial
PS-01.1,The CSP shall define security perimeters in the buildings and premises related to the cloud service provided,Basic
PS-01.2,"The CSP shall define at least two security areas, with one covering all buildings and premises and one covering sensitive activities such as the buildings and premises hosting the information system for the production of the service PS01-3 The CSP shall define at least an additional private area that may host development activities and administration, supervision and operation workstations",High
PS-01.4,The CSP shall ensure that no direct access exists between a public area and a sensitive area,High
PS-01.5,"The CSP shall ensure that all delivery, loading areas, and other points through which unauthorised persons can penetrate into the premises without being accompanied are part of the public area",High
PS-01.6,The CSP shall define and communicate a set of security requirements for each security area in a policy according to SP-02,Basic
PS-01.7,"The security requirements in PS-01.5 shall be based on the security objectives of the information security policy, identified protection requirements for the cloud service and the assessment of risks to physical and environmental security",Substantial
PS-02.1,"The CSP shall document, communicate and implement policies and procedures related to the physical access control to the security areas matching the requirements defined in PS-01 and based on the principles defined in IAM-01",Basic
PS-02.2,The access control policy shall require at least one authentication factor for accessing any non-public area,Basic
PS-02.3,The access control policy shall require at least two authentication factors are used for access to sensitive areas and to areas hosting system components that process cloud customer data,Substantial
PS-02.4,"The access control policy shall include measures to individually track visitors and third-party personnel during their work in the premises and buildings, identified as such and supervised during their stay",Substantial
PS-02.5,The access control policy shall describe the physical access control derogations in case of emergency,Basic
PS-02.6,The access control policy shall describe the time slots and conditions for accessing each area according to the profiles of the users,High
PS-02.7,The CSP shall display at the entrance of all non-public perimeters a warning concerning the limits and access conditions to these perimeters,Basic
PS-02.8,The CSP shall protect security perimeters with security measures to detect and prevent unauthorised access in a timely manner so that it does not compromise the information security of the cloud service,Basic
PS-02.9,The access control policy shall include logging of all accesses to non-public areas that enables the CSP to check whether only defined personnel have entered these zones,Substantial
PS-02.10,The logging of accesses shall be automatically monitored to guarantee fulfilment of PS-02.9,High
PS-03.1,"The CSP shall document, communicate, and implement policies and procedures concerning work in non-public areas",Basic
PS-03.2,The policies and procedures in PS-02.1 shall include a clear screen policy and a clear desk policy for documents and removable media,Substantial
PS-03.3,The CSP shall define a mapping between activities and zones that indicates which activities may/shall not/shall be performed in every security area,High
PS-03.4,The CSP shall define a mapping between assets and zones that indicates which assets may/shall not/shall be used in every security area December 2020,High
PS-04.1,"The CSP shall document, communicate, and implement policies and procedures concerning the protection of equipment and including at least the following aspects:  Protecting power and communications cabling from interception, interference or damage;  Protecting equipment during maintenance operations;  Protecting equipment holding customer data during transport.",Basic
PS-04.2,"The procedures defined in PS-04.1 shall include a procedure to check the protection of power and communications cabling, to be performed regularly, at least every two years, as well as in case of suspected manipulation by qualified personnel",Substantial
PS-04.3,The policies and procedures in PS-04.1 shall include a procedure for transferring any equipment containing customer data off-site for disposal that guarantees that the level of protection in terms of confidentiality and integrity of the assets during their transport is equivalent to that on the site,Substantial
PS-04.4,The procedure mentioned in PS-04.3 shall include a formal validation by top management of the CSP or by the authorized body that validated this procedure,High
PS-04.4,The CSP shall establish a wiring scheme and keep it up-to-date,High
PS-04.5,The CSP shall ensure that the maintenance agreements for equipment used to host the cloud service make it possible to have security updates installed timely on this equipment,High
PS-04.6,"The policies and procedures in PS-04.1 shall include measures to ensure that the conditions for installation, maintenance and servicing of the related technical equipment (e.g., electrical power, air conditioning, fire protection) are compatible with the cloud service’s availability and security requirements",High
PS-04.7,The CSP shall ensure that an equipment containing a media with customer data can be returned to a third party only if the customer data stored on it is encrypted in accordance with CKM-03 or has been destroyed beforehand using a secure deletion mechanism,High
PS-04.8,The CSP shall use encryption on the removable media and the backup media intended to move between security areas according to the sensitivity of the data stored on the media,Basic
PS-05.1,"The CSP shall document and communicate a set of security requirements related to external and environmental threats in a policy according to SP-02, addressing the following risks in accordance with the applicable legal and contractual requirements:  Faults in planning;  Unauthorised access;  Insufficient surveillance;  Insufficient air-conditioning;  Fire and smoke;  Water;  Power failure; and  Air ventilation and filtration.",Basic
PS-05.2,The security requirements defined in PS-05.1 for datacentres shall be based on criteria which comply with established rules of technology,Substantial
PS-05.3,The security requirements defined in PS-05.1 for datacentres shall include time constraints for self-sufficient operation in the event of exceptional events and maximum tolerable utility downtime,High
PS-05.4,"The security requirements defined in PS-05.1 for datacentres shall include tests of physical protection and detection equipment, to be performed at least annually",High
PS-05.5,The CSP shall provide the cloud service from at least two locations that are separated by an adequate distance and that provide each other with operational redundancy or resilience,Substantial
PS-05.6,The CSP shall check the effectiveness of the redundancy at least once a year by suitable tests and exercises (cf. BCM-04),Substantial
OPS-01.1,"The CSP shall document and implement procedures to plan for capacities and resources (personnel and IT resources), which shall include forecasting future capacity requirements in order to identify usage trends and manage system overload",Basic
OPS-01.2,The CSP shall meet the requirements included in contractual agreements with cloud customers regarding the provision of the cloud service in case of capacity bottlenecks or personnel and IT resources outages,Basic
OPS-01.3,The capacity projections shall be considered in accordance with the service level agreement for planning and preparing the provisioning,High
OPS-02.1,The CSP shall define and implement technical and organizational safeguards for the monitoring of provisioning and de-provisioning of cloud services to ensure compliance with the service level agreement,Basic
OPS-02.2,The CSP shall make available to the cloud customer the relevant information regarding capacity and availability on a self-service portal,High
OPS-02.3,The provisioning and de-provisioning of cloud services shall be automatically monitored to guarantee fulfilment of OPS-02.1,High
OPS-03.1,"The CSP shall enable CSCs to control and monitor the allocation of the system resources assigned to them, if the corresponding cloud capabilities are exposed to the CSCs",Basic
OPS-04.1,"The CSP shall document, communicate and implement policies and procedures according to ISP-02 to protect its systems and its customers from malware, covering at least the following aspects:  Use of system-specific protection mechanisms;  Operating protection programs on system components under the responsibility of the CSP that are used to provide the cloud service in the production environment; and  Operation of protection programs for employees' terminal equipment.",Basic
OPS-04.2,"The CSP shall create regular reports on the malware checks performed, which shall be reviewed and analysed by authorized bodies in the reviews of the policies related to malware",Substantial
OPS-04.3,"The policies and instructions related to malware shall include the technical measures taken to securely configure, protect from malware, and monitor the administration interfaces (both the customer's self-service and the CSP's administration)",High
OPS-04.4,The CSP shall update the anti-malware products at the highest frequency that the vendors actually offer,High
OPS-05.1,"The CSP shall deploy malware protection, if technically feasible, on all systems that support delivery of the cloud service in the production environment, according to policies and procedures",Basic
OPS-05.2,Signature-based and behaviour-based malware protection tools shall be updated at least daily,Substantial
OPS-05.3,The CSP shall automatically monitor the systems covered by the malware protection and the configuration of the corresponding mechanisms to guarantee fulfilment of OPS-05.1,High
OPS-05.4,The CSP shall automatically monitor the antimalware scans to track detected malware or irregularities December 2020,High
OPS-06.1,"The CSP shall document, communicate and implement policies and procedures according to ISP-02 for data backup and recovery",Basic
OPS-06.2,"The policies and procedures for backup and recovery shall cover at least the following aspects:  The extent and frequency of data backups and the duration of data retention are consistent with the contractual agreements with the cloud customers and the Cloud Service Provider's operational continuity requirements for Recovery Time Objective (RTO) and Recovery Point Objective (RPO);  Data is backed up in encrypted, state-of-the-art form;  Access to the backed-up data and the execution of restores is performed only by authorised persons; and  Tests of recovery procedures (cf. OPS-08).",Substantial
OPS-07.1,The CSP shall document and implement technical and organizational measures to monitor the execution of data backups in accordance to the policies and procedures defined in OPS-,Basic
OPS-07.2,The CSP shall make available to its customers a self-service portal for automatically monitoring their data backup to guarantee fulfilment with OPS-07.1,High
OPS-07.3,The CSP shall automatically monitor their data backups to guarantee fulfilment of OPS-07.1,High
OPS-08.1,The CSP shall test the restore procedures at least annually,Basic
OPS-08.2,The restore tests shall assess if the specifications for the RTO and RPO agreed with the customers are met,Substantial
OPS-08.3,Any deviation from the specification during the restore test shall be reported to the CSP's responsible person for assessment and remediation,Substantial
OPS-08.4,"The CSP shall inform CSCs, at their request, of the results of the recovery tests",High
OPS-08.5,Recovery tests shall be included in the CSP’s business continuity management,High
OPS-09.1,The CSP shall transfer backup data to a remote location or transport them on backup media to a remote location,Basic
OPS-09.2,"When the backup data is transmitted to a remote location via a network, the transmission of the data takes place in an encrypted form that corresponds to the sate-of-the-art (cf. CKM- 02).",Basic
OPS-09.3,"The CSP shall select a remote location to store its backups concerning the distance, recovery times and the impact of disasters of both sites",Substantial
OPS-09.4,The physical and environmental security measures at the remote site shall have the same level as at the main site,Substantial
OPS-09.5,"When the backup data is transmitted to a remote location via a network, the CSP shall automatically monitor the transmission to guarantee fulfilment of OPS-09.1",High
OPS-10.1,"The CSP shall document, communicate and implement policies and procedures according to ISP-02 that govern the logging and monitoring of events on system components under its responsibility",Basic
OPS-10.2,"The policies and procedures shall cover at least the following aspects: Substantial  EUCS – CLOUD SERVICES SCHEME December 2020 Ref Description Ass. Level  Definition of events that could lead to a violation of the protection goals;  Specifications for activating, stopping and pausing the various logs;  Information regarding the purpose and retention period of the logs;  Define roles and responsibilities for setting up and monitoring logging;  Time synchronisation of system components; and  Compliance with legal and regulatory frameworks.","Substantial
"
OPS-11.1,"The CSP shall document, communicate and implement policies and procedures according to ISP-02 that govern the secure handling of derived data",Basic
OPS-11.2,"The policies and procedures on derived data shall cover at least the following aspects:  Purpose for the collection and use of derived data beyond the operation of the cloud service, including purposes related to the implementation of security controls;  Anonymisation of the data whenever used in a context that goes beyond a single CSC;  Period of storage reasonably related to the purposes of the collection;  Guarantees of deletion when the purposes of the collection are fulfilled and further storage is no longer necessary; and  Provision of the derived data to CSCs according to contractual agreements.",Substantial
OPS-11.3,The CSP shall list in the contractual agreement with the CSC all purposes for the collection of use of derived data that are not related to the implementation of security controls or to billing,Substantial
OPS-11.4,"Derived data, including log data, shall be taken into consideration in regulatory compliance assessments.",High
OPS-12.1,"The CSP shall monitor log data in order to identify events that might lead to security incidents, in accordance with the logging and monitoring requirements",Basic
OPS-12.2,Identified events shall be reported to the appropriate departments for timely assessment and remediation.,Basic
OPS-12.3,The monitoring of events mentioned in OPS-12.1 shall be automated,Substantial
OPS-12.4,The CSP shall automatically monitor that event detection is effective on the list of critical assets in fulfilment of OPS-12.1,High
OPS-13.1,The CSP shall store all log data in an integrity-protected and aggregated form that allow its centralized evaluation,Basic
OPS-13.2,Log data shall be deleted when it is no longer required for the purpose for which they were collected,Basic
OPS-13.3,The communication between the assets to be logged and the logging servers shall be authenticated and protected in integrity and confidentiality,Basic
OPS-13.4,The communication between the assets to be logged and the logging servers shall be encrypted using state-of-the-art encryption or shall take place on a dedicated administration network,Substantial
OPS-12.5,"The CSP shall implement technically supported procedures to fulfil requirements related to the access, storage and deletion related to the following restrictions:  Access only to authorised users and systems;  Retention for the specified period; and  Deletion when further retention is no longer necessary for the purpose of collection.",Substantial
OPS-13.6,"The CSP shall provide CSCs, upon request, access to customer-specific logging through an API. The logging shall comply with the CSP’s protection requirements, including logical or physical separation of log and customer data",High
OPS-13.7,The CSP shall automatically monitor the aggregation and deletion of logging and monitoring data to fulfil OPS-13.2,High
OPS-14.1,The log data generated allows an unambiguous identification of user accesses at the CSC level to support analysis in the event of an incident,Basic
OPS-14.2,The CSP shall make available interfaces to conduct forensic analysis and perform backups of infrastructure components and their network communication,Substantial
OPS-14.3,"In the context of an investigation of an incident concerning a CSC, the CSP shall have the ability to provide to the CSC the logs related to its cloud service",High
OPS-15.1,The CSP shall restrict to authorized users only the access to system components used for logging and monitoring under their responsibility,Basic
OPS-15.2,Changes to the logging and monitoring configuration are made in accordance with applicable policies (cf. CCM-01),Basic
OPS-15.3,The access to system components for logging and monitoring shall require strong authentication,Substantial
OPS-16.1,"The CSP shall monitor the system components for logging and monitoring under its responsibility, and shall automatically report failures to the responsible departments for assessment and remediation",Basic
OPS-16.2,The CSP shall design the system components for logging and monitoring in such a way that the overall functionality is not restricted if individual components fail,High
OPS-17.1,"The CSP shall document, communicated and implement in accordance to ISP-02 policies and procedures with technical and organisational measures to ensure the timely identification and addressing of vulnerabilities in the system components used to provide the cloud service",Basic
OPS-17.2,The policies and procedures shall describe measures regarding at least the following aspects:  Regular identification of vulnerabilities;  Assessment of the severity of identified vulnerabilities;  Prioritisation and implementation of actions to promptly remediate or mitigate identified vulnerabilities based on severity and according to defined timelines; and  Handling of system components for which no measures are initiated for the timely remediation or mitigation of vulnerabilities.,Substantial
OPS-17.3,The CSP shall use a scoring system for the assessment of vulnerabilities that includes at least “critical” and “high” classes of vulnerabilities,Basic
OPS-17.4,"The CSP shall mandate in its policies and procedures the immediate handling of “critical” vulnerabilities and the handling of “high” vulnerabilities within a day, with a follow-up of the vulnerability until it has been remediated",Substantial
OPS-18.1,The CSP shall publish and maintain a publicly and easily accessible online register of known vulnerabilities that affect the cloud service and assets provided by the CSP that the CSCs have to install or operate under their own responsibility,Basic
OPS-18.2,"The online register shall indicate at least the following information for every vulnerability:  A presentation of the vulnerability following an industry-accepted scoring system;  A description of the remediation options for that vulnerability;  Information on the availability of updates or patches for that vulnerability;  Information about the remediation or deployment of patches or updates by the CSP or CSC, including detailed instructions for operations to be performed by the CSC.",Basic
OPS-18.3,"The CSP shall publish and maintain a list of pointers to online registers published by its subservice providers and suppliers, or integrate regularly the content of these online registers relevant to the cloud service into its own online register (cf. OPS-18.1)",Basic
OPS-18.4,"The CSP shall consult regularly the online registers published by its subservice providers and suppliers, analyse the potential impact of the published vulnerabilities on the cloud service, and handle them according to the vulnerability handling process (cf. OPS-17)",Basic
OPS-18.5,"The CSP shall consult the online registers published by its subservice providers and suppliers at least daily, and update accordingly its own online register",Substantial
OPS-18.6,"The CSP shall equip with automatic update mechanisms the assets provided by the CSP that the CSCs have to install or operate under their own responsibility, to ease the rollout of patches and updates after an initial approval from the CSC",High
OPS-19.1,"The CSP shall perform on a regular basis tests to detect publicly known vulnerabilities on the system components used to provide the cloud service, in accordance with policies for handling vulnerabilities (cf. OPS-17)",Basic
OPS-19.2,The CSP shall perform the tests defined in OPS-18.1 at least once a month,Substantial
OPS-19.2,"The CSP shall have penetration tests carried out by qualified internal personnel or external service providers, according to a documented test methodology and including in their scope the system components relevant to the provision of the cloud service in the area of responsibility of the CSP, as identified in a risk analysis",Substantial
OPS-19.3,The CSP shall assess the penetration test findings and handle each identified vulnerability according to defined policies and procedures (cf. OPS-18). ,Substantial
OPS-19.4,"The tests are performed following a multi-annual work program, reviewed annually, that covers system components and security controls according to the evolution of the cloud service and of the threat landscape.",High
OPS-19.5,Some of the penetration tests performed each year shall be performed by external service providers,High
OPS-19.6,The CSP shall perform a root cause analysis on the vulnerabilities discovered through penetration testing in order to assess to which extent similar vulnerabilities may be present in the cloud system,High
OPS-19.7,The CSP shall correlate the possible exploits of discovered vulnerabilities with previous incidents to identify if the vulnerability may have been exploited before its discovery,High
OPS-20.1,"The CSP shall regularly measure, analyse and assess the procedures with which vulnerabilities and incidents are handled to verify their continued suitability, appropriateness and effectiveness",Basic
OPS-20.2,The CSP shall organize a quarterly review of the results of the assessment defined in OPS- 20.1 by accountable departments to initiate continuous improvement actions and verify their effectiveness December 2020,Substantial
OPS-21.1,"The CSP shall harden all the system components under its responsibility that are used to provide the cloud service, according to accepted industry standards",Basic
