anchor_id,anchor_text,target_id,target_text,source,target
NumberOfKnownLowVulnerabilities,NumberOfKnownLowVulnerabilities: The number of detected known vulnerabilities with low rating in the asset,DEV-06.4,Code reviews shall be regularly performed by qualified personnel or contractors,Fabasoft Metrics,EUCS (via BSI C5)
NumberOfKnownLowVulnerabilities,NumberOfKnownLowVulnerabilities: The number of detected known vulnerabilities with low rating in the asset,DEV-06.5,The CSP shall assess the severity of identified vulnerabilities according to the criteria defined in OPS-17 and measures are taken to immediately eliminate or mitigate them.,Fabasoft Metrics,EUCS (via BSI C5)
NumberOfKnownLowVulnerabilities,NumberOfKnownLowVulnerabilities: The number of detected known vulnerabilities with low rating in the asset,DEV-06.6,"The procedures for identifying such vulnerabilities also shall include annual code reviews and security penetration tests by subject matter experts, as part of the annual programme defined in OPS-19",Fabasoft Metrics,EUCS (via BSI C5)
NumberOfKnownMediumVulnerabilities,NumberOfKnownMediumVulnerabilities: The number of detected known vulnerabilities with average rating in the asset,OPS-17.1,"The CSP shall document, communicated and implement in accordance to ISP-02 policies and procedures with technical and organisational measures to ensure the timely identification and addressing of vulnerabilities in the system components used to provide the cloud service",Fabasoft Metrics,EUCS (via BSI C5)
NumberOfKnownMediumVulnerabilities,NumberOfKnownMediumVulnerabilities: The number of detected known vulnerabilities with average rating in the asset,OPS-17.2,The policies and procedures shall describe measures regarding at least the following aspects:  Regular identification of vulnerabilities;  Assessment of the severity of identified vulnerabilities;  Prioritisation and implementation of actions to promptly remediate or mitigate identified vulnerabilities based on severity and according to defined timelines; and  Handling of system components for which no measures are initiated for the timely remediation or mitigation of vulnerabilities.,Fabasoft Metrics,EUCS (via BSI C5)
NumberOfKnownMediumVulnerabilities,NumberOfKnownMediumVulnerabilities: The number of detected known vulnerabilities with average rating in the asset,OPS-17.3,The CSP shall use a scoring system for the assessment of vulnerabilities that includes at least “critical” and “high” classes of vulnerabilities,Fabasoft Metrics,EUCS (via BSI C5)
NumberOfKnownMediumVulnerabilities,NumberOfKnownMediumVulnerabilities: The number of detected known vulnerabilities with average rating in the asset,OPS-17.4,"The CSP shall mandate in its policies and procedures the immediate handling of “critical” vulnerabilities and the handling of “high” vulnerabilities within a day, with a follow-up of the vulnerability until it has been remediated",Fabasoft Metrics,EUCS (via BSI C5)
NumberOfKnownMediumVulnerabilities,NumberOfKnownMediumVulnerabilities: The number of detected known vulnerabilities with average rating in the asset,OPS-19.1,"The CSP shall perform on a regular basis tests to detect publicly known vulnerabilities on the system components used to provide the cloud service, in accordance with policies for handling vulnerabilities (cf. OPS-17)",Fabasoft Metrics,EUCS (via BSI C5)
NumberOfKnownMediumVulnerabilities,NumberOfKnownMediumVulnerabilities: The number of detected known vulnerabilities with average rating in the asset,OPS-19.2,The CSP shall perform the tests defined in OPS-18.1 at least once a month,Fabasoft Metrics,EUCS (via BSI C5)
NumberOfKnownMediumVulnerabilities,NumberOfKnownMediumVulnerabilities: The number of detected known vulnerabilities with average rating in the asset,OPS-19.2,"The CSP shall have penetration tests carried out by qualified internal personnel or external service providers, according to a documented test methodology and including in their scope the system components relevant to the provision of the cloud service in the area of responsibility of the CSP, as identified in a risk analysis",Fabasoft Metrics,EUCS (via BSI C5)
NumberOfKnownMediumVulnerabilities,NumberOfKnownMediumVulnerabilities: The number of detected known vulnerabilities with average rating in the asset,OPS-19.3,The CSP shall assess the penetration test findings and handle each identified vulnerability according to defined policies and procedures (cf. OPS-18).,Fabasoft Metrics,EUCS (via BSI C5)
NumberOfKnownMediumVulnerabilities,NumberOfKnownMediumVulnerabilities: The number of detected known vulnerabilities with average rating in the asset,OPS-19.4,"The tests are performed following a multi-annual work program, reviewed annually, that covers system components and security controls according to the evolution of the cloud service and of the threat landscape.",Fabasoft Metrics,EUCS (via BSI C5)
NumberOfKnownMediumVulnerabilities,NumberOfKnownMediumVulnerabilities: The number of detected known vulnerabilities with average rating in the asset,OPS-19.5,Some of the penetration tests performed each year shall be performed by external service providers,Fabasoft Metrics,EUCS (via BSI C5)
NumberOfKnownMediumVulnerabilities,NumberOfKnownMediumVulnerabilities: The number of detected known vulnerabilities with average rating in the asset,OPS-19.6,The CSP shall perform a root cause analysis on the vulnerabilities discovered through penetration testing in order to assess to which extent similar vulnerabilities may be present in the cloud system,Fabasoft Metrics,EUCS (via BSI C5)
NumberOfKnownMediumVulnerabilities,NumberOfKnownMediumVulnerabilities: The number of detected known vulnerabilities with average rating in the asset,OPS-19.7,The CSP shall correlate the possible exploits of discovered vulnerabilities with previous incidents to identify if the vulnerability may have been exploited before its discovery,Fabasoft Metrics,EUCS (via BSI C5)
NumberOfKnownMediumVulnerabilities,NumberOfKnownMediumVulnerabilities: The number of detected known vulnerabilities with average rating in the asset,DEV-06.1,The CSP shall apply appropriate measures to check the cloud service for vulnerabilities that may have been integrated into the cloud service during the development process.,Fabasoft Metrics,EUCS (via BSI C5)
NumberOfKnownMediumVulnerabilities,NumberOfKnownMediumVulnerabilities: The number of detected known vulnerabilities with average rating in the asset,DEV-06.2,The procedures for identifying vulnerabilities shall be integrated in the development process.,Fabasoft Metrics,EUCS (via BSI C5)
NumberOfKnownMediumVulnerabilities,NumberOfKnownMediumVulnerabilities: The number of detected known vulnerabilities with average rating in the asset,DEV-06.3,"The procedures shall include the following activities, depending on the risk assessment:  Static Application Security Testing;  Dynamic Application Security Testing;  Code reviews by subject matter experts; and  Obtaining information about confirmed vulnerabilities in software libraries provided by third parties and used in their own cloud service.",Fabasoft Metrics,EUCS (via BSI C5)
NumberOfKnownMediumVulnerabilities,NumberOfKnownMediumVulnerabilities: The number of detected known vulnerabilities with average rating in the asset,DEV-06.4,Code reviews shall be regularly performed by qualified personnel or contractors,Fabasoft Metrics,EUCS (via BSI C5)
NumberOfKnownMediumVulnerabilities,NumberOfKnownMediumVulnerabilities: The number of detected known vulnerabilities with average rating in the asset,DEV-06.5,The CSP shall assess the severity of identified vulnerabilities according to the criteria defined in OPS-17 and measures are taken to immediately eliminate or mitigate them.,Fabasoft Metrics,EUCS (via BSI C5)
NumberOfKnownMediumVulnerabilities,NumberOfKnownMediumVulnerabilities: The number of detected known vulnerabilities with average rating in the asset,DEV-06.6,"The procedures for identifying such vulnerabilities also shall include annual code reviews and security penetration tests by subject matter experts, as part of the annual programme defined in OPS-19",Fabasoft Metrics,EUCS (via BSI C5)
NumberOfKnownHighVulnerabilities,NumberOfKnownHighVulnerabilities: The number of detected known vulnerabilities with high rating in the asset,OPS-17.1,"The CSP shall document, communicated and implement in accordance to ISP-02 policies and procedures with technical and organisational measures to ensure the timely identification and addressing of vulnerabilities in the system components used to provide the cloud service",Fabasoft Metrics,EUCS (via BSI C5)
NumberOfKnownHighVulnerabilities,NumberOfKnownHighVulnerabilities: The number of detected known vulnerabilities with high rating in the asset,OPS-17.2,The policies and procedures shall describe measures regarding at least the following aspects:  Regular identification of vulnerabilities;  Assessment of the severity of identified vulnerabilities;  Prioritisation and implementation of actions to promptly remediate or mitigate identified vulnerabilities based on severity and according to defined timelines; and  Handling of system components for which no measures are initiated for the timely remediation or mitigation of vulnerabilities.,Fabasoft Metrics,EUCS (via BSI C5)
NumberOfKnownHighVulnerabilities,NumberOfKnownHighVulnerabilities: The number of detected known vulnerabilities with high rating in the asset,OPS-17.3,The CSP shall use a scoring system for the assessment of vulnerabilities that includes at least “critical” and “high” classes of vulnerabilities,Fabasoft Metrics,EUCS (via BSI C5)
NumberOfKnownHighVulnerabilities,NumberOfKnownHighVulnerabilities: The number of detected known vulnerabilities with high rating in the asset,OPS-17.4,"The CSP shall mandate in its policies and procedures the immediate handling of “critical” vulnerabilities and the handling of “high” vulnerabilities within a day, with a follow-up of the vulnerability until it has been remediated",Fabasoft Metrics,EUCS (via BSI C5)
NumberOfKnownHighVulnerabilities,NumberOfKnownHighVulnerabilities: The number of detected known vulnerabilities with high rating in the asset,OPS-19.1,"The CSP shall perform on a regular basis tests to detect publicly known vulnerabilities on the system components used to provide the cloud service, in accordance with policies for handling vulnerabilities (cf. OPS-17)",Fabasoft Metrics,EUCS (via BSI C5)
NumberOfKnownHighVulnerabilities,NumberOfKnownHighVulnerabilities: The number of detected known vulnerabilities with high rating in the asset,OPS-19.2,The CSP shall perform the tests defined in OPS-18.1 at least once a month,Fabasoft Metrics,EUCS (via BSI C5)
NumberOfKnownHighVulnerabilities,NumberOfKnownHighVulnerabilities: The number of detected known vulnerabilities with high rating in the asset,OPS-19.2,"The CSP shall have penetration tests carried out by qualified internal personnel or external service providers, according to a documented test methodology and including in their scope the system components relevant to the provision of the cloud service in the area of responsibility of the CSP, as identified in a risk analysis",Fabasoft Metrics,EUCS (via BSI C5)
NumberOfKnownHighVulnerabilities,NumberOfKnownHighVulnerabilities: The number of detected known vulnerabilities with high rating in the asset,OPS-19.3,The CSP shall assess the penetration test findings and handle each identified vulnerability according to defined policies and procedures (cf. OPS-18).,Fabasoft Metrics,EUCS (via BSI C5)
NumberOfKnownHighVulnerabilities,NumberOfKnownHighVulnerabilities: The number of detected known vulnerabilities with high rating in the asset,OPS-19.4,"The tests are performed following a multi-annual work program, reviewed annually, that covers system components and security controls according to the evolution of the cloud service and of the threat landscape.",Fabasoft Metrics,EUCS (via BSI C5)
NumberOfKnownHighVulnerabilities,NumberOfKnownHighVulnerabilities: The number of detected known vulnerabilities with high rating in the asset,OPS-19.5,Some of the penetration tests performed each year shall be performed by external service providers,Fabasoft Metrics,EUCS (via BSI C5)
NumberOfKnownHighVulnerabilities,NumberOfKnownHighVulnerabilities: The number of detected known vulnerabilities with high rating in the asset,OPS-19.6,The CSP shall perform a root cause analysis on the vulnerabilities discovered through penetration testing in order to assess to which extent similar vulnerabilities may be present in the cloud system,Fabasoft Metrics,EUCS (via BSI C5)
NumberOfKnownHighVulnerabilities,NumberOfKnownHighVulnerabilities: The number of detected known vulnerabilities with high rating in the asset,OPS-19.7,The CSP shall correlate the possible exploits of discovered vulnerabilities with previous incidents to identify if the vulnerability may have been exploited before its discovery,Fabasoft Metrics,EUCS (via BSI C5)
NumberOfKnownHighVulnerabilities,NumberOfKnownHighVulnerabilities: The number of detected known vulnerabilities with high rating in the asset,DEV-06.1,The CSP shall apply appropriate measures to check the cloud service for vulnerabilities that may have been integrated into the cloud service during the development process.,Fabasoft Metrics,EUCS (via BSI C5)
NumberOfKnownHighVulnerabilities,NumberOfKnownHighVulnerabilities: The number of detected known vulnerabilities with high rating in the asset,DEV-06.2,The procedures for identifying vulnerabilities shall be integrated in the development process.,Fabasoft Metrics,EUCS (via BSI C5)
NumberOfKnownHighVulnerabilities,NumberOfKnownHighVulnerabilities: The number of detected known vulnerabilities with high rating in the asset,DEV-06.3,"The procedures shall include the following activities, depending on the risk assessment:  Static Application Security Testing;  Dynamic Application Security Testing;  Code reviews by subject matter experts; and  Obtaining information about confirmed vulnerabilities in software libraries provided by third parties and used in their own cloud service.",Fabasoft Metrics,EUCS (via BSI C5)
NumberOfKnownHighVulnerabilities,NumberOfKnownHighVulnerabilities: The number of detected known vulnerabilities with high rating in the asset,DEV-06.4,Code reviews shall be regularly performed by qualified personnel or contractors,Fabasoft Metrics,EUCS (via BSI C5)
NumberOfKnownHighVulnerabilities,NumberOfKnownHighVulnerabilities: The number of detected known vulnerabilities with high rating in the asset,DEV-06.5,The CSP shall assess the severity of identified vulnerabilities according to the criteria defined in OPS-17 and measures are taken to immediately eliminate or mitigate them.,Fabasoft Metrics,EUCS (via BSI C5)
NumberOfKnownHighVulnerabilities,NumberOfKnownHighVulnerabilities: The number of detected known vulnerabilities with high rating in the asset,DEV-06.6,"The procedures for identifying such vulnerabilities also shall include annual code reviews and security penetration tests by subject matter experts, as part of the annual programme defined in OPS-19",Fabasoft Metrics,EUCS (via BSI C5)
NumberOfKnownCriticalVulnerabilities,NumberOfKnownCriticalVulnerabilities: The number of detected known vulnerabilities with critical rating in the asset,OPS-17.1,"The CSP shall document, communicated and implement in accordance to ISP-02 policies and procedures with technical and organisational measures to ensure the timely identification and addressing of vulnerabilities in the system components used to provide the cloud service",Fabasoft Metrics,EUCS (via BSI C5)
NumberOfKnownCriticalVulnerabilities,NumberOfKnownCriticalVulnerabilities: The number of detected known vulnerabilities with critical rating in the asset,OPS-17.2,The policies and procedures shall describe measures regarding at least the following aspects:  Regular identification of vulnerabilities;  Assessment of the severity of identified vulnerabilities;  Prioritisation and implementation of actions to promptly remediate or mitigate identified vulnerabilities based on severity and according to defined timelines; and  Handling of system components for which no measures are initiated for the timely remediation or mitigation of vulnerabilities.,Fabasoft Metrics,EUCS (via BSI C5)
NumberOfKnownCriticalVulnerabilities,NumberOfKnownCriticalVulnerabilities: The number of detected known vulnerabilities with critical rating in the asset,OPS-17.3,The CSP shall use a scoring system for the assessment of vulnerabilities that includes at least “critical” and “high” classes of vulnerabilities,Fabasoft Metrics,EUCS (via BSI C5)
NumberOfKnownCriticalVulnerabilities,NumberOfKnownCriticalVulnerabilities: The number of detected known vulnerabilities with critical rating in the asset,OPS-17.4,"The CSP shall mandate in its policies and procedures the immediate handling of “critical” vulnerabilities and the handling of “high” vulnerabilities within a day, with a follow-up of the vulnerability until it has been remediated",Fabasoft Metrics,EUCS (via BSI C5)
NumberOfKnownCriticalVulnerabilities,NumberOfKnownCriticalVulnerabilities: The number of detected known vulnerabilities with critical rating in the asset,OPS-19.1,"The CSP shall perform on a regular basis tests to detect publicly known vulnerabilities on the system components used to provide the cloud service, in accordance with policies for handling vulnerabilities (cf. OPS-17)",Fabasoft Metrics,EUCS (via BSI C5)
NumberOfKnownCriticalVulnerabilities,NumberOfKnownCriticalVulnerabilities: The number of detected known vulnerabilities with critical rating in the asset,OPS-19.2,The CSP shall perform the tests defined in OPS-18.1 at least once a month,Fabasoft Metrics,EUCS (via BSI C5)
NumberOfKnownCriticalVulnerabilities,NumberOfKnownCriticalVulnerabilities: The number of detected known vulnerabilities with critical rating in the asset,OPS-19.2,"The CSP shall have penetration tests carried out by qualified internal personnel or external service providers, according to a documented test methodology and including in their scope the system components relevant to the provision of the cloud service in the area of responsibility of the CSP, as identified in a risk analysis",Fabasoft Metrics,EUCS (via BSI C5)
NumberOfKnownCriticalVulnerabilities,NumberOfKnownCriticalVulnerabilities: The number of detected known vulnerabilities with critical rating in the asset,OPS-19.3,The CSP shall assess the penetration test findings and handle each identified vulnerability according to defined policies and procedures (cf. OPS-18).,Fabasoft Metrics,EUCS (via BSI C5)
NumberOfKnownCriticalVulnerabilities,NumberOfKnownCriticalVulnerabilities: The number of detected known vulnerabilities with critical rating in the asset,OPS-19.4,"The tests are performed following a multi-annual work program, reviewed annually, that covers system components and security controls according to the evolution of the cloud service and of the threat landscape.",Fabasoft Metrics,EUCS (via BSI C5)
NumberOfKnownCriticalVulnerabilities,NumberOfKnownCriticalVulnerabilities: The number of detected known vulnerabilities with critical rating in the asset,OPS-19.5,Some of the penetration tests performed each year shall be performed by external service providers,Fabasoft Metrics,EUCS (via BSI C5)
NumberOfKnownCriticalVulnerabilities,NumberOfKnownCriticalVulnerabilities: The number of detected known vulnerabilities with critical rating in the asset,OPS-19.6,The CSP shall perform a root cause analysis on the vulnerabilities discovered through penetration testing in order to assess to which extent similar vulnerabilities may be present in the cloud system,Fabasoft Metrics,EUCS (via BSI C5)
NumberOfKnownCriticalVulnerabilities,NumberOfKnownCriticalVulnerabilities: The number of detected known vulnerabilities with critical rating in the asset,OPS-19.7,The CSP shall correlate the possible exploits of discovered vulnerabilities with previous incidents to identify if the vulnerability may have been exploited before its discovery,Fabasoft Metrics,EUCS (via BSI C5)
NumberOfKnownCriticalVulnerabilities,NumberOfKnownCriticalVulnerabilities: The number of detected known vulnerabilities with critical rating in the asset,DEV-06.1,The CSP shall apply appropriate measures to check the cloud service for vulnerabilities that may have been integrated into the cloud service during the development process.,Fabasoft Metrics,EUCS (via BSI C5)
NumberOfKnownCriticalVulnerabilities,NumberOfKnownCriticalVulnerabilities: The number of detected known vulnerabilities with critical rating in the asset,DEV-06.2,The procedures for identifying vulnerabilities shall be integrated in the development process.,Fabasoft Metrics,EUCS (via BSI C5)
NumberOfKnownCriticalVulnerabilities,NumberOfKnownCriticalVulnerabilities: The number of detected known vulnerabilities with critical rating in the asset,DEV-06.3,"The procedures shall include the following activities, depending on the risk assessment:  Static Application Security Testing;  Dynamic Application Security Testing;  Code reviews by subject matter experts; and  Obtaining information about confirmed vulnerabilities in software libraries provided by third parties and used in their own cloud service.",Fabasoft Metrics,EUCS (via BSI C5)
NumberOfKnownCriticalVulnerabilities,NumberOfKnownCriticalVulnerabilities: The number of detected known vulnerabilities with critical rating in the asset,DEV-06.4,Code reviews shall be regularly performed by qualified personnel or contractors,Fabasoft Metrics,EUCS (via BSI C5)
NumberOfKnownCriticalVulnerabilities,NumberOfKnownCriticalVulnerabilities: The number of detected known vulnerabilities with critical rating in the asset,DEV-06.5,The CSP shall assess the severity of identified vulnerabilities according to the criteria defined in OPS-17 and measures are taken to immediately eliminate or mitigate them.,Fabasoft Metrics,EUCS (via BSI C5)
NumberOfKnownCriticalVulnerabilities,NumberOfKnownCriticalVulnerabilities: The number of detected known vulnerabilities with critical rating in the asset,DEV-06.6,"The procedures for identifying such vulnerabilities also shall include annual code reviews and security penetration tests by subject matter experts, as part of the annual programme defined in OPS-19",Fabasoft Metrics,EUCS (via BSI C5)
UsageOfSASTInDevPipeline,UsageOfSASTInDevPipeline: The usage of SAST in the Development Pipeline (e.g. GitHub Actions); The number?,DEV-06.1,The CSP shall apply appropriate measures to check the cloud service for vulnerabilities that may have been integrated into the cloud service during the development process.,Fabasoft Metrics,EUCS (via BSI C5)
UsageOfSASTInDevPipeline,UsageOfSASTInDevPipeline: The usage of SAST in the Development Pipeline (e.g. GitHub Actions); The number?,DEV-06.2,The procedures for identifying vulnerabilities shall be integrated in the development process.,Fabasoft Metrics,EUCS (via BSI C5)
UsageOfSASTInDevPipeline,UsageOfSASTInDevPipeline: The usage of SAST in the Development Pipeline (e.g. GitHub Actions); The number?,DEV-06.3,"The procedures shall include the following activities, depending on the risk assessment:  Static Application Security Testing;  Dynamic Application Security Testing;  Code reviews by subject matter experts; and  Obtaining information about confirmed vulnerabilities in software libraries provided by third parties and used in their own cloud service.",Fabasoft Metrics,EUCS (via BSI C5)
UsageOfSASTInDevPipeline,UsageOfSASTInDevPipeline: The usage of SAST in the Development Pipeline (e.g. GitHub Actions); The number?,DEV-06.4,Code reviews shall be regularly performed by qualified personnel or contractors,Fabasoft Metrics,EUCS (via BSI C5)
UsageOfSASTInDevPipeline,UsageOfSASTInDevPipeline: The usage of SAST in the Development Pipeline (e.g. GitHub Actions); The number?,DEV-06.5,The CSP shall assess the severity of identified vulnerabilities according to the criteria defined in OPS-17 and measures are taken to immediately eliminate or mitigate them.,Fabasoft Metrics,EUCS (via BSI C5)
UsageOfSASTInDevPipeline,UsageOfSASTInDevPipeline: The usage of SAST in the Development Pipeline (e.g. GitHub Actions); The number?,DEV-06.6,"The procedures for identifying such vulnerabilities also shall include annual code reviews and security penetration tests by subject matter experts, as part of the annual programme defined in OPS-19",Fabasoft Metrics,EUCS (via BSI C5)
UsageOfDASTInDevPipeline,UsageOfDASTInDevPipeline: The usage of SAST in the Development Pipeline (e.g. GitHub Actions); The number?,DEV-06.1,The CSP shall apply appropriate measures to check the cloud service for vulnerabilities that may have been integrated into the cloud service during the development process.,Fabasoft Metrics,EUCS (via BSI C5)
UsageOfDASTInDevPipeline,UsageOfDASTInDevPipeline: The usage of SAST in the Development Pipeline (e.g. GitHub Actions); The number?,DEV-06.2,The procedures for identifying vulnerabilities shall be integrated in the development process.,Fabasoft Metrics,EUCS (via BSI C5)
UsageOfDASTInDevPipeline,UsageOfDASTInDevPipeline: The usage of SAST in the Development Pipeline (e.g. GitHub Actions); The number?,DEV-06.3,"The procedures shall include the following activities, depending on the risk assessment:  Static Application Security Testing;  Dynamic Application Security Testing;  Code reviews by subject matter experts; and  Obtaining information about confirmed vulnerabilities in software libraries provided by third parties and used in their own cloud service.",Fabasoft Metrics,EUCS (via BSI C5)
UsageOfDASTInDevPipeline,UsageOfDASTInDevPipeline: The usage of SAST in the Development Pipeline (e.g. GitHub Actions); The number?,DEV-06.4,Code reviews shall be regularly performed by qualified personnel or contractors,Fabasoft Metrics,EUCS (via BSI C5)
UsageOfDASTInDevPipeline,UsageOfDASTInDevPipeline: The usage of SAST in the Development Pipeline (e.g. GitHub Actions); The number?,DEV-06.5,The CSP shall assess the severity of identified vulnerabilities according to the criteria defined in OPS-17 and measures are taken to immediately eliminate or mitigate them.,Fabasoft Metrics,EUCS (via BSI C5)
UsageOfDASTInDevPipeline,UsageOfDASTInDevPipeline: The usage of SAST in the Development Pipeline (e.g. GitHub Actions); The number?,DEV-06.6,"The procedures for identifying such vulnerabilities also shall include annual code reviews and security penetration tests by subject matter experts, as part of the annual programme defined in OPS-19",Fabasoft Metrics,EUCS (via BSI C5)
PercentageOfPullRequestsWithReviews,PercentageOfPullRequestsWithReviews: Percentage of Pull Requets that are merged that have code reviews,DEV-06.1,The CSP shall apply appropriate measures to check the cloud service for vulnerabilities that may have been integrated into the cloud service during the development process.,Fabasoft Metrics,EUCS (via BSI C5)
PercentageOfPullRequestsWithReviews,PercentageOfPullRequestsWithReviews: Percentage of Pull Requets that are merged that have code reviews,DEV-06.2,The procedures for identifying vulnerabilities shall be integrated in the development process.,Fabasoft Metrics,EUCS (via BSI C5)
PercentageOfPullRequestsWithReviews,PercentageOfPullRequestsWithReviews: Percentage of Pull Requets that are merged that have code reviews,DEV-06.3,"The procedures shall include the following activities, depending on the risk assessment:  Static Application Security Testing;  Dynamic Application Security Testing;  Code reviews by subject matter experts; and  Obtaining information about confirmed vulnerabilities in software libraries provided by third parties and used in their own cloud service.",Fabasoft Metrics,EUCS (via BSI C5)
PercentageOfPullRequestsWithReviews,PercentageOfPullRequestsWithReviews: Percentage of Pull Requets that are merged that have code reviews,DEV-06.4,Code reviews shall be regularly performed by qualified personnel or contractors,Fabasoft Metrics,EUCS (via BSI C5)
PercentageOfPullRequestsWithReviews,PercentageOfPullRequestsWithReviews: Percentage of Pull Requets that are merged that have code reviews,DEV-06.5,The CSP shall assess the severity of identified vulnerabilities according to the criteria defined in OPS-17 and measures are taken to immediately eliminate or mitigate them.,Fabasoft Metrics,EUCS (via BSI C5)
PercentageOfPullRequestsWithReviews,PercentageOfPullRequestsWithReviews: Percentage of Pull Requets that are merged that have code reviews,DEV-06.6,"The procedures for identifying such vulnerabilities also shall include annual code reviews and security penetration tests by subject matter experts, as part of the annual programme defined in OPS-19",Fabasoft Metrics,EUCS (via BSI C5)
RequiredReviewers,RequiredReviewers: Number of reviewers required to merge a pull request,DEV-06.1,The CSP shall apply appropriate measures to check the cloud service for vulnerabilities that may have been integrated into the cloud service during the development process.,Fabasoft Metrics,EUCS (via BSI C5)
RequiredReviewers,RequiredReviewers: Number of reviewers required to merge a pull request,DEV-06.2,The procedures for identifying vulnerabilities shall be integrated in the development process.,Fabasoft Metrics,EUCS (via BSI C5)
