anchor_id,anchor_text,target_id,target_text,source,target,original_file
CCF 108,"Risk Assessments and Mitigation Strategy: Risk assessments are performed at least annually. As part of this process, threats and changes (environmental, regulatory, and technological) to service commitments are identified and the risks are formally assessed. The risk assessment includes risk mitigation strategies and acceptance levels based on [The Organization] risk criteria. The risk assessment includes a consideration of the potential for fraud and how fraud may impact the achievement of objectives. The results of the risk assessment are reviewed by leadership at least annually.",op.pl.3,"Acquisition of new components. Is planning carried out prior to the acquisition of new system components, taking into account, for example, the obsolescence of those currently in production, the end of contracts, changes in the context, etc.?. Does the acquisition process take into account the conclusions of the risk analysis, or does it result in a new iteration of said analysis having to be carried out, due to the changes it introduces in the information system? For the new components to be acquired, is it verified that they are consistent or compatible with the security architecture implemented or chosen for the organization? Is there a formalized planning process for the acquisition of new components? Does the procurement process take into account financial, training and technical needs (features, configuration, support and maintenance)?",Cisco,Spanish ENS (EN),training_data_step1_cisco_ens.csv
CCF 306,"Corporate Anti-Malware Technology: Anti-malware technology is deployed for environments commonly susceptible to malicious attack and is configured to be updated routinely, logged, and installed on all employee workstations.",mp.com.3,"Protection of integrity and authenticity. Are mechanisms used to guarantee the authenticity and integrity of communications with the outside world?. In communications with points outside the security domain itself, is the authenticity of the other end of the communication channel ensured before exchanging information? Are active attacks prevented by guaranteeing that when they are detected, the procedures planned to deal with the incident will be activated? Are only those provided for in the regulations implementing the legal system used as identification and authentication mechanisms?",Cisco,Spanish ENS (EN),training_data_step1_cisco_ens.csv
IAM-07.3,The access to the production environment of the CSP shall require strong authentication,idm-09,"Authentication mechanisms: System components in the Cloud Service Provider´s area of responsibility that are used to provide the cloud service, authenticate users of the Cloud Service Provider´s internal and external employees as well as system components that are involved in the Cloud Service Provider´s automated authorisation processes. Access to the production environment requires two-factor or multi-factor authentication. Within the production environment, user authentication takes place through passwords, digitally signed certificates or procedures that achieve at least an equivalent level of security. If digitally signed certificates are used, administration is carried out in accordance with the Guideline for Key Management (cf. CRY-01). The password requirements are derived from a risk assessment and documented, communicated and provided in a password policy according to SP-01. Compliance with the requirements is enforced by the configuration of the system components, as far as technically possible. Access to the non-production environment requires two-factor or multi-factor authentication. Within the non-production environment, users are authenticated using passwords, digitally signed certificates, or procedures that provide at least an equivalent level of security.",NewEUCS (Filtered),BSI C5,training_data_step7_neweucs_bsi_filtered.csv
CCF 296,Supplier sharing agreements and review: Formal Legal Approved information sharing agreements are in place with related critical suppliers. These agreements include confidentiality commitments applicable to that entity.,op.ext.1,"Contracting and service level agreements. Are service level agreements signed with suppliers, while they are required to be in possession of the corresponding certificate of conformity with respect to the ENS?. Prior to the effective use of external resources, is a Service Level Agreement (ANS/SLA) contractually established that includes the characteristics of the service provided, what should be understood as 'minimum admissible service', as well as the responsibility of the provider and the consequences of possible non-compliance? Are suppliers, relevant to the ENS, required to be in possession of the corresponding certification of conformity for the information system that supports the services provided to the organization, with equal or higher category and sufficient scope?",Cisco,Spanish ENS (EN),training_data_step1_cisco_ens.csv
CCF 318,"External Communication Requirements: [The Organization] defines external communication requirements for incidents, including: • information about external party dependencies • criteria for notification to external parties as required by [The Organization] policy in the event of a security breach • contact information for authorities (e.g., law enforcement, regulatory bodies, etc.)",im-04.1,The CSP shall inform employees and external business partners of their contractual obligations to report all security events that become known to them and are directly related to the cloud service,Cisco,EUCS,training_data_step4_cisco_eucs.csv
CCF 313,Cloud Provider Vulnerability Detection: The cloud service provider provides information about the management of technical vulnerabilities that can impact customers.,ois-03,"Interfaces and Dependencies: Interfaces and dependencies between cloud service delivery activities performed by the Cloud Service Provider and activities performed by third parties are documented and communicated. This includes dealing with the following events: . Vulnerabilities; . Security incidents; and . Malfunctions. The type and scope of the documentation is geared towards the information requirements of the subject matter experts of the affected organisations in order to carry out the activities appropriately (e.g. definition of roles and responsibilities in guidelines, description of cooperation obligations in service descriptions and contracts). The communication of changes to the interfaces and dependencies takes place in a timely manner so that the affected organisations and third parties can react appropriately with organisational and technical measures before the changes take effect.",Cisco,BSI C5,training_data_step3_cisco_bsi.csv
CCF 116,"Statement of Applicability: Management prepares a statement of applicability that includes control objectives, implemented controls, and business justification for excluded controls. Management aligns the statement of applicability with the results of the risk assessment.",isp-03.1,"The CSP shall maintain a list of exceptions to the security policies and procedures, including associated controls.",Cisco,EUCS,training_data_step4_cisco_eucs.csv
ISP-02.4,The CSP’s top management shall approve the security policies and procedures or delegate this responsibility to authorized bodies,sp-02,Review and Approval of Policies and Instructions: Information security policies and instructions are reviewed at least annually for adequacy by the Cloud Service Provider´s subject matter experts. The review shall consider at least the following aspects: . Organisational and technical changes in the procedures for providing the cloud service; and . Legal and regulatory changes in the Cloud Service Provider´s environment. Revised policies and instructions are approved before they become effective.,NewEUCS (Filtered),BSI C5,training_data_step7_neweucs_bsi_filtered.csv
CCF 317,System Description & Boundaries: [The Organization] has prepared a description of the system and its boundaries and has provided this description to internal and external authorized users.,9.7.b,"The service provider must implement appropriate partitioning measures between the service information system and its other information systems (office automation, management IT, building technical management, physical access control, etc.).",Cisco,SecNumCloud (EN),training_data_step2_cisco_secNumCloud.csv
CCF 168,Access to Production & Multi-Factor Authentication: Access to production [The Organization] is restricted to authorized employees with a valid multi-factor (MFA) token and over an encrypted connection when applicable.,op.acc.2,"Access requirements. Are system resources protected by some mechanism that prevents their use, except by entities that have sufficient access rights?. Have the people responsible for the different resources of the information system been determined and known? Are the access rights of each resource established according to the decisions of the person responsible for the resource, in accordance with the system's security policy and/or regulations? Is access to operating system components and their configuration files or registers controlled?",Cisco,Spanish ENS (EN),training_data_step1_cisco_ens.csv
CCF 317,System Description & Boundaries: [The Organization] has prepared a description of the system and its boundaries and has provided this description to internal and external authorized users.,13.1.a,"The service provider must establish and keep up to date a cartography of the service information system, in connection with the asset inventory (see chapter 8.1), comprising at least the following elements: - The list of material or virtualized resources; - The names and functions of the applications, supporting the service; - the network architecture scheme at level 3 of the OSI model on which the neuralgic points are identified: - interconnection points, in particular with third and public networks, - networks, subnets, in particular administration networks, - equipment providing security functions (filtering, authentication, encryption, etc.), - servers hosting data or ensuring sensitive functions; - The authorized network flow matrix specifying: - their technical description (services, protocols and ports); - business justification or technical infrastructure; - If necessary, when services, protocols or deemed not safe ports are used, the compensatory measures implemented, in the in -depth defense logic.",Cisco,SecNumCloud (EN),training_data_step2_cisco_secNumCloud.csv
CCF 30,"Change Approval and Testing Documentation: Changes to service and supporting infrastructure components of the service are authorized, formally documented, tested, reviewed, and approved prior to being implemented in the production environment.",rm-02.3,"The CSP shall review and revise the risk assessment at least annually, and after each major change that may affect the security of the cloud service.",Cisco,EUCS,training_data_step4_cisco_eucs.csv
CCF 317,System Description & Boundaries: [The Organization] has prepared a description of the system and its boundaries and has provided this description to internal and external authorized users.,pi-01,DOCUMENTATION AND SECURITY OF INPUT AND OUTPUT INTERFACES: Inbound and outbound interfaces to/from the cloud service are documented for access from other cloud services or IT systems.,Cisco,BSI C5,training_data_step3_cisco_bsi.csv
CCF 276,Security & Privacy Incident Response: Security incident response policies and procedures are documented and communicated to authorized personnel.,im-06.1,"The CSP shall perform an analysis of security incidents to identify recurrent or significant incidents and to identify the need for further protection, if needed with the support of external bodies",Cisco,EUCS,training_data_step4_cisco_eucs.csv
CCF 223,Customer Network Segmentation: Customer environments are segregated such that customers only have access to their own environments.,12.14.a,"The service provider must provide an inspection and deletion capacity of leaving the technical infrastructure relating to the perimeter of the service (invoicing information, any newspapers necessary for the processing of incidents, etc.): - The outgoing must be able to be expared from the data that can affect the confidentiality of the data of the sponsors; - This capacity for inspection and deletion must generate activity logs and must be able to be the subject of an audit of code; - The outgoing is treated on specific devices made and maintained by the service provider, and hosted in a partitioned area of ​​the rest of the infrastructure (of the demilitarized zone type as defined in [g_int]). Safety 4Objectives of the secure gateway [G_EXT]: - authenticate the remote machine and the person in charge of the support; - prevent the exploitation of vulnerabilities or stolen doors on the telemas; - Guarantee the confidentiality and integrity of data on the IS; - Ensure a traceability of confidence of the actions carried out by the technician of the support center; -Guarantee the safety of the telemaintin function vis-à-vis the system subject to teleodiagnostics as well as related systems; - Guarantee the absence of a leak of information outside. IT service providers in clouds (SecnumCloud) - Date Date Version References Dispute Criterion Page",Cisco,SecNumCloud (EN),training_data_step2_cisco_secNumCloud.csv
CCM-03.4,"In accordance with contractual requirements, the CSP shall involve CSCs into the tests.",dev-06,IDENTIFICATION OF VULNERABILITIES OF THE CLOUD SERVICE: Appropriate measures are taken to identify vulnerabilities introduced in the cloud service during the development process.,NewEUCS (Filtered),BSI C5,training_data_step7_neweucs_bsi_filtered.csv
CCF 70,"Data classification and treatment Criteria: Systems data classification criteria are reviewed, approved by management, and communicated to authorized personnel at least annually; the data security management determines the treatment of data according to its designated data classification level. Revision histories and review periods are defined within the documents themselves and the Systems Policy Governance Policy.",8.4.a,"It is recommended that the service provider document and implement a procedure for the marking and handling of all the information participating in the delivery of the service, in accordance with its need for security defined in chapter 8.3.",Cisco,SecNumCloud (EN),training_data_step2_cisco_secNumCloud.csv
CCF 161,Limited Audit Trail Access: Audit trails are secured through principles of least privilege to prevent unauthorized access or altering.,ops-13.1,The CSP shall store all log data in an integrity-protected and aggregated form that allow its centralized evaluation,Cisco,EUCS,training_data_step4_cisco_eucs.csv
CCF 60,Asset Onboarding: New assets to be installed into the secure premises are approved by authorized committees or bodies at [The Organization]. The 'on-boarding' of such assets takes place securely according to the type of the asset.,am-03,"COMMISSIONING AND DECOMMISSIONING: Procedures for the commissioning and decommissioning of hardware assets used in the provision of the cloud service are documented, communicated and implemented, ensuring the proper configuration before commissioning and the proper deletion of data during decommissioning.",Cisco,BSI C5,training_data_step3_cisco_bsi.csv
PruneDisabledAccounts,PruneDisabledAccounts,IAM-03.12,The CSP shall automatically monitor the environmental conditions of authentication attempts and flag suspicious events to the corresponding user or to authorized persons,Fabasoft Metrics,EUCS (via BSI C5),training_data_step5_fabasoft_eucs.csv
CCF 177,Unique Customer Identifier and ID: [The Organization] requires unique customer identifiers for customer user accounts and prevents identifier reuse.,pss-05,"Authentication Mechanisms: The Cloud Service Provider provides authentication mechanisms that can force strong authentication (e.g. two or more factors) for users, IT components or applications within the cloud users´ area of responsibility. These authentication mechanisms are set up at all access points that allow users, IT components or applications to interact with the cloud service. For privileged users, IT components or applications, these authentication mechanisms are enforced. The cloud service offers out-of-band authentication (OOB), in which the factors are transmitted via different channels (e.g. Internet and mobile network).",Cisco,BSI C5,training_data_step3_cisco_bsi.csv
CCF 280,"Security Incident Management: All events related to security, confidentiality, and availability are logged, tracked, and triggered on an on-going basis. When events are triggered as incidents, they are evaluated and resolved based on severity levels and communicated to affected parties by management until the [The Organization] has recovered from the incidents.",ops-12.1,"The CSP shall monitor log data in order to identify events that might lead to security incidents, in accordance with the logging and monitoring requirements",Cisco,EUCS,training_data_step4_cisco_eucs.csv
CCF 315,"Infrastructure & Application patching: Infrastructure supporting the service, and applications are patched upon availability as a part of routine maintenance and as a result of identified vulnerabilities and supplier supplied patches to help ensure that applications and infrastructure network and system components supporting the service are hardened against security threats.",mp.sw.2,"Acceptance and commissioning. Before going into production, is the correct functioning of the application and its security aspects checked?. Before applications go into production, are security acceptance criteria checked? Before the applications go into production, is it verified that the security of other components of the service does not deteriorate?. In the case of externally developed applications implemented locally (on-premise), does the provider provide sufficient evidence of the security of the application?. Does the provider that implements the solution provide a customized copy for the contracting client of the 'Secure system installation and configuration guide' manual aimed at administrators? Does the provider that implements the solution provide a customized copy for the contracting client of the 'Guide to safe use of the system' manual aimed at users? Does the supplier that implements the solution provide a customized copy for the contracting client of the manual 'Guide to the relationship between client and supplier' aimed at administrators?",Cisco,Spanish ENS (EN),training_data_step1_cisco_ens.csv
CCF 12,"Business Impact Assessment: Business impact assessment (BIA) or continuity specific risk assessment are performed at least annually and when significant changes within [The Organization] occur. Results of the assessments are used to establish the scope of the continuity plan, determine business continuity priorities, and the recovery strategies.",ps-01,"PHYSICAL SECURITY PERIMETERS: The buildings and premises related to the cloud service provided are divided into zones by security perimeters, depending on the level on information security risk associated to the activities performed and assets stored in these buildings and premises.",Cisco,BSI C5,training_data_step3_cisco_bsi.csv
CCF 276,Security & Privacy Incident Response: Security incident response policies and procedures are documented and communicated to authorized personnel.,hr-04.1,The CSP shall define a security awareness and training program that covers the following aspects:  Handling system components used to provide the cloud service in the production environment in accordance with applicable policies and procedures;  Handling cloud customer data in accordance with applicable policies and instructions and applicable legal and regulatory requirements;  Information about the current threat situation; and  Correct behaviour in the event of security incidents.,Cisco,EUCS,training_data_step4_cisco_eucs.csv
CCM-02.3,"If the risk associated to a planned change is high, then appropriate mitigation measures shall be taken before deploying the service",dev-05,"Risk assessment, categorisation and prioritisation of changes: In accordance with the applicable policies (cf. DEV-03), changes are subjected to a risk assessment with regard to potential effects on the system components concerned and are categorised and prioritised accordingly. In accordance with the contractual agreements, meaningful information about the occasion, time, duration, type and scope of the change is submitted to authorised bodies of the cloud customer so that they can carry out their own risk assessment before the change is made available in the production environment. Regardless of the contractual agreements, this is done for changes that have the highest risk category based on their risk assessment.",NewEUCS (Filtered),BSI C5,training_data_step7_neweucs_bsi_filtered.csv
CCF 45,Cloud Provider Geographical Locations: The cloud service provider informs cloud service customers of the geographical locations of the provider's organization and countries where the provider can store the customer data.,pss-05.1,The CSP shall allow the CSC to specify the locations (location/country) of the data processing and storage including data backups according to the contractually available options,Cisco,EUCS,training_data_step4_cisco_eucs.csv
CCF 171,Quarterly Access Reviews: Periodic access reviews are conducted by management for the in-scope system components to ensure that access is restricted appropriately. Tickets are created to remove or modify access as necessary in a timely manner.,op.acc.1,"ID. Is there access control comprising a set of preparatory and executive activities aimed at allowing or denying an entity, user or process access to a system resource to carry out any action?. If a unique identifier is used, are identification methods provided for in the applicable regulations used, including agreed key systems and any other that the administrations consider valid? Does each entity (entity, user or process) that accesses the system have a unique identifier that allows knowing the recipient and assigning the corresponding access rights? When the user has different roles in the system (as a citizen or end user, as an agency worker or as a systems administrator, for example), are they assigned unique identifiers for each profile, so that the corresponding activity records are collected based on the privileges corresponding to each profile in order to know the actions carried out? When the user leaves the organization, when the user ceases to perform the function for which the user account was required, or when the person who authorized it gives an order to the contrary, are user accounts immediately disabled/locked? Once an account is no longer necessary, is it retained disabled for a finite and determined period to meet the traceability needs of the records associated with it, before its deletion? In electronic communications, do the intervening parties identify with the planned mechanisms aligned with Regulation (EU) 910/2014 of the European Parliament and of the Council (eIDAS Regulation) and with Law 6/2020, of November 11, regulating certain aspects of electronic trust services?",Cisco,Spanish ENS (EN),training_data_step1_cisco_ens.csv
CCF 105,"Security Gateways: Network perimeter is controlled by security gateways. For cross-network access, the access authorization is based on security requirements of the cloud customers.",cos-04,Cross-network access: Each network perimeter is controlled by security gateways. The system access authorisation for cross-network access is based on a security assessment based on the requirements of the cloud customers. Each network perimeter is controlled by redundant and highly-available security gateways.,Cisco,BSI C5,training_data_step3_cisco_bsi.csv
CCF 58,"Removal of Access: Any physical access and logical user accounts that have not been used for two months after approval are automatically withdrawn or disabled. In addition, any user accounts that have been locked for more than six months are automatically revoked or terminated.",iam-03.9,The CSP shall define and implement an automated mechanism to revoke user accounts that have been blocked by another automatic mechanism after a certain period of time,Cisco,EUCS,training_data_step4_cisco_eucs.csv
CCF 131,"Policies and Standard Review: Systems policies and standards are reviewed, approved by management, and communicated to authorized personnel periodically. Revision histories and review periods are defined within the policies and standards themselves and the [The Organization] Policy Governance Policy.",op.pl.2,"Security architecture. Are documentation and diagrams available in the area of ​​the information system, including physical facilities, equipment, communications and lines of defense?. Is documentation of the facilities available, including areas and access points? Is there documentation and diagrams of the lines of defense, interconnection points to other systems or other networks, including the Internet or public networks in general, firewalls, balancers, routers, network segmentation, etc.? For those who develop software (solutions with a certain complexity such as an ERP to manage town halls), are there diagrams with the structure of layers and modules of the solution, including the integration layers or interfaces to communicate with other solutions or elements, such as electronic signature, interoperability, etc.? Is there documentation of the user identification and authentication systems, including the use of agreed keys, passwords, identification cards, biometrics, or others of a similar nature, and the use of files or directories to authenticate the user and determine their access rights, including details of the access protocols used, such as, for example, LDAP?",Cisco,Spanish ENS (EN),training_data_step1_cisco_ens.csv
CCF 107,"Security Management System Risk Assessment Methodology: A documented Information Security Management System Risk Assessment Methodology is in place that includes guidance on the identification of potential threats, rating the significance of the risks associated with the identified threats, and mitigation strategies for those risks, documentation and communication of those risks, as well as possible vulnerabilities within the cloud service provider and their impacts. Upper management, or its designated representative(s), owns this methodology and is responsible for its adherence.",ops-17.2,The policies and procedures shall describe measures regarding at least the following aspects:  Regular identification of vulnerabilities;  Assessment of the severity of identified vulnerabilities;  Prioritisation and implementation of actions to promptly remediate or mitigate identified vulnerabilities based on severity and according to defined timelines; and  Handling of system components for which no measures are initiated for the timely remediation or mitigation of vulnerabilities.,Cisco,EUCS,training_data_step4_cisco_eucs.csv
CCF 60,Asset Onboarding: New assets to be installed into the secure premises are approved by authorized committees or bodies at [The Organization]. The 'on-boarding' of such assets takes place securely according to the type of the asset.,8.1.a,"The service provider must keep up to date the inventory of all the equipment implementing the service. This inventory must specify for each equipment: - equipment identification information (names, IP addresses, Mac addresses, etc.); - the function of the equipment; - the equipment model; - the location of the equipment; - the owner of the equipment; - The need for information security (within the meaning of chapter 8.3).",Cisco,SecNumCloud (EN),training_data_step2_cisco_secNumCloud.csv
CCM-03.1,The CSP shall test proposed changes before deployment,dev-06,IDENTIFICATION OF VULNERABILITIES OF THE CLOUD SERVICE: Appropriate measures are taken to identify vulnerabilities introduced in the cloud service during the development process.,NewEUCS (Filtered),BSI C5,training_data_step7_neweucs_bsi_filtered.csv
CCF 296,Supplier sharing agreements and review: Formal Legal Approved information sharing agreements are in place with related critical suppliers. These agreements include confidentiality commitments applicable to that entity.,pi-01.5,"The CSP shall allow its customers to verify the interfaces provided (and their security) are adequate for its protection requirements before the start of the use of the cloud service, and each time the interfaces are changed",Cisco,EUCS,training_data_step4_cisco_eucs.csv
CCF 10,"Documented BC/DR: A documented business continuity/disaster recovery (BC/DR) plan is in place and tested at least annually. Enterprise testing is done by the IT Risk Management Team. Offer teams perform testing for their given offers. Any exclusions are documented as part of the BC/DR plan. As part of the BC/DR plan, management identifies rooms for improvement and implements necessary actions to improve their business continuity plan as well.",bc-01.3,The business continuity and contingency management process owner shall ensure that sufficient resources are made available for an effective process,Cisco,EUCS,training_data_step4_cisco_eucs.csv
NumberOfKnownMediumVulnerabilities,NumberOfKnownMediumVulnerabilities: The number of detected known vulnerabilities with average rating in the asset,OPS-19.5,Some of the penetration tests performed each year shall be performed by external service providers,Fabasoft Metrics,EUCS (via BSI C5),training_data_step5_fabasoft_eucs.csv
CCF 295,"Master Service Agreements: Master Purchase Agreements (including Master Services Agreements/MSAs, Enterprise Agreements, etc.) agreed to between [The Organization] and customers includes the Systems commitments to their customers with respect to the relevant product(s) and service(s) comprising the cloud offer.",pss-01.2,"The information provided shall be detailed enough to allow cloud users to check the following aspects, insofar as they are applicable to the cloud service:  Which data, services or functions available to the cloud user within the cloud service, have been accessed by whom and when (Audit Logs);  Malfunctions during processing of automatic or manual actions; and  Changes to security-relevant configuration parameters, error handling and logging mechanisms, user authentication, action authorisation, cryptography, and communication security.",Cisco,EUCS,training_data_step4_cisco_eucs.csv
CCF 140,"Information Security Risk Assessment and developing IT General Control Activities: As part of its annual information security risk assessment, management selects and develops manual and IT general control activities that contribute to the mitigation of identified risks.",rm-02.4,The CSP shall monitor the evolution of the risk factors and revise the risk assessment results accordingly December 2020,Cisco,EUCS,training_data_step4_cisco_eucs.csv
CCF 32,Processing Change Notification: Customers are notified of critical changes that may affect their processing.,op.exp.7,"Incident management. Is there a comprehensive process in place to deal with incidents that may impact system security?. Is there a comprehensive process in place to address incidents that may impact system security, including reporting of security events and weaknesses, detailing classification criteria and notification escalation? Does the management of incidents that affect personal data take into account the provisions of the RGPD and LO 3/2018 (LOPDGDD), especially its first additional provision, as well as the rest of the applicable regulations, without prejudice to the requirements established in RD 311/2022, of May 3?",Cisco,Spanish ENS (EN),training_data_step1_cisco_ens.csv
CCF 93,"Cryptographic Algorithm and Methods, Secure Data Transmission Protocols, Encryption at Rest: Approved cryptographic algorithms and methods are used for securing assets with confidential, personal, and sensitive data both at rest and in-transit over public networks. For NIST, FedRAMP, and CMMC, FIPS 140-2 Cryptography method is used to protect data at rest and in transit.",11.7.c,The service provider must ensure that the media can only be returned to a third party if the data of the sponsor is stored there in accordance with chapter 10.1 or have been destroyed beforehand using a secure erasure mechanism by rewriting random patterns.,Cisco,SecNumCloud (EN),training_data_step2_cisco_secNumCloud.csv
CCF 174,Password Management & Configuration: Passwords for in-scope system components are configured according to the Systems policy.,op.exp.2,"Security settings. Is a security configuration (bastioned) carried out on the equipment prior to putting it into production?. Have the equipment been configured, prior to its entry into operation, removing standard accounts and passwords? Have the equipment been configured, prior to its entry into operation, applying the 'minimum functionality' rule, that is, that the system provides the minimum functionality essential for the organization to achieve its objectives? Have the equipment been configured, prior to its entry into operation, so that the 'default security' rule is applied? Have virtual machines been configured and managed, prior to their entry into operation, in a manner equally secure as that used for physical machines?",Cisco,Spanish ENS (EN),training_data_step1_cisco_ens.csv
CCF 77,"Data Flow Diagram: A data flow diagram is documented and maintained for data that processed (analyzed, stored or transmitted, etc.) within the services' applications and infrastructure network and [The Organization]. The data flow diagram is reviewed at least annually or based on defined frequency of organization policies and any changes are updated in the diagram.",13.1.a,"The service provider must establish and keep up to date a cartography of the service information system, in connection with the asset inventory (see chapter 8.1), comprising at least the following elements: - The list of material or virtualized resources; - The names and functions of the applications, supporting the service; - the network architecture scheme at level 3 of the OSI model on which the neuralgic points are identified: - interconnection points, in particular with third and public networks, - networks, subnets, in particular administration networks, - equipment providing security functions (filtering, authentication, encryption, etc.), - servers hosting data or ensuring sensitive functions; - The authorized network flow matrix specifying: - their technical description (services, protocols and ports); - business justification or technical infrastructure; - If necessary, when services, protocols or deemed not safe ports are used, the compensatory measures implemented, in the in -depth defense logic.",Cisco,SecNumCloud (EN),training_data_step2_cisco_secNumCloud.csv
CCF 35,File Integrity Monitoring: A file integrity monitoring (FIM) tool is used to notify system administrators of potential unauthorized changes to the production system.,mp.sw.1,"Application development. Is the development environment separated from the production environment for all purposes?. Have both environments been separated, with development being carried out on systems differentiated from productive ones? Are there development tools or test data in the production environment, or production items or real data in the development environment? Have security measures been applied to the source code repositories?",Cisco,Spanish ENS (EN),training_data_step1_cisco_ens.csv
