source_scheme,source_id,source_text,target_scheme,target_id,target_text,original_target_id
Cisco,CCF 19,Multi-Location Strategy - A multi-location or region strategy for production environments is employed to permit the resumption of operations at other [The Organization] facilities in the event of the loss of a facility.,SecNumCloud,17.4.a,The service provider must document and implement the measures that allow him to meet the need for availability of the service defined in the service agreement (see chapter 19.1).,"12.5.d, 17.4.a"
Cisco,CCF 20,Audit Record Capacity - [The Organization] allocates audit record storage capacity in accordance with logging storage and retention requirements; Audit logs are retained for at least one year with one year of data immediately available for analysis.,SecNumCloud,12.6.a | 12.6.c | 12.6.e | 12.7.a | 12.7.b | 12.9.a,"The service provider must document and implement a logging policy including at least the following elements: - the list of collection sources The service provider must maintain events from the journalization for a minimum period of six months subject to compliance with legal and regulatory requirements. It is recommended that the journalization system implemented by the service provider respects the recommendations of [nt_journal]. The service provider must protect journalization equipment and journalized events against attacks on their availability, integrity or confidentiality, in accordance with chapter 3.2 of [nt_journal]. The service provider must manage the dimensioning of the storage space for all the equipment hosting one or more collection sources in order to allow conservation providers of IT services in clouds (SecnumCloud) - Referential of requirements Date Date Diffusion Criterial Page of journalized events provided for by the event journalization policy. This dimensioning management must take into account developments in the information system. The service provider must document and implement an infrastructure allowing the analysis and correlation of events recorded by the journalization system in order to detect events likely to affect the security of the service system, in real time or a posteriori for events going up to six months.","12.6.a, 12.6.c, 12.6.e, 12.7.a, 12.7.b, 12.7.c, 12.9.a, 16.4.b"
Cisco,CCF 21,Audit Logging Alert - An alert is sent to relevant staff when the audit logging process failed.  Failures are addressed to resume system logging.,SecNumCloud,12.6.a | 12.6.b | 12.9.c,The service provider must document and implement a logging policy including at least the following elements: - the list of collection sources The service provider must generate and collect the following events: - user activities related to information security The service provider must pay the alarms reported by the infrastructure of analysis and correlation of events at least daily.,"12.6.a, 12.6.b, 12.9.c"
Cisco,CCF 22,"Customer Data Backup - At least annually, full backups are configured for data stores housing sensitive customer data and personal information. Repeated Failed backups are investigated and resolved. Backups are periodically restored to validate the integrity of the backup. Details of the restoration test are logged and included over who performed the test, a description, and restored backup, as well as an integrity check of the restored backup.",SecNumCloud,12.4.a | 12.5.a | 12.6.a | 12.6.b | 17.4.a | 17.5.a,"The service provider must document and implement detection, prevention and catering measures to protect himself from malicious codes. The scope of application of this requirement on the service information system must necessarily contain user positions under the responsibility of the service provider and the incoming flows on this same information system. The service provider must document and implement a policy of safeguarding and restoring data under its responsibility within the framework of the service. This policy must provide for a daily safeguard of all data (information, software, configurations, etc.) under the responsibility of the service provider within the framework of the service. The service provider must document and implement a logging policy including at least the following elements: - the list of collection sources The service provider must generate and collect the following events: - user activities related to information security The service provider must document and implement the measures that allow him to meet the need for availability of the service defined in the service agreement (see chapter 19.1). The service provider must document and implement an off-line backup procedure for the configuration of the technical infrastructure. sponsor","12.4.a, 12.5.a, 12.5.c, 12.6.a, 12.6.b, 17.4.a, 17.5.a"
Cisco,CCF 23,Customer Data Replication - Databases are replicated to a secondary data base or data center. Alerts are configured to notify administrators if replication fails.,SecNumCloud,17.4.a | 17.5.a,The service provider must document and implement the measures that allow him to meet the need for availability of the service defined in the service agreement (see chapter 19.1). The service provider must document and implement an off-line backup procedure for the configuration of the technical infrastructure. sponsor,"12.5.d, 17.4.a, 17.5.a"
Cisco,CCF 24,"Customer Data Backup - [The Organization] provides the specifications of its backup capabilities to its cloud service customers or upon request. Where applicable, the specifications include scope and schedule of backups, backup methods and data formats, encryption of backup data, retention periods for backup data, integrity verification of backup data, procedures and timescale of data restore, and location of backup data. ",SecNumCloud,17.6.a,The service provider must document and make available to the sponsor a safeguard service of his data. IT service providers in clouds (SecnumCloud) - Defining Distribution Criteria References Applicable page applicable page,17.6.a
Cisco,CCF 28,"SDLC Methodology - A formal [The Organization] development life cycle (SDLC) methodology is in place that governs the development, acquisition, implementation, changes (including emergency changes), and maintenance of information [The Organization] and related technology requirements.",SecNumCloud,5.1.a | 6.5.a | 14.1.a,"The service provider must operate in the state of the art for the type of activity selected: Use stable software benefiting from monitoring of safety and configuration fixes so as to obtain an optimal security level. The service provider must document an estimate of the risks prior to any project that may have an impact on the service, regardless of the nature of the project. The service provider must document and implement secure development rules for software and systems, and apply them to internal developments.","5.1.a, 6.5.a, 14.1.a"
Cisco,CCF 29,Cloud Provider Change Monitoring - Cloud Service Customers review and monitor changes made by the cloud service provider for appropriateness and any potential impact to the customer's instance.,SecNumCloud,6.5.b | 12.2.b | 12.2.c | 12.2.d,"Insofar as a project affects or is likely to affect the level of service security, the service provider must warn the sponsor and inform him in writing of potential impacts, measures put in place to reduce these impacts as well as residual risks concerning him. IT service providers in clouds (SecnumCloud) - Date Date Version References Dispute Criterion Page The service provider must document and implement a procedure allowing, in the event of operations carried out by the service provider and which may have an impact on the security or availability of the service, to communicate the following information as soon as possible: - the scheduled date and time of the start and end of operations; - The nature of operations; - Impacts on security or availability of service; - Contact within the provider. As part of a PAAS service, the service provider must inform the sponsor as soon as possible of any modification to come on software elements under his responsibility as soon as complete compatibility cannot be ensured. The service provider must inform the sponsor as soon as possible of any future modification on the elements of the service as long as it is likely to cause a loss of functionality for the sponsor. operating","6.5.b, 12.2.b, 12.2.c, 12.2.d"
Cisco,CCF 30,"Change Approval and Testing Documentation - Changes to service and supporting infrastructure components of the service are authorized, formally documented, tested, reviewed, and approved prior to being implemented in the production environment.",SecNumCloud,6.5.a | 6.5.b | 9.1.b | 12.2.a | 12.3.a | 14.1.a | 14.2.a | 14.2.b | 14.3.a | 14.6.a | 18.2.3.a,"The service provider must document an estimate of the risks prior to any project that may have an impact on the service, regardless of the nature of the project. Insofar as a project affects or is likely to affect the level of service security, the service provider must warn the sponsor and inform him in writing of potential impacts, measures put in place to reduce these impacts as well as residual risks concerning him. IT service providers in clouds (SecnumCloud) - Date Date Version References Dispute Criterion Page The service provider must revise the access control policy annually and to each major change that may have an impact on the service. The service provider must document and implement a procedure for managing changes to the information processing systems and means of processing. The service provider must document and implement the measures to physically separate the environments linked to the production of the service of other environments, including development environments. The service provider must document and implement secure development rules for software and systems, and apply them to internal developments. The service provider must document and implement a procedure for controlling the changes to the service information system. The service provider must document and implement a procedure for validating the changes to the service information system on a pre-production environment before their production. The service provider must document and implement a procedure making it possible to test, prior to their production, all applications in order to verify the absence of any adverse effect on the activity or on the security of the service. The service provider must submit information systems, new or updated, to conformity and safety functionality tests during development. He must document and implement a test procedure that identifies: - the tasks to be performed; - input data; Computer service providers in clouds (SecnUMCloud) - Date District version requirements Distribution Criterion page - The expected output results. In the event of a major change that may affect the service, the service provider must have an independent change review by a qualified information system security audit provider. This independent change review must in particular cover the following audit activities: - Architecture audit; - Organizational and physical audit; - audit of the configuration of the technical service infrastructure; - an intrusion test on the administration interfaces of the service made available to sponsors; - For a SaaS type service, an intrusion test on the interface provision of end users as part of the service catalog, as well as an audit of the source code relating to the implemented security features (authentication, sessions management, partitioning of partitions in the event of a multi-tenant mode). If the SaaS renders an information security service, a dedicated product certification is necessary.","6.5.a, 6.5.b, 9.1.b, 12.2.a, 12.3.a, 14.1.a, 14.2.a, 14.2.b, 14.3.a, 14.6.a, 18.2.3.a"
Cisco,CCF 31,System Change Communication - System changes are communicated to authorized internal users via a ticketing system or any other documented process.,SecNumCloud,12.2.a,The service provider must document and implement a procedure for managing changes to the information processing systems and means of processing.,12.2.a
Cisco,CCF 32,Processing Change Notification - Customers are notified of critical changes that may affect their processing.,SecNumCloud,11.7.a | 12.2.b | 12.2.c | 12.2.d | 18.2.3.a,"The service provider must document and implement measures to ensure that the conditions of installation, maintenance and maintenance of the equipment of the information system of the service hosted in private and sensitive zones are compatible with the requirements of confidentiality and availability of the service defined in the service agreement. The service provider must document and implement a procedure allowing, in the event of operations carried out by the service provider and which may have an impact on the security or availability of the service, to communicate the following information as soon as possible: - the scheduled date and time of the start and end of operations; - The nature of operations; - Impacts on security or availability of service; - Contact within the provider. As part of a PAAS service, the service provider must inform the sponsor as soon as possible of any modification to come on software elements under his responsibility as soon as complete compatibility cannot be ensured. The service provider must inform the sponsor as soon as possible of any future modification on the elements of the service as long as it is likely to cause a loss of functionality for the sponsor. operating In the event of a major change that may affect the service, the service provider must have an independent change review by a qualified information system security audit provider. This independent change review must in particular cover the following audit activities: - Architecture audit; - Organizational and physical audit; - audit of the configuration of the technical service infrastructure; - an intrusion test on the administration interfaces of the service made available to sponsors; - For a SaaS type service, an intrusion test on the interface provision of end users as part of the service catalog, as well as an audit of the source code relating to the implemented security features (authentication, sessions management, partitioning of partitions in the event of a multi-tenant mode). If the SaaS renders an information security service, a dedicated product certification is necessary.","11.7.a, 12.2.b, 12.2.c, 12.2.d, 18.2.3.a"
Cisco,CCF 33,System Configuration Management - A configuration management system is in place to ensure that system configurations are deployed consistently throughout the production environment.,SecNumCloud,12.4.a | 12.10.b,"The service provider must document and implement detection, prevention and catering measures to protect himself from malicious codes. The scope of application of this requirement on the service information system must necessarily contain user positions under the responsibility of the service provider and the incoming flows on this same information system. The service provider must document and implement a procedure for managing the software environment configuration made available to the sponsor, in particular for their maintenance in security condition.","12.4.a, 12.10.b"
Cisco,CCF 35,File Integrity Monitoring - A file integrity monitoring (FIM) tool is used to notify system administrators of potential unauthorized changes to the production system.,SecNumCloud,12.4.a | 12.10.a | 14.2.a,"The service provider must document and implement detection, prevention and catering measures to protect himself from malicious codes. The scope of application of this requirement on the service information system must necessarily contain user positions under the responsibility of the service provider and the incoming flows on this same information system. The service provider must document and implement a procedure to control the installation of software on service system equipment. The service provider must document and implement a procedure for controlling the changes to the service information system.","12.4.a, 12.10.a, 14.2.a"
Cisco,CCF 36,Change Migrations - Access to migrate changes to production is restricted to authorized personnel. All change migrations are tracked and notifications are sent when changes are migrated to production.,SecNumCloud,12.2.a | 12.4.a | 12.10.a | 12.10.b,"The service provider must document and implement a procedure for managing changes to the information processing systems and means of processing. The service provider must document and implement detection, prevention and catering measures to protect himself from malicious codes. The scope of application of this requirement on the service information system must necessarily contain user positions under the responsibility of the service provider and the incoming flows on this same information system. The service provider must document and implement a procedure to control the installation of software on service system equipment. The service provider must document and implement a procedure for managing the software environment configuration made available to the sponsor, in particular for their maintenance in security condition.","12.2.a, 12.4.a, 12.10.a, 12.10.b"
Cisco,CCF 37,Workstation Privileged Access - Policies governing the appropriate use and installation of software on [The Organization] workstations are communicated and reviewed periodically. Revision histories and review periods are defined within the policies themselves and the [The Organization] Policy Governance Policy.,SecNumCloud,5.1.a | 12.10.a,The service provider must operate in the state of the art for the type of activity selected: Use stable software benefiting from monitoring of safety and configuration fixes so as to obtain an optimal security level. The service provider must document and implement a procedure to control the installation of software on service system equipment.,"5.1.a, 12.10.a"
Cisco,CCF 38,Version Control - Version control procedures are set up to track dependencies of individual changes and to restore affected system components back to their previous state as a result of errors or identified vulnerabilities.,SecNumCloud,14.2.c,"The service provider must keep a history of the versions of software and systems (internal or external developments, commercial products) implemented to allow to reconstruct, if necessary in a test environment, a complete environment as it was implemented on a given date. The conservation time of this history must be in accordance with that of backups (see chapter 12.5). operating platform",14.2.c
Cisco,CCF 42,"Building Perimeter Physical Access - Physical security measures are in place to restrict and monitor for unauthorized access to the buildings which house sensitive or critical information, information [The Organization], or other network infrastructure. Confirmed incidents are documented and tracked to resolution.",SecNumCloud,11.1.a | 11.1.1.a | 11.2.1.a | 11.2.1.b | 11.2.1.c | 11.2.1.d | 11.2.1.e | 11.2.1.h | 11.2.2.a | 11.2.2.b | 11.2.2.c | 11.2.2.d | 11.2.2.e | 11.2.2.h | 11.2.2.j | 11.4.a | 11.5.a,"The service provider must document and implement safety perimeters, including the marking of zones and the various means of limitation and access control. Public zones are accessible to everyone within the limits of the owner's ownership. The service provider must not accommodate any devoted resources to the service or allowing access to components of it in public areas. The provider must protect private areas from unauthorized access. To do this, he must implement a physical access control resting at least on a personal factor: knowledge of a secret, the detention of an object or biometrics. It is recommended that the service provider respects the recommendations of [G_CVAP] to implement physical access control. The service provider must define and document derogatory physical access measures in an emergency. The service provider must display at the entrance to the private areas a warning relating to the limits and conditions of access to these areas. The service provider must define and document the time slots and conditions of access to private areas according to the profiles of the stakeholders. The service provider must document and implement unauthorized access and detection of access to private areas. IT service providers in clouds (SecnumCloud) - Date Date Version References Dispute Criterion Page The provider must protect sensitive areas from unauthorized access. To do this, he must implement a physical access control resting at least on two personal factors: knowledge of a secret, the detention of an object or biometrics. It is recommended that the service provider respects the recommendations of [G_CVAP] for the implementation of the physical access control. The service provider must define and document derogatory physical access measures in an emergency. The service provider must display at the entrance to the sensitive areas a warning relating to the limits and conditions of access to these areas. The service provider must define and document the time slots and conditions of access to sensitive areas according to the profiles of the stakeholders. The service provider must document and implement unauthorized access and detection of access to sensitive areas. The service provider must implement the means ensuring that no direct access exists between a public zone and a sensitive area. The service provider must integrate physical security elements into the security policy and risk assessment in accordance with the level of security required by the area category. The delivery and loading areas and the other points by which unauthorized people can enter premises without being accompanied are considered public areas.","11.1.a, 11.1.1.a, 11.2.1.a, 11.2.1.b, 11.2.1.c, 11.2.1.d, 11.2.1.e, 11.2.1.h, 11.2.2.a, 11.2.2.b, 11.2.2.c, 11.2.2.d, 11.2.2.e, 11.2.2.h, 11.2.2.j, 11.4.a, 11.5.a, 12.5.d, 16.4.b"
Cisco,CCF 43,"Building Fail-Safe Mechanisms - The supply of the data centers (e. g. water, electricity, temperature and moisture control) is secured, monitored, maintained and tested at regular intervals. The data center has been designed with automatic fail-safe mechanisms and other redundancies. Maintenance is performed by authorized personnel at designated intervals and targets recommended by the suppliers. Maintenance records are stored for the agreed upon time intervals and then properly and permanently destroyed thereafter.",SecNumCloud,11.3.a | 11.3.b | 11.3.c | 11.3.d | 11.3.e | 11.7.d | 12.13.a,"The service provider must document and implement the means to minimize the risks inherent in physical (fire, water damage, etc.) and natural (climate risks, floods, earthquakes, etc.). The service provider must document and implement the measures to limit the risks of departure and spread of fire as well as the risks of water damage. The provider must document and implement the measures to prevent and limit the consequences of a power outage and allow a resumption of service in accordance with the service availability requirements defined in the service agreement. The service provider must document and implement the means to maintain temperature and humidity conditions adapted to equipment. In addition, it must implement measures to prevent air conditioning failures and limit the consequences. The service provider must document and implement regular checks and tests of detection and physical protection equipment. IT service providers in clouds (SecnumCloud) - Date Date Version References Dispute Criterion Page The service provider must document and implement measures to ensure that the conditions of installation, maintenance and maintenance of annexed technical equipment (power supply, air conditioning, fire, etc.) are compatible with the service availability requirements defined in the service agreement. As part of teleodiagnostic or telemaintment of infrastructure components, considering the risks of confidentiality of the data of the sponsors, the service provider must: - verify that the person to whom access must be authorized has satisfied the verifications of the requirement 7.1.b; - In the case of an intervention carried out by a person who has not satisfied the checks of the requirement 7.1.B, implement a secure gateway (rebound position) by which the person must connect and allow a supervision of actions (authorization or prohibition of actions, request for explanations, etc.) in real time, by a person who provides NAGE computer service providers (SecnumCloud) - Page itself satisfies the checks of the requirement 7.1.b. The secure gateway will have to meet the safety objectives4 specified in [G_EXT]; - Consider the actions carried out, once the access is authorized, as actions of administration and journalist as such; - Delete the authorization to access the end of the intervention.","11.3.a, 11.3.b, 11.3.c, 11.3.d, 11.3.e, 11.7.d, 12.13.a"
Cisco,CCF 44,Building Safeguards - Environmental security measures and safeguards are in place to protect the premises or buildings that house sensitive or critical information against environmental threats or threats caused by humans. ,SecNumCloud,11.1.a | 11.2.1.b | 11.2.1.c | 11.2.2.b | 11.2.2.c | 11.3.a | 11.3.b | 11.3.c | 11.3.d | 11.4.a | 11.6.a | 11.7.d,"The service provider must document and implement safety perimeters, including the marking of zones and the various means of limitation and access control. It is recommended that the service provider respects the recommendations of [G_CVAP] to implement physical access control. The service provider must define and document derogatory physical access measures in an emergency. It is recommended that the service provider respects the recommendations of [G_CVAP] for the implementation of the physical access control. The service provider must define and document derogatory physical access measures in an emergency. The service provider must document and implement the means to minimize the risks inherent in physical (fire, water damage, etc.) and natural (climate risks, floods, earthquakes, etc.). The service provider must document and implement the measures to limit the risks of departure and spread of fire as well as the risks of water damage. The provider must document and implement the measures to prevent and limit the consequences of a power outage and allow a resumption of service in accordance with the service availability requirements defined in the service agreement. The service provider must document and implement the means to maintain temperature and humidity conditions adapted to equipment. In addition, it must implement measures to prevent air conditioning failures and limit the consequences. The service provider must integrate physical security elements into the security policy and risk assessment in accordance with the level of security required by the area category. The service provider must document and implement measures to protect the electrical and telecommunications wiring from physical damage and interception possibilities. The service provider must document and implement measures to ensure that the conditions of installation, maintenance and maintenance of annexed technical equipment (power supply, air conditioning, fire, etc.) are compatible with the service availability requirements defined in the service agreement.","11.1.a, 11.2.1.b, 11.2.1.c, 11.2.2.b, 11.2.2.c, 11.3.a, 11.3.b, 11.3.c, 11.3.d, 11.4.a, 11.6.a, 11.7.d, 12.5.d"
Cisco,CCF 45,Cloud Provider Geographical Locations - The cloud service provider informs cloud service customers of the geographical locations of the provider's organization and countries where the provider can store the customer data.,SecNumCloud,19.2.a,The service provider must document and communicate to the sponsor the location of the storage and processing of the latter.,19.2.a
Cisco,CCF 46,"Building Perimeter Physical Access - Physical access provisioning to a [organization]'s datacenter requires management approval and documented specification of but not limited to: • account type (e.g., standard, visitor, or supplier) • access privileges granted • intended business purpose • visitor identification method, if applicable • temporary badge issued, if applicable • access start date • access duration (with end date)",SecNumCloud,11.2.1.f | 11.2.2.f | 11.2.2.i,The service provider must document and implement the means making it possible to ensure that visitors are systematically accompanied by the service provider when they access and stays in the private area. The service provider must maintain a trace of the identity of visitors in accordance with the legislation and regulations in force. The service provider must document and implement the means making it possible to ensure that visitors are systematically accompanied by the service provider when they access and stays in a sensitive area. The service provider must maintain a trace of the identity of visitors in accordance with the legislation and regulations in force. The service provider must set up a journalization of physical access to sensitive areas. He must make a review of these newspapers at least monthly.,"11.2.1.f, 11.2.2.f, 11.2.2.i"
Cisco,CCF 47,"Building Perimeter Physical Access - Physical access to premises and buildings related to cloud services that is no longer required in the event of a termination or role change is revoked. If applicable, temporary badges are returned prior to exiting facility. Access that has not been used for 2 months after approval is automatically withdrawn.",SecNumCloud,11.2.1.h | 11.2.2.h,The service provider must document and implement unauthorized access and detection of access to private areas. IT service providers in clouds (SecnumCloud) - Date Date Version References Dispute Criterion Page The service provider must document and implement unauthorized access and detection of access to sensitive areas.,"11.2.1.h, 11.2.2.h"
Cisco,CCF 48,Physical Access Review - [The Organization] performs physical access account reviews at least semi-annually; corrective action is taken where applicable.,SecNumCloud,11.2.1.h | 11.2.2.h | 11.2.2.i,The service provider must document and implement unauthorized access and detection of access to private areas. IT service providers in clouds (SecnumCloud) - Date Date Version References Dispute Criterion Page The service provider must document and implement unauthorized access and detection of access to sensitive areas. The service provider must set up a journalization of physical access to sensitive areas. He must make a review of these newspapers at least monthly.,"11.2.1.h, 11.2.2.h, 11.2.2.i"
